date,open,high,low,close,volume
2017-07-03,785.55,790.0,781.1,784.55,55192
2017-07-04,784.0,814.9,784.0,806.2,534788
2017-07-05,796.0,825.45,796.0,808.0,544206
2017-07-06,811.0,814.75,801.15,802.0,111720
2017-07-07,805.0,814.55,796.0,805.35,286503
2017-07-10,805.35,812.0,800.0,808.0,12884922855
2017-07-11,811.95,814.7,799.4,802.1,96715
2017-07-12,813.95,820.35,802.25,818.3,301200
2017-07-13,820.0,823.75,810.0,810.1,170719
2017-07-14,813.95,818.0,805.25,807.3,108338
2017-07-17,811.0,834.0,809.55,818.4,382289
2017-07-18,817.95,826.9,812.8,820.0,174608
2017-07-19,825.95,836.1,819.6,834.0,378401
2017-07-20,839.8,840.0,815.3,816.25,409294
2017-07-21,818.5,823.85,803.05,813.1,170176
2017-07-24,820.0,824.4,807.6,818.4,228912
2017-07-25,818.4,820.95,807.5,809.15,96651
2017-07-26,814.95,819.9,808.85,818.9,102604
2017-07-27,820.05,823.8,807.35,809.95,159559
2017-07-28,813.85,823.8,804.0,823.8,110721
2017-07-31,815.0,823.0,809.35,815.0,108614
2017-08-01,815.0,826.9,815.0,817.0,211024
2017-08-02,817.0,820.95,805.95,811.9,152739
2017-08-03,813.0,814.85,798.6,799.75,90453
2017-08-04,804.95,818.6,802.5,815.6,123830
2017-08-07,814.0,830.0,810.65,823.0,134973
2017-08-08,823.0,834.2,810.0,821.9,171940
2017-08-09,821.9,858.5,816.5,833.9,758209
2017-08-10,825.0,849.05,806.35,827.0,393345
2017-08-11,825.0,825.0,778.85,781.75,435087
2017-08-14,787.9,805.5,787.9,795.75,199075
2017-08-16,798.15,812.75,791.75,812.75,152803
2017-08-17,810.1,819.8,803.2,805.0,100486
2017-08-18,790.0,808.9,788.2,808.9,157840
2017-08-21,807.0,808.75,797.0,802.7,104798
2017-08-22,806.9,817.85,795.0,803.9,158515
2017-08-23,805.5,812.4,801.65,803.0,181555
2017-08-24,815.0,820.75,805.55,813.0,302283
2017-08-28,815.0,828.0,809.1,815.05,108636
2017-08-29,817.05,827.0,796.5,797.6,199543
2017-08-30,797.5,808.9,794.8,800.5,217418
2017-08-31,806.85,806.85,785.0,790.5,301748
2017-09-01,794.05,810.25,791.75,806.0,263094
2017-09-04,805.0,810.85,794.4,800.75,141167
2017-09-05,806.95,814.2,797.95,800.25,194856
2017-09-06,799.0,803.0,792.0,796.3,219856
2017-09-07,799.1,803.65,780.55,787.0,243794
2017-09-08,787.0,788.35,775.25,786.0,336104
2017-09-11,791.0,795.75,777.0,780.0,143247
2017-09-12,784.95,790.8,777.0,781.95,223034
2017-09-13,785.0,793.0,777.0,779.0,195815
2017-09-14,783.8,787.0,776.6,783.25,84520
2017-09-15,782.9,793.5,778.75,792.0,345031
2017-09-18,792.8,801.5,792.0,798.0,162397
2017-09-19,798.0,809.0,798.0,802.0,245575
2017-09-20,800.5,808.15,799.0,802.0,124199
2017-09-21,803.0,813.6,799.7,807.75,173110
2017-09-22,810.4,827.55,806.65,811.05,355658
2017-09-25,815.0,867.0,804.2,862.0,882742
2017-09-26,856.5,860.0,842.45,844.0,198044
2017-09-27,853.0,855.5,819.2,832.0,98264
2017-09-28,826.8,858.4,818.8,849.3,640990
2017-09-29,856.0,858.0,817.2,820.05,272914
2017-10-03,828.85,847.6,826.1,843.4,143785
2017-10-04,842.65,847.9,828.0,846.0,82128
2017-10-05,845.0,847.3,829.0,843.15,105072
2017-10-06,843.45,866.0,840.15,852.05,660993
2017-10-09,860.0,872.0,835.4,839.0,529341
2017-10-10,850.0,854.7,838.3,844.7,324290
2017-10-11,854.45,871.0,836.7,840.05,1073674
2017-10-12,843.85,856.45,840.1,849.2,131636
2017-10-13,855.75,855.75,838.75,843.0,166221
2017-10-16,846.05,849.75,832.05,839.7,118596
2017-10-17,844.85,844.85,824.0,831.85,459901
2017-10-18,831.85,844.2,823.0,840.0,8449014942
2017-10-23,832.1,855.0,832.1,837.8,24882256739
2017-10-24,843.9,860.0,838.3,857.05,410551
2017-10-25,852.0,927.8,852.0,926.0,1080973
2017-10-26,927.5,945.0,905.05,940.95,362412
2017-10-27,943.05,1042.0,943.05,986.0,2223362
2017-10-30,987.0,1063.15,980.15,1044.1,1789622
2017-10-31,1045.05,1048.0,1023.2,1026.0,255914
2017-11-01,1015.0,1066.2,1015.05,1054.0,470706
2017-11-02,1047.0,1083.8,1042.75,1077.0,298768
