date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-10 18:00:24.612,2290.05,2315.0,2264.0,2280.65,35453.0,Alkem Laboratories gains 3% on EIR for Baddi plant,"The said plant was inspected from September 11, 2017 to September 15, 2017.",positive,neutral,-0.4104713870876221,neutral,-1.3186813186813189,negative
2018-01-11 13:03:48.422,2275.0,2288.0,2230.65,2245.0,20645.0,"Alkem Laboratories gets EIR report from USFDA, shares rise 6%",Alkem Laboratories says it has received an establishment inspection report from the USFDA on closure of inspection of its Baddi facility in Himachal Pradesh,positive,neutral,-1.3186813186813189,negative,0.5288673424416042,neutral
2018-02-09 18:01:38.478,2178.2,2205.8,2090.0,2176.0,43094.0,Alkem Lab Q3 net profit down 23 percent at Rs 181 crore,Alkem Laboratories today reported a 23.44 percent decline in its consolidated net profit at Rs 180.87 crore for the quarter ended December 2017 on higher tax expenses.,negative,negative,-0.1010008263703892,neutral,0.9259259259259258,positive
2018-02-12 13:00:42.302,2160.0,2200.0,2145.0,2180.0,51832.0,Stempeutics ink outlicensing deal with Alkem for osteoarthritis drug,"Banglaore-based Stempeutics Research, a group company of Manipal Education and Medical Group (MEMG), has signed an out-licensing deal with Alkem Laboratories, Mumbai for a potential osteoarthritis knee therapy Stempeucel.",positive,positive,0.9259259259259258,positive,-1.926605504587156,negative
2018-02-12 18:01:08.893,2160.0,2200.0,2145.0,2180.0,51832.0,Stempeutics ink outlicensing deal with Alkem for osteoarthritis drug,"Banglaore-based Stempeutics Research, a group company of Manipal Education and Medical Group (MEMG), has signed an out-licensing deal with Alkem Laboratories, Mumbai for a potential osteoarthritis knee therapy Stempeucel.",positive,positive,0.9259259259259258,positive,-1.926605504587156,negative
2018-03-07 18:00:33.334,2219.0,2250.0,2216.0,2226.7,7855.0,"Thanks to notebandi, Paytm founder is youngest Indian billionaire: Forbes","A 92-year-old Samprada Singh, chairman emeritus of Alkem Laboratories is the oldest billionaire according to Forbes",neutral,neutral,0.3470031545741243,neutral,-0.9458855098390022,negative
2018-03-28 18:00:54.561,2081.0,2102.3,1850.05,1990.0,457352.0,"Alkem Labs gets 14 USFDA observations for two units, shares fall 11%",Alkem Laboratories shares decline 11% after the company said the USFDA issued 14 observations for objectionable conditions at its manufacturing units,negative,negative,-4.372897645362806,negative,-3.789574270123465,negative
2018-05-11 18:00:52.995,2032.95,2032.95,1960.0,1995.1,21707.0,"Pharma shares under pressure;Glenmark hits 52-week low, Sun Pharma falls 6%","Marksans Pharma, Ajanta Pharma, Morepen Lab, Alkem Laboratories, SPARC and Aarti Drugs were down in the range 3% to 4% on the BSE.",negative,negative,-1.8618264098969544,negative,-1.5975000000000024,negative
2018-08-10 18:00:25.715,2110.0,2148.8,2025.0,2050.0,336822.0,Alkem Laboratories gains 1% after no Form 483 issued by USFDA for Baddi plant,"The meeting of the board of directors of the company is scheduled on August 10, to consider and approve the standalone and consolidated unaudited financial results of the company for the quarter ended June 30, 2018.",positive,neutral,-2.843601895734597,negative,-2.912621359223301,negative
2018-09-14 13:03:17.816,2145.15,2145.15,2089.45,2100.0,75463.0,Alkem to take maximum hit from combination drug ban: Nomura,"Alkem Laboratories will take a maximum hit from the government’s decision to ban 328 combination drugs, says Nomura.The Ministry of Health and Family Welfare has prohibited the manufacture, sale or di",neutral,negative,-2.1047479197258974,negative,-2.452651515151524,negative
2018-11-02 23:00:36.406,1914.0,1938.95,1860.0,1896.0,63727.0,Alkem Lab Q2 net dips 20.64% to ₹254.5 cr,"Alkem Laboratories on Friday said its net profit (after minority interest) fell by 20.64 per cent year-on-year to &#8377;254.5 crore in the quarter ended September, 2018. The company had posted a prof",negative,negative,-0.9404388714733544,negative,1.7581246670218436,positive
2018-11-15 18:02:27.753,1915.0,1970.0,1915.0,1950.0,9655.0,Alkem Laboratories gains 2% post no observations for Taloja unit,"USFDA had conducted an inspection at the company's Bioequivalence facility located at Taloja, Maharashtra from November 8 to 14 2018.",positive,neutral,1.827676240208877,positive,-0.5102694940895943,neutral
2018-11-19 18:01:14.993,1940.05,1962.15,1917.2,1935.05,9222.0,Alkem Laboratories Q2 FY2019 Earnings Conference Call,This is the verbatim transcript of Alkem Laboratories management call with analysts.,neutral,neutral,-0.2577253163578258,neutral,0.2583912560398956,neutral
2019-01-18 23:01:35.591,1892.7,1969.0,1877.0,1890.0,46120.0,USFDA nod may boost Alkem Laboratories,Alkem Laboratories on Friday said it has not received any observations from the United States Food and Drug Administration for its Daman facility. The USFDA had conducted the inspection from January 1,positive,neutral,-0.1426533523537827,neutral,-0.9098277079139372,negative
2019-02-08 18:01:10.086,1879.4,1915.0,1876.15,1904.6,33996.0,Alkem Labs Q3 net profit rises 14% to Rs 205.45 cr,"Drug firm Alkem Laboratories on Friday reported a 13.58 per cent rise in its consolidated net profit to Rs 205.45 crore for the quarter ended December 31, 2018. The company had posted a net profit of",positive,positive,1.3408534638714389,positive,1.935483870967742,positive
2019-03-14 18:00:44.599,1728.2,1781.0,1728.2,1730.0,349087.0,D-Street Buzz: Nifty Pharma in green led by Sun Pharma; IT stocks drag,"HDFC Bank, Reliance Industries, Godfrey Phillips, Karnataka Bank, Muthoot Finance and UPL have hit 52-week high on NSE while Reliance Communications and Alkem Laboratories hit new 52-week low in the afternoon session",neutral,neutral,0.1041546117347502,neutral,2.627070245573958,positive
2019-03-22 18:01:15.995,1763.1,1765.7,1710.0,1718.55,35745.0,USFDA asks Alkem Labs to withhold manufacturing of a product at St Louis facility,Drug firm Alkem Laboratories Friday said it has received a letter from the US health regulator asking not to manufacture a particular product at its St Louis facility till a final decision is taken. T,neutral,neutral,-2.5267993874425705,negative,2.259145897099548,positive
2019-03-22 23:00:09.365,1763.1,1765.7,1710.0,1718.55,35745.0,USFDA withholds product approval from Alkem's US facility,Alkem Laboratories on Friday informed the exchanges that it has received a letter from the US Food and Drug Administration directing it to withhold the manufacturing of products till completion of fin,neutral,neutral,-2.5267993874425705,negative,2.259145897099548,positive
2019-03-25 18:02:10.516,1746.0,1785.0,1716.1,1765.1,68288.0,"D-Street Buzz: ICICI Bank, Kotak Bank shed 2% each; Jet Airways zooms 15%","Arvind Fashions, Spacenet Enterprises, Jai Balaji Industries, Info Edge, REC and Bil Energy Systems have hit 52-week high on NSE while Hero Moto, Alkem Laboratories, Igarashi Motors, Lakshmi Energy, Simplex Projects and Genesys International have hit 52-week low.",neutral,negative,1.0939289805269137,positive,-1.4084507042253522,negative
2019-05-30 18:02:23.111,1820.0,1820.0,1765.1,1795.0,72671.0,Alkem Laboratories gains 3% post Q4 nos,"Its revenue was up 24.3 percent at Rs 1,854.2 crore versus Rs 1,492 crore.",positive,positive,-1.3736263736263736,negative,-0.6248592659311042,neutral
2019-07-24 13:01:08.920,1818.0,1824.8,1781.3,1820.0,20146.0,"Alkem Laboratories, IJCP Group to attempt entry into Limca Book of Records for fever management campaign","Mumbai (Maharashtra) [India] July 24 (ANI/NewsVoir): As part of its attempt to enter the Limca Book of Records for educating the maximum number of patients on seasonal febrile illnesses, Alkem Laboratories in association with the IJCP Group is conducting 'Fever Management Awareness Programmes' across 11 states in a single day.",neutral,neutral,0.11001100110011,neutral,0.0,neutral
2019-09-12 10:00:14.529,1847.0,1869.95,1815.0,1823.0,37394.0,"Stocks in the news: Titan, L&T Finance, SBI Life, Reliance Nippon, Alkem Labs, Khadim",Titan Company | L&T Finance Holdings | SBI Life Insurance | Reliance Nippon | Alkem Labs | Khadim India are the stocks which are in news today.,neutral,neutral,-1.2994044396318354,negative,0.674793208532874,neutral
