date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-09 18:00:29.919,278.0,278.0,273.45,276.15,1856104.0,"ACC, Ambuja Cements, UltraTech up 1% on cement prices hike",UltraTech also raises prices by 12 percent and Sanghi Industries raised cement prices by up to 20 percent in Mumbai.,positive,positive,-0.6654676258992888,neutral,-2.369838420107728,negative
2018-01-10 18:01:17.175,278.5,277.35,271.0,271.9,2849039.0,"Hold Ambuja Cements, downgrade ACC; cement cos to report strong sales volumes: HSBC","The firm believes that the cement companies are likely to report strong sales volumes coupled with benign base in the previous quarter. Meanwhile, the industry cost pressures negatively impacting profitability.",positive,negative,-2.369838420107728,negative,-0.7746219107340548,neutral
2018-02-06 13:00:41.065,255.3,257.95,246.55,247.0,3888468.0,"Sell Ambuja Cements, Siemens: Prakash Gaba",Prakash Gaba of prakashgaba.com is of the view that one can sell Ambuja Cements and Siemens.,neutral,neutral,-3.2510771641206464,negative,7.344632768361577,positive
2018-02-08 18:01:10.599,258.5,261.7,255.1,259.95,1735912.0,"Cement stocks rally up to 8% after strong earnings from ACC, Heidelberg","ACC, Ambuja Cements, Heidelberg Cement, Andhra Cement, India Cements and Prism Cement gained 5-8 percent.",positive,positive,0.5609284332688544,neutral,-1.2874711760184343,negative
2018-02-15 13:02:12.347,254.3,261.45,254.5,256.5,4867829.0,"Top intraday trading ideas for afternoon trade for Thursday, 15 February 2018",Ambuja Cements is a 'Sell' call with a target price of Rs 240 and a stop loss of Rs 260.,neutral,neutral,0.8651199370821819,neutral,0.1553398058252338,neutral
2018-02-20 13:01:29.307,268.0,268.7,260.25,260.25,6387429.0,"What to watch: FY results: Ambuja Cements, Mahindra CIE","The boards of three companies -- Ambuja Cements, Mahindra CIE Automotive and Huhtamaki PPL -- will meet on Tuesday to consider for approval the audited annual financial results of the companies for th",neutral,neutral,-2.8917910447761197,negative,-0.4645760743321674,neutral
2018-02-20 18:00:30.122,268.0,268.7,260.25,260.25,6387429.0, Ambuja Cements Tops Estimates On Improved Efficiencies And Cost-Cuts,Ambuja Cements reports 89% jump in its net profit for the December-ended quarter.,neutral,positive,-2.8917910447761197,negative,-0.4645760743321674,neutral
2018-02-21 13:00:50.916,258.3,258.9,254.8,257.1,3819409.0,Ambuja Cements up 2% post better Dec quarter show; brokerages cautious,"Brokerages were cautious on the stock, citing volume growth issues ahead on the back of weak demand trends.",positive,negative,-0.4645760743321674,neutral,1.5169194865810878,positive
2018-02-22 13:00:27.670,257.1,261.95,255.6,261.0,2191778.0,"Bajaj Finserv, Grasim and Titan to be part of Nifty 50 index from April 2","The three companies were being added as a substitute for Ambuja Cements, Aurobindo Pharma and Bosch; PNB has been excluded from the Nifty Mid-cap index",neutral,neutral,1.5169194865810878,positive,0.7849894696534602,neutral
2018-02-22 13:00:41.302,257.1,261.95,255.6,261.0,2191778.0,"Titan, Bajaj Finserv, Grasim up 1% on Nifty rejig","shares of Ambuja Cements, Aurobindo Pharma and Bosch slipped 1-2.5 percent as they were excluded from the Nifty 50 index.",positive,negative,1.5169194865810878,positive,0.7849894696534602,neutral
2018-02-27 13:00:25.174,250.0,253.3,247.05,252.55,3488671.0,"ACC, Ambuja Cements put merger on hold over mines hurdle","ACC and Ambuja Cements said merger is still ultimate objective, but they will aim to maximize synergies for now",positive,positive,1.020000000000005,positive,0.0197706603400486,neutral
2018-02-28 13:00:47.293,252.9,256.25,251.35,252.95,3179150.0,What does a deferred merger mean for ACC and Ambuja Cements shares?,"Now that the much-awaited merger between ACC and Ambuja Cements is on the back-burner, movement in these stocks will be largely driven by sector-based trends",neutral,neutral,0.0197706603400486,neutral,-2.178217821782178,negative
2018-03-05 13:00:32.452,247.5,249.0,240.0,240.5,2723100.0,Reality Check: Ambuja Cements: No merger,"Cement manufacturers Ambuja Cements and ACC, both part of the LafargeHolcim group, have called off the merger proposed last May. However, a merger still remains the ultimate goal of both the companies",neutral,neutral,-2.8282828282828283,negative,-2.000000000000005,negative
2018-03-13 13:00:36.227,238.9,245.0,238.75,244.95,2970861.0,ACC and Ambuja Cements to enter into master supply agreement,"The agreement between ACC and Ambuja Cements is for supply of cement, clinker and raw materials such as fuels, fly ash, slag and gypsum and also include spare parts",positive,neutral,2.532440351611546,positive,-0.9422367882015498,negative
2018-05-04 10:02:00.502,241.05,244.7,233.4,239.9,4078624.0,"BSE, BASF, Subex, CUMI results on Friday","Over two dozen firms will announce their Q4 and full-year results for the period ended March 2018 on Friday. Among these are Acrow India, Ambuja Cements, Aston Paper, Bhageria Ind, BASF, BSE, Carborun",neutral,neutral,-0.477079444098737,neutral,0.0636537237428413,neutral
2018-05-04 18:01:24.420,241.05,244.7,233.4,239.9,4078624.0,"Ambuja Cements Q1 profit rises 10%, misses estimates",Revenue from operations fell 2.1 per cent to 28.63 billion rupees.,negative,negative,-0.477079444098737,neutral,0.0636537237428413,neutral
