date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-12 18:03:31.818,1117.9,1137.5,1110.0,1115.9,645264.0,Asian Paints acquires remaining 49% stake in Sleek International,Asian Paints acquires the remaining 49% stake in Sleek International from the Ahuja family for Rs50 crore,neutral,neutral,-0.1789068789694963,neutral,-0.267379679144385,neutral
2018-05-10 18:02:07.523,1237.0,1291.9,1229.85,1285.0,4705540.0,Asian Paints Q4 profit rises 4% to Rs481 crore,"Asian Paints net profit rose to Rs481 crore in the three months ended 31 March, from Rs462 crore a year earlier",positive,positive,3.8803556992724335,positive,1.0894941634241244,positive
2018-05-11 10:02:45.285,1237.0,1291.9,1229.85,1285.0,4705540.0,Asian Paints Q4: a few bright spots on a dull canvas,"The silver lining is that Asian Paints has taken price increases to offset cost inflation, and that has helped in revenue growth",neutral,positive,3.8803556992724335,positive,1.0894941634241244,positive
2018-05-11 18:00:46.527,1237.0,1291.9,1229.85,1285.0,4705540.0,Paint stocks rise after Asian Paints posts good Q4 results,"Asian Paints and Berger Paints surged 6%, while Shalimar Paints and Kansai Nerolac Paints up 4% on the BSE.",positive,positive,3.8803556992724335,positive,1.0894941634241244,positive
2018-05-11 18:01:28.305,1237.0,1291.9,1229.85,1285.0,4705540.0,Top Nifty gainers and losers of Friday's session,"Asian Paints, HPCL, Vedanta and BPCL remained the top gainers in the Nifty index.",negative,positive,3.8803556992724335,positive,1.0894941634241244,positive
2018-05-11 23:01:03.741,1237.0,1291.9,1229.85,1285.0,4705540.0,Asian Paints shares jump over 6% after Q4 results,Asian Paints on Thursday reported 3.39% increase in consolidated net profit at Rs495.91 crore for the quarter ended March 2018,positive,positive,3.8803556992724335,positive,1.0894941634241244,positive
2018-05-13 18:01:38.233,1285.0,1305.0,1268.6,1299.0,1547904.0,Reality Check,Asian Paints: Strong growth momentum The stock of Asian Paints was up about 8 per cent last week on the back of a strong March quarter performance. The company reported revenue growth (excluding excis,neutral,positive,1.0894941634241244,positive,1.7815646785437649,positive
2018-05-15 13:00:54.388,1305.15,1332.0,1300.85,1330.7,735229.0,"Asian Paints, HDFC Bank among 5 Sensex stocks that hit new high","Hindustan Unilever, IndusInd Bank, Kotak Mahindra Bank, JSW Steel, Magma Fincorp, Nestle India and Pidilite Industries hit their respective new highs on the BSE",neutral,positive,1.957629391257706,positive,-0.3921867265735133,neutral
2018-05-16 18:01:40.677,1313.15,1330.0,1303.55,1308.0,748642.0,"Asian Paints, Britannia Industries among stocks that hit 52-week highs on NSE","Hindustan Unilever, Lupin, ITC remained the top gainers in the Nifty index on Wednesday.",neutral,positive,-0.3921867265735133,neutral,0.4597701149425287,neutral
2018-05-21 18:02:35.661,1298.0,1302.0,1279.0,1284.4,707444.0,Accumulate Asian Paints; target of Rs 1320: Kotak Securities,"Kotak Securities recommended accumulate rating on Asian Paints with a target price of Rs 1320 in its research report dated May 11, 2018.",neutral,positive,-1.0477657935284983,negative,-0.3864168618267014,neutral
2018-06-01 10:00:23.676,1307.0,1310.0,1290.8,1291.5,368000.0,"Buy  Asian Paints, Rs  1340:   Kunal Bothra",Buy  Asian Paints Ltd.  at a price target of Rs  1340 and a stop loss at Rs 1285 from entry point.,neutral,neutral,-1.185921958684009,negative,-1.347490347490351,negative
2018-06-06 23:01:13.123,1270.15,1297.0,1256.0,1289.25,698393.0,Podcast: Asian Paints,"JMFLAsian Paints (Hold)CMP: ₹1,263.75Target: ₹1,310FY18 was no doubt a challenging year for Asian Paints as it had to contend with high input costs inflation and tax rates (unlike consumer staples, G",neutral,negative,1.5037593984962334,positive,0.196078431372549,neutral
2018-06-11 10:01:04.069,1279.0,1295.9,1275.2,1281.0,372171.0,"Hold  Asian Paints, target Rs  1320:   JM Financial",Hold  Asian Paints Ltd.  at a price target of Rs  1320.0    .,neutral,positive,0.1563721657544957,neutral,0.7391185327128423,neutral
2018-06-24 18:01:40.097,1268.0,1272.1,1249.3,1252.75,934377.0,"Asian Paints to invest Rs 4,000-cr this fiscal",the second half of FY18 due to GST as well rising input costs.,neutral,negative,-1.2026813880126184,negative,1.924302788844629,positive
