date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-07-04 18:00:54.511,443.25,443.25,432.05,437.85,47876.0,Plastics pipes: Multiple growth levers,"From a valuation standpoint, Astral Poly Technik trades at premium valuation given its business moat, strong business fundamentals and historic track record",neutral,positive,-1.218274111675122,negative,1.1419249592169576,positive
2018-07-06 18:00:10.543,441.36,447.3,435.67,446.4,34547.0,"Movers & shakers: Volumes of Timken India, Astral Poly grow the most in last 5 days","Timken India was trading with volumes of 164,418 shares, compared to its five day average of 1,141 shares, an increase of 14,312.52 percent. Astral Poly Technik was trading with volumes of 133,307 shares, compared to its five day average of 1,481 shares, an increase of 8,901.15 percent.",positive,positive,1.1419249592169576,positive,-1.477832512315271,negative
2018-07-06 23:01:37.716,441.36,447.3,435.67,446.4,34547.0,"Movers & shakers: Volumes of Timken India, Astral Poly grow the most in last 5 days","Timken India was trading with volumes of 164,418 shares, compared to its five day average of 1,141 shares, an increase of 14,312.52 percent. Astral Poly Technik was trading with volumes of 133,307 shares, compared to its five day average of 1,481 shares, an increase of 8,901.15 percent.",positive,positive,1.1419249592169576,positive,-1.477832512315271,negative
2018-07-12 18:00:12.344,483.75,487.64,464.99,470.25,69445.0,Hold Astral Poly Technik; target of Rs 935: ICICI Direct,"ICICI Direct recommended hold rating on Astral Poly Technik with a target price of Rs 935 in its research report dated July 11, 2018.",neutral,positive,-2.7906976744186047,negative,-0.6821311301768938,neutral
2018-07-17 18:02:07.675,485.01,495.0,475.2,477.45,169611.0,"Hold  Astral Poly Technik, target Rs  935:   ICICI Direct  ", Hold  Astral Poly Technik Ltd.  at a price target of Rs  935.0    .  ,neutral,positive,-1.558730747819633,negative,-1.962616822429904,negative
2018-10-09 18:00:41.596,378.43,404.91,378.43,404.91,62915.0,Are pipe companies a good investment idea?,"On a year-to-date (YTD) basis, Astral Poly Technik has risen 2.30 per cent, while Finolex and Supreme Industries have fallen 23 per cent and 0.24 per cent, respectively.",neutral,positive,6.99733107840288,positive,-1.5699901083014174,negative
2018-11-28 13:00:05.523,481.95,485.78,474.75,478.8,35841.0,"CLSA maintains buy on Astral Poly Technik, sees 13% upside","Ahesives operating leverage benefits will drive margin expansion, CLSA said, adding pipes business is showing steady growth.",positive,positive,-0.6535947712418254,neutral,-3.354337324091583,negative
2019-01-10 18:02:24.094,534.6,539.91,524.95,528.75,39305.0,"D-Street Buzz: Nifty Auto continues to roll led by Tata Motors; Axis Bank down 2%, media gains","Astral Poly Technik, Bata India, Maharashtra Scooters, PVR, Torrent Pharma and Info Edge (India) have hit new 52-week high in this afternoon session.",neutral,positive,-1.0942760942760985,negative,-3.773009060562704,negative
2019-02-18 18:00:36.798,493.4,506.23,493.4,506.12,68368.0,Hold Astral Poly Technik; target of Rs 1250: ICICI Direct,"ICICI Direct recommended hold rating on Astral Poly Technik with a target price of Rs 1250 in its research report dated February 13, 2019.",neutral,positive,2.5780299959464994,positive,-2.7727763773856706,negative
2019-03-04 18:01:18.341,488.25,504.0,487.8,503.55,403361.0,Monsoon demand to revive PVC pipe manufacturers' margins in June quarter,"Players like Finolex Cables, Astral Poly Technik and Supreme Industries set to harvest rich dividend",positive,positive,3.133640552995394,positive,5.22522522522523,positive
2019-03-07 13:01:09.471,543.92,546.68,534.83,540.0,221075.0,"Astral Poly Technik hits new high of Rs 1,233; stock surges 6%","Astral Poly Technik has surged 49% in the past five months, thus outperforming the Nifty 50 index which has risen 6% in the same period",positive,positive,-0.7206942197381893,neutral,0.5785123966942107,neutral
2019-05-21 13:01:29.741,531.45,544.21,520.7,544.21,223486.0,Astral Poly Technik falls 5% on muted Q4 numbers,"The company in its BSE release said net profit for the quarter ended March 2019 fell 4.3 percent at Rs 62.5 crore, compared to Rs 65.3 crore in the corresponding quarter last year.
",negative,negative,2.400978455169817,positive,0.936624175029394,positive
2019-07-12 18:01:56.639,591.3,591.3,572.04,575.96,44667.0,"Rs 1,00,000 invested in Astral Poly Technik stock on July 10, 2009 would have grown to Rs 13.27 crore on July 11, 2019 . ","Rs 1,00,000 invested in Astral Poly Technik stock on July 10, 2009 would have grown to Rs 13.27 crore on July 11, 2019 . ",positive,positive,-2.59428378149838,negative,-0.2136494426161734,neutral
2019-07-15 18:01:42.091,585.45,589.48,577.82,588.6,23395.0,Accumulate Astral Poly Technik; target of Rs 1458: Dolat Capital,"Dolat Capital recommended Accumulate rating on Astral Poly Technik with a target price of Rs 1458 in its research report dated July 12, 2019.",neutral,neutral,0.5380476556494964,neutral,-1.3829425756031235,negative
2019-08-02 10:00:45.214,557.55,558.0,545.4,547.2,116607.0,"Astral Poly Technik: Bonus, results meet","Shares of Astral Poly Technik will remain in focus, as its board of directors will meet on Friday to consider quarterly results and a proposal for bonus issue. Shareholders, if approved, would be keen",neutral,neutral,-1.8563357546408237,negative,0.0,neutral
2019-08-02 23:00:33.317,557.55,558.0,545.4,547.2,116607.0,Company news: Astral Poly Technik,"The board of directors of Astral Poly Technik on Friday approved a proposal to issue bonus shares in the proportion of 1: 4 (one bonus equity share for every four held), as on the record date, which w",neutral,positive,-1.8563357546408237,negative,0.0,neutral
2019-08-07 18:00:58.816,543.38,555.75,537.75,547.2,128589.0,Hold Astral Poly Technik; target of Rs 1295: ICICI Direct,"ICICI Direct recommended hold rating on Astral Poly Technik with a target price of Rs 1295 in its research report dated August 05, 2019.",neutral,positive,0.7030071036843553,neutral,-1.8599228768720304,negative
2019-09-05 18:03:21.073,597.6,597.6,583.54,584.1,47425.0,"Hold  Astral Poly Technik, target Rs  1262:   ICICI Securities  ",Astral Poly Technik (ASTRA) is on the cusp of witnessing a strong boost to its FY20 earnings.,neutral,positive,-2.2590361445783134,negative,-0.9621115368241766,negative
2019-09-13 10:01:16.629,605.09,615.24,595.37,606.6,74124.0,Astral Poly Technik to turn ex-bonus, Shares of Astral Poly Technik will turn ex-bonus on Monday. The company is rewarding its shareholders with one bonus share for every four shares held. Shareholders wishing to receive the bonus shares,neutral,neutral,0.2495496537705119,neutral,-6.359808982579329,negative
2019-09-20 13:01:37.739,647.66,713.0,535.11,680.06,7318949.0,Astral Poly Technik tanks 17% after 2.6% equity changes hands in block deal,"Thus far in the calendar year 2019, Astral Poly Technik has outperformed the market by surging 27 per cent, as compared to a marginal 0.07 per cent rise in the S&P BSE Sensex till Thursday.",neutral,positive,5.002624834017846,positive,-1.0608655269497498,negative
2019-10-25 18:03:59.176,660.94,666.56,630.0,632.25,431867.0,"Astral Poly Tec Standalone September 2019 Net Sales at Rs 544.60 crore, up 24.44% Y-o-Y","Astral Poly Tec Standalone September 2019 Net Sales at Rs 544.60 crore, up 24.44% Y-o-Y",positive,positive,-4.340787363452061,negative,-0.5713753377014487,neutral
2019-10-29 13:03:44.309,638.38,641.25,622.13,623.81,174459.0,Hold Astral Poly Technik; target of Rs 1275: ICICI Direct,"ICICI Direct recommended Hold rating on Astral Poly Technik with a target price of Rs 1275 in its research report dated October 29, 2019.",neutral,positive,-2.282339672295506,negative,-0.6310794780545684,neutral
2020-04-13 11:46:00.000,545.63,545.82,503.94,522.56,341948.0,"Add Astral Poly Technik, target price Rs 1,096: ICICI Securities","Considering near-term Covid-19 impact on volumes and margins, the brokerage has cut its earnings estimates by 17.2 per cent/17.5 per cent/11.8 per cent for FY20/FY21/FY22, respectively.",neutral,negative,-4.228139948316634,negative,-1.150934651629854,negative
2020-05-08 07:38:00.000,530.94,538.31,512.18,516.74,78813.0,"In pics | Stocks in the news: RIL, RBL Bank, Gillette India, Cyient, HUL, Bosch, Tata Motors",5paisa Capital | ICICI Securities |SKF India | Apollo Pipes | Gammon Infrastructure | Just Dial | Sobha | Endurance Technologies | Astral Poly Technik | Cadila Healthcare | S Chand and Company are also the stocks in focus today.,neutral,neutral,-2.67450182694844,negative,-3.448677844916368,negative
2020-05-27 11:29:00.000,456.86,464.06,453.77,457.88,329232.0,Accumulate Astral Poly Technik; target of Rs 907: Dolat Capital,"Dolat Capital recommended accumulate rating on Astral Poly Technik with a target price of Rs 907 in its research report dated May 26, 2020.",neutral,positive,0.2232631440703895,neutral,3.0482384823848245,positive
2020-05-28 09:59:00.000,461.25,488.81,461.25,475.31,309601.0,"Astral Poly Tec Standalone March 2020 Net Sales at Rs 505.70 crore, down 16.5% Y-o-Y",,negative,neutral,3.0482384823848245,positive,5.573930373574177,positive
2020-05-28 11:15:00.000,461.25,488.81,461.25,475.31,309601.0,Hold Astral Poly Technik; target of Rs 900: ICICI Direct,"ICICI Direct recommended hold rating on Astral Poly Technik with a target price of Rs 900 in its research report dated May 27, 2020.",neutral,positive,3.0482384823848245,positive,5.573930373574177,positive
2020-05-28 12:19:00.000,471.66,508.5,471.66,497.95,360835.0,Buy Astral Poly Technik; target of Rs 950: ICICI Securities,"ICICI Securities is bullish on Astral Poly Technik has recommended buy rating on the stock with a target price of Rs 950 in its research report dated May 27, 2020.",neutral,positive,5.573930373574177,positive,4.036748329621371,positive
2020-05-28 16:37:00.000,471.66,508.5,471.66,497.95,360835.0,Hold Astral Poly Technik; target of Rs 832: East India Securities,"East India Securities recommended hold rating on Astral Poly Technik with a target price of Rs 832 in its research report dated May 28, 2020.",neutral,positive,5.573930373574177,positive,4.036748329621371,positive
2020-08-02 16:16:34.000,534.38,542.42,523.13,527.46,294081.0,Dolat Capital: Astral Poly Technik -Survival Of Fittest,Dolat Capital: Astral Poly Technik -Survival Of Fittest,neutral,neutral,-1.294958643661806,negative,1.4963684070426075,positive
2020-08-03 09:01:37.000,534.38,542.42,523.13,527.46,294081.0,"Stocks in focus: Bharti Airtel, Vodafone Idea, Maruti Suzuki, Tata Motors, among others to remain in news","Dhanlaxmi Bank, VST Industries, Astral Poly Technik, Dixon Technologies, Hikal, Exide Industries, MRPL, PTC India Financial Services and Tata Consumer Products are scheduled to announce their quarterly earnings on Monday",neutral,neutral,-1.294958643661806,negative,1.4963684070426075,positive
2020-08-03 13:20:00.000,525.94,534.63,525.94,533.81,148390.0,Accumulat Astral Poly Technik; target of Rs 1074: Dolat Capital,"Dolat Capital recommended accumulat rating on Astral Poly Technik with a target price of Rs 1074 in its research report dated July 31, 2020.",neutral,positive,1.4963684070426075,positive,0.6306373741532252,neutral
2020-08-04 05:30:00.000,525.94,534.63,525.94,533.81,148390.0,BRIEF-India’s Astral Poly Technik June Quarter Consol Net Profit Falls - Investing.com India,"The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",neutral,neutral,1.4963684070426075,positive,0.6306373741532252,neutral
2020-08-04 07:20:00.000,525.94,534.63,525.94,533.81,148390.0,"Market Ahead, Aug 4: All you need to know before the opening bell","Over 50 companies are slated to release their June quarter results later in the day. The list includes names such as Astral Poly Technik, Avadh Sugar, Gujarat Gas, and Unichem Laboratories",neutral,neutral,1.4963684070426075,positive,0.6306373741532252,neutral
2020-08-04 19:04:05.000,534.38,541.13,526.5,537.75,318045.0,Board of Astral Poly Technik approves change in Chairman,At meeting held on 04 August 2020,neutral,neutral,0.6306373741532252,neutral,10.36791147994468,positive
2020-08-05 07:56:00.000,534.38,541.13,526.5,537.75,318045.0,Astral Poly Technik consolidated net profit declines 57.75% in the June 2020 quarter,Sales decline 33.42% to Rs 403.90 crore,negative,negative,0.6306373741532252,neutral,10.36791147994468,positive
