date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-28 13:00:29.762,339.0,340.9,330.27,333.2,335464.0,Golden year of IPOs! Top 12 stocks which listed in 2017 gave 100-500% return; do you own any?,"In the big-ticket fundraising, Avenue Supermarts was the only IPO which is trading with gains of little over 90 percent, followed by AU Small Finance Bank, and ICICI Lombard General Insurance.",neutral,positive,-1.7109144542772896,negative,-1.195814648729447,negative
2017-12-28 13:00:30.006,339.0,340.9,330.27,333.2,335464.0,Expect loan growth to remain at 30-35%: AU Small Finance,"In an interview to CNBC-TV18, Sanjay Agarwal, MD & CEO of AU Small Finance Bank spoke about the latest happenings in the organisation.",neutral,neutral,-1.7109144542772896,negative,-1.195814648729447,negative
2018-01-11 18:01:03.163,357.33,358.15,348.88,352.52,429090.0,"Budget 2018: Don't expect major changes except tax relaxation, says AU Small Finance","In an interview with CNBC-TV18, Deepak Jain CFO of AU Small Finance Bank spoke about the latest happenings in his company and sector as well as his expectations from Budget 2018.",neutral,neutral,-1.3460946464052843,negative,-0.2758620689655224,neutral
2018-01-19 18:01:08.792,357.33,370.0,352.5,357.5,874762.0,AU Small Finance Bank inks MoU with LIC to offer PMJJBY scheme,Banking finance company AU Small Finance Bank has signed an MoU with LIC to offer Prad,positive,positive,0.047575070662977,neutral,-0.6993006993006993,neutral
2018-01-19 18:01:41.316,357.33,370.0,352.5,357.5,874762.0,AU Small Finance Bank signs MoU with LIC to offer PMJJBY,The company will also offer loans under government’s affordable housing and subsidy schemes like Pradhan Mantri Awas Yojana. ,positive,neutral,0.047575070662977,neutral,-0.6993006993006993,neutral
2018-01-31 16:25:45.312,326.0,334.35,324.0,330.8,292614.0,AU Small Finance Bank Q3 net profit down 5% at Rs79 crore,"Net NPAs or bad loans AU Small Finance Bank were lower at 1.87% (Rs187.72 crore) during the December quarter, from 1.92% (115.51 crore) in the year ago period",negative,negative,1.4723926380368133,positive,-3.41463414634146,negative
2018-03-06 13:01:22.246,292.0,293.15,282.75,290.5,205802.0,Expect loan growth to remain between 35-40%: AU Small Finance Bank,"In an interview with CNBC-TV18, Uttam Tibrewal, ED at AU Small Finance Bank spoke about the latest happenings in his company and sector.",neutral,neutral,-0.5136986301369862,neutral,1.9474873934967711,positive
2018-03-19 13:00:53.686,285.0,291.0,284.5,289.0,175396.0,What makes Au Small Finance Bank possibly India's most expensive bank?,"The IPO success was possibly inspired by the fact that small finance banks will deepen their regional presence, venturing where their larger equivalents have never been",neutral,positive,1.4035087719298245,positive,0.8287292817679479,neutral
2018-04-16 13:01:19.452,333.58,334.0,322.5,326.67,136084.0,AU Bank bets on ‘Kamao’ app to ramp up biz,Jaipur-headquartered AU Small Finance Bank wants to ramp up its business via crowd-sourcing — involving not only employees but also customers and non-customers — with the help of a mobile-based app ca,positive,neutral,-2.071467114335382,negative,0.6362802080146959,neutral
2018-04-27 14:27:52.147,371.0,374.2,350.55,364.15,1300790.0,AU Small Finance Bank Q4 net up 7% at Rs 83 cr,Total income during January-March period of 2017-18 increased by nearly 71 percent to Rs 666.17 crore as against Rs 389.81 crore in the similar quarter of 2016-17.,positive,positive,-1.8463611859838336,negative,-2.6686494524807367,negative
2018-05-18 23:00:20.909,347.5,348.38,342.75,345.5,96742.0,"Kotak Bank, RCom, JP Associates results","About 25 companies including Advanced Enzyme, Ashima, Atul Auto, AU Small Finance, Balaji Telefilms, Balrampur Chini, BL Kashyap, Gulf Oil, Gujarat Ambuja Exports, ITI, IFGL Refractories, JP Associate",neutral,neutral,-0.5755395683453237,neutral,0.7142857142857143,neutral
2018-05-21 23:01:30.656,352.0,360.0,345.0,345.05,266066.0,AU Small Finance Bank to raise ₹1000 cr from Temasek firm Camas,"The board of Jaipur-headquartered AU Small Finance Bank has approved the issuance of 43,30,441 fully paid-up equity shares of face value of ₹10 each and issuance of 1,01,04,364 convertible warrants on",positive,positive,-1.974431818181815,negative,1.4699524427150952,positive
2018-06-15 10:03:00.341,360.52,366.38,352.92,354.33,821694.0,Broker-backed AMCs look for more individual investor inflow,"The fund house has started working with AU Small Finance Bank and is also in talks with two others in this segment, Ujjivan and Equitas",neutral,neutral,-1.716964384777543,negative,0.0702740688685874,neutral
2018-06-18 18:00:08.774,357.5,359.9,351.55,358.0,309930.0,"AU Small Finance Bank to raise Rs1,000 crore from Temasek to fuel growth","AU Small Finance Bank says it received shareholders approval to raise Rs1,000 crore from Singapore-based Temasek—its largest primary capital infusion",positive,positive,0.1398601398601398,neutral,-0.4475274110539175,neutral
2018-06-19 10:00:27.745,357.5,359.9,351.55,358.0,309930.0,Temasek Holdings pays Rs 10 billion for 5% stake in Au Small Finance Bank,The capital is expected to support the bank's organic business growth in the current financial year (FY19) and the next (FY20).,neutral,positive,0.1398601398601398,neutral,-0.4475274110539175,neutral
2018-06-19 18:00:42.743,357.52,360.92,352.65,355.92,377916.0,Deals Buzz: Google to put $550m in China’s JD,"In other news, Temasek has picked up a 5% stake in Jaipur–based AU Small Finance Bank for Rs1,000 crore",neutral,neutral,-0.4475274110539175,neutral,-3.0985915492957745,negative
2018-07-09 18:00:33.310,317.0,324.0,315.5,320.5,888718.0,AU Small Finance Bank stock falls 7% as pre-IPO lock-in period ends for investors,The stock price rallied 88.5 percent from its issue price of Rs 358 per share.,neutral,positive,1.1041009463722398,positive,-0.62402496099844,neutral
2018-07-13 23:00:35.451,323.5,323.5,315.0,319.2,19327826.0,IFC sells shares of AU Small Finance Bank worth Rs 201 crore,"According to bulk deal data available with the BSE, International Finance Corporation FDI AC offloaded a total of 32,00,000 shares, amounting to 1.12 percent stake of AU Bank.",neutral,neutral,-1.3292117465224147,negative,-0.320231068692698,neutral
2018-07-29 23:01:03.388,318.2,322.4,318.2,320.75,3646746.0,AU Small Finance Bank: Banking on small biz,Well-diversified loan book with focus on small- and mid-size businesses are key to growth,neutral,positive,0.8013827781269679,neutral,0.0,neutral
2018-08-06 23:01:46.888,330.45,335.0,320.0,324.5,1427084.0,"M&M, PNB, PTC India, Future Lifestyle results"," Over 75 companies will declare their April-June quarter results on Tuesday. Among these companies are Adani Enterprises, Adani Transmission, Asahi India, AU Small Finance, Bombay Dyeing, Dolphin Offs",neutral,neutral,-1.800574973520953,negative,0.3830243603493182,neutral
2018-08-07 23:01:09.244,326.35,330.88,319.0,327.6,493388.0,AU Small Finance Bank Q1 profit rises 24% to ₹77 crore,"AU Small Finance Bank on Tuesday reported a 24% rise in net profit at₹77 crore for the first quarter of 2018-19 financial year, as against a net profit of ₹62 crore in the April-June period of 2017-18",positive,positive,0.3830243603493182,neutral,-2.7166489603885227,negative
2018-08-10 13:00:21.346,335.0,357.0,335.0,342.25,5861350.0,AU Small Finance Bank surges 10% after block deals,The stock surged 10% to Rs 711 on the BSE in early morning trade after a more than 9% equity trade in block deals.,positive,positive,2.164179104477612,positive,-0.2609452015076768,neutral
2018-08-10 23:00:27.648,335.0,357.0,335.0,342.25,5861350.0,"Redwood Investment sells stake worth ₹1,531 crore in AU Small Finance Bank","Redwood Investment shares were disposed of at an average price of ₹638, valuing the transactions at ₹1,531.20 crore",neutral,neutral,2.164179104477612,positive,-0.2609452015076768,neutral
2018-09-14 10:03:47.549,345.05,351.45,345.05,348.48,363238.0,"Capital infusion, change in borrowing mix key triggers for AU Small Finance","Margins likely to come under pressure as bank will 
pass on benefits to borrowers, say analysts",neutral,neutral,0.9940588320533276,positive,-2.3689877961234744,negative
2018-09-28 18:01:37.679,302.5,308.35,272.52,286.5,2888242.0,Dayakaran Sridhar appointed Chief of Digital Banking and Strategy by AU Small Finance Bank,"AU Small Finance Bank has appointed Dayakaran Sridhar as Chief of Digital Banking and Digital Strategy. With 21 years of experience in the BFSI sector, Sridhar has led digital business in institutions",neutral,neutral,-5.289256198347108,negative,-0.6964285714285674,neutral
2018-10-04 23:00:55.106,279.92,283.0,274.52,275.5,496326.0,Crisil upgrade bodes well for AU Small Finance,"Shares of AU Small Finance Bank will remain in focus, as Crisil has upgraded the rating for its long-term debt instruments from ‘A+’ to ‘AA-’. The rating signifies high degree of safety and very low c",positive,positive,-1.5790225778793996,negative,3.434313689402578,positive
2018-10-04 23:01:09.954,279.92,283.0,274.52,275.5,496326.0,CRISIL upgrades AU Small Finance Bank’s rating to ‘AA-’,Rating agency CRISIL has upgraded AU Small Finance Bank’s rating for its long-term debt instruments from ‘A+’ to ‘AA-’ that signifies high degree of safety and very low credit risk.“This upgrade is qu,positive,positive,-1.5790225778793996,negative,3.434313689402578,positive
