date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-04-04 13:02:44.705,490.0,514.9,487.3,514.4,8145049.0,"Bandhan Bank makes stellar debut, closes up 27% at Rs 476.85","After opening at Rs 487.33 on the National Stock Exchange, the stock price touched an intraday low of Rs 455.",positive,negative,4.979591836734689,positive,-1.3073170731707295,negative
2018-04-10 13:01:10.347,519.9,535.0,513.0,534.0,3543907.0,Ashok Kumar Lahiri quits as non-executive chairman of Bandhan Bank,Bandhan Bank founder and MD Chandra Shekhar Ghosh says no decision has yet been taken about Ashok Kumar Lahiri’s successor,neutral,neutral,2.712060011540685,positive,0.1886792452830188,neutral
2018-04-12 13:00:48.625,533.0,536.95,526.4,528.5,1047812.0,Bandhan Bank enters league of top-50 most valuable company,"Bandhan Bank with an m-cap of Rs 640 billion stood at 50th position in overall m-cap ranking on the BSE at 10:37 am, the exchange data shows.",positive,positive,-0.8442776735459663,neutral,-1.3552204619202182,negative
2018-04-12 18:01:52.125,533.0,536.95,526.4,528.5,1047812.0,Bandhan Bank among top 50 most valuable publicly traded firms in India,"On Thursday, the market capitalization of Bandhan Bank was at Rs64,000 crore, claiming 50th rank, according to BSE data",neutral,neutral,-0.8442776735459663,neutral,-1.3552204619202182,negative
2018-04-16 13:00:53.393,520.0,521.4,500.0,505.1,1152203.0,"From ICICI Securities to Bandhan Bank, MFs load up on banks amid crash",The stocks in which MFs pruned their holdings were Axis Bank and Larsen and Toubro,neutral,neutral,-2.865384615384611,negative,-0.7677165354330664,neutral
2018-04-20 13:02:31.209,505.1,510.5,493.1,495.0,939774.0,"'BUY' or 'SELL' ideas from experts for Friday, 20 April 2018",Bandhan Bank is a 'Buy' call with a target price of Rs 525 and a stop loss of Rs 495.,neutral,neutral,-1.9996040388042016,negative,0.3024193548387097,neutral
2018-04-27 14:26:53.949,498.8,522.95,498.5,503.5,5631215.0,Bandhan Bank March quarter profit rises 20% to Rs387.86 crore,"Bandhan Bank’s net interest income, or the core income a bank earns by giving loans, increased 25.2% to Rs863.40 crore versus Rs689.72 crore last year",positive,positive,0.9422614274258198,positive,0.8341511285574091,neutral
2018-04-27 18:00:47.526,498.8,522.95,498.5,503.5,5631215.0,Bandhan Bank Profit Rises 20% Even As Microfinance Bad Loans Spike,Bandhan Bank reported a fourfold spike in bad loans in its core micro-lending portfolio.,neutral,positive,0.9422614274258198,positive,0.8341511285574091,neutral
2018-04-30 10:01:24.584,509.5,515.9,502.7,513.75,1449336.0,Bandhan Bank’s results buoy its high valuations,Bandhan Bank reported a 20% growth in net profit driven by a 37% core income growth and a pristine loan book. Its advances surged by 37.4% and deposits outpaced at a rate of 45.8%,positive,positive,0.8341511285574091,neutral,0.5458089668615895,neutral
2018-05-02 10:00:57.193,513.0,520.9,511.0,515.8,1310793.0,"Goldman Sachs initiates coverage on Bandhan Bank, sees 29% upside in 12 months","The global research firm has initiated coverage on Bandhan Bank with a buy call and a target price of Rs 650 per share, implying an upside of 29 percent.",positive,positive,0.5458089668615895,neutral,-1.943549174724092,negative
2018-05-03 10:00:43.343,511.95,515.0,496.4,502.0,860723.0,Bandhan Bank CEO takes CII (ER) office," Chandra Sekhar Ghosh, Managing Director and CEO of Bandhan Bank, has taken over as the Deputy Chairman of CII Eastern Region (ER). This was announced at the CII Eastern Regional Council Meeting here",neutral,neutral,-1.943549174724092,negative,0.0099403578528849,neutral
2018-06-05 23:02:29.795,471.0,503.6,467.0,495.75,2578729.0,Bandhan Bank appoints former RBI deputy governor H R Khan as chairman,"The board of directors of the bank at its meeting held today appointed Harun Rasid Khan as the non-executive, part time chairman of the bank, Bandhan Bank said in a filing to BSE.",neutral,neutral,5.254777070063694,positive,-0.5389221556886206,neutral
