date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-18 18:01:52.333,171.35,172.9,167.3,168.45,10988994.0,"PSBs gain; SBI, PNB, Canara Bank, Bank of Baroda, Bank of India up 3%","At 11:49 AM; Nifty PSU Bank index, the largest gainer among sectoral indices, was up 3% at 3,854, bouncing back 7.4% from its intra-day low of 3,587 on the NSE.",positive,positive,-1.6924423694193207,negative,-0.6849315068493184,neutral
2017-12-22 13:00:37.776,168.75,171.2,166.95,167.95,10839703.0,"KT Corp, Baring Asia among suitors vying for purchase of Bank of Baroda cards unit",A formal information memo containing detailed financials and revenue projections for the unit is likely to be circulated to prospective bidders in the first week of January.,neutral,neutral,-0.4740740740740808,neutral,-0.3584229390680969,neutral
2017-12-29 13:02:26.655,163.6,163.9,160.15,161.35,8661096.0,Bank of Baroda to acquire 51% stake in two JVs from UniCredit,Bank of Baroda to acquire 51% stake in Baroda Pioneer Asset Management Company and Baroda Pioneer Trustee Company from UniCredit SPA,neutral,neutral,-1.3753056234718828,negative,0.2173913043478225,neutral
2017-12-29 13:03:11.559,163.6,163.9,160.15,161.35,8661096.0, Bank of Baroda to buy out partner’s stake in AMC venture,Bank of Baroda on Thursday said it will purchase its joint venture partner Uni,neutral,positive,-1.3753056234718828,negative,0.2173913043478225,neutral
2018-01-01 13:00:38.421,161.9,162.5,156.5,157.9,11586581.0,Will discuss listing at our next board meet in a couple of weeks: Leo Puri,"In Securities and Exchange Board of India’s (SEBI) last board meeting for 2017 on December 28, the market regulator has said that no entity can have stake in more than one mutual fund up to over 10 percent. One instance would be UTI Mutual Fund (MF) where State Bank of India (SBI), Bank of Baroda (BoB), Punjab National Bank (PNB), LIC, the sharehnolders, all have their own separate MF units.",neutral,neutral,-2.470660901791229,negative,-0.5357705641348846,neutral
2018-01-01 13:00:47.908,161.9,162.5,156.5,157.9,11586581.0,Retail & MSME will be the growth driver sectors for company in future: Bank of Baroda,"In an interview with CNBC-TV18, PS Jayakumar, MD & CEO of Bank of Baroda shared his views and outlook on what is in store for the banking sector in 2018.",neutral,neutral,-2.470660901791229,negative,-0.5357705641348846,neutral
2018-01-04 13:01:33.376,165.15,166.5,161.25,162.0,11180891.0,"PSU banks in focus; Bank of Baroda, PNB, Bank of India up over 4%","IDBI Bank, PNB, Bank of Baroda, Oriental Bank of Commerce and Bank of India from Nifty PSU Bank index were up more than 3% on the NSE.",neutral,positive,-1.9073569482288864,negative,-0.2467612584824217,neutral
2018-01-11 13:03:29.466,163.75,164.2,160.35,162.35,8818761.0,Bank of Baroda may sell Nainital Bank to bolster capital,Bank of Baroda is seeking to sell unit Nainital Bank in which it holds 98.6% stake as it sheds non-core assets to bolster its balance sheet,positive,neutral,-0.8549618320610722,neutral,0.7033639143730922,neutral
2018-01-16 18:00:29.424,156.95,165.75,154.6,165.4,17539885.0,Bank of Baroda partners with Invoicemart as a TReDS partner,TReDS is an online mechanism that helps MSMEs unlock working capital without the hassle of applying for loans.,neutral,neutral,5.38388021662951,positive,-3.727810650887581,negative
2018-01-17 13:01:30.379,169.0,170.6,160.7,162.7,16676298.0,"Spike in yield spooks equity investors; bank, financial cos stocks fall",State-owned banks such as Bank of Baroda and Allahabad Bank also declined 4%,neutral,negative,-3.727810650887581,negative,2.407407407407411,positive
