date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-02 13:03:19.466,731.5,741.8,725.7,735.9,1073492.0,Motherson best placed for EV transition,Impact will be lower on Bosch and Bharat Forge in the medium term,positive,negative,0.6015037593984931,neutral,-1.1045956634392349,negative
2018-01-05 18:00:54.633,745.75,745.15,731.6,737.85,1709697.0,Bharat Forge hits record high on strong growth in North America truck orders,"North America Class 8 truck orders increased sharply by 77 percent in December to 37,200 units, compared to 21,061 units reported in year-ago month.",positive,positive,-1.0593362386858838,negative,-0.0944796868673143,neutral
2018-01-05 18:01:59.531,745.75,745.15,731.6,737.85,1709697.0,Top buzzing midcap stocks to trade on January 5,"Here are a few top buzzing midcap stocks picked by CNBC-TV18's analysts in trade today -- Idea Cellular, Bharat Forge, Ramkrishna Forgings, GM Breweries, JSW Energy, Varun Beverages, GTL Infrastructure, and Coal India.",neutral,neutral,-1.0593362386858838,negative,-0.0944796868673143,neutral
2018-01-08 13:01:09.085,743.75,746.4,729.1,729.1,874887.0,"Buy Bharat Forge, Biocon, Shriram Transport Finance: Sudarshan Sukhani","Sudarshan Sukhani of s2analytics.com suggests buying Bharat Forge, Biocon and Shriram Transport Finance.",neutral,neutral,-1.9697478991596609,negative,-0.819000819000819,neutral
2018-01-08 18:02:38.119,743.75,746.4,729.1,729.1,874887.0,Bharat Forge hits record high as HSBC ups target on strong North America Class 8 truck orders,N America Class 8 trucks segment accounts for 20 percent of Bharat Forge standalone revenue.,positive,neutral,-1.9697478991596609,negative,-0.819000819000819,neutral
2018-02-08 18:00:14.313,751.0,775.1,749.3,761.0,2995456.0,Bharat Forge Q3 net profit jumps 77.39% to Rs228.17 crore,"Bharat Forge’s revenue from operations stood at Rs1,390.55 crore during the December quarter while it was Rs990.01 crore in the same period of previous fiscal",positive,neutral,1.3315579227696404,positive,0.7661342682768443,neutral
2018-02-09 13:02:06.325,751.0,775.1,749.3,761.0,2995456.0,Bharat Forge to buy 45% stake in electric vehicle start-up Tork Motors for Rs30 crore,"Bharat Forge’s investment panel has approved the acquisition of Tork Motors’ 4,736 equity shares of Rs10 each at a premium of Rs21,103 each and 2,841 preference shares of Rs100 each at a premium of Rs21,013 as an initial subscription",neutral,positive,1.3315579227696404,positive,0.7661342682768443,neutral
2018-02-09 18:00:51.801,751.0,775.1,749.3,761.0,2995456.0,23 stocks from BSE500 gain over 10% during current week in weak market,"FDC, SpiceJet, SAIL, Bharat Forge, Ipca Laboratories, Jet Airways and Bajaj Electricals are among 23 stocks from the S&P BSE500 index gaining an over 10% during current week in otherwise weak market",positive,positive,1.3315579227696404,positive,0.7661342682768443,neutral
2018-02-12 13:00:21.345,770.1,781.0,763.7,776.0,1564145.0,"Buoyant order book, outlook to support Bharat Forge earnings",The Pune-headquartered company has shown revenue growth in exports and domestic market in the quarter to December.,neutral,positive,0.7661342682768443,neutral,-3.4394904458598727,negative
2018-02-28 13:02:49.174,791.8,797.4,779.25,779.75,1438893.0,Bharat Forge exits JV with GE,"Bharat Forge on Tuesday said that it has completed divestment of the balance 26 per cent stake in Alstom Bharat Forge Power Pvt Ltd, the power equipment joint venture with GE. With this, the company h",neutral,positive,-1.521848951755488,negative,-2.3111395646606856,negative
