date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-19 13:03:13.937,90.35,91.1,89.9,90.05,7486412.0,CPI (M) seeks orders for BHEL ancillaries,Demands the cancellation of the recent annual tender,positive,negative,-0.3320420586607605,neutral,1.274944567627485,positive
2018-01-07 13:02:17.043,103.15,103.35,101.5,101.95,5803716.0,BHEL assures timely supply of pumps to Kaleshwaram,Harish Rao inspects progress of project work through live video streaming,positive,neutral,-1.163354338342223,negative,-1.0268948655256696,negative
2018-01-11 18:02:01.521,104.0,105.55,101.65,102.2,11185674.0,BHEL division revamps electrical lab in ITI Peenya under CSR ,BHEL-Electroporcelains Division has renovated the government ITI’s electrical lab at a,positive,neutral,-1.7307692307692282,negative,-1.5533980582524218,negative
2018-01-12 13:02:29.516,104.0,105.55,101.65,102.2,11185674.0,"Buy Tata Global Beverage, BHEL, Gujarat Gas: Ashwani Gujral","Ashwani Gujral of ashwanigujral.com is of the view that one may buy Tata Global Beverage, BHEL and Gujarat Gas.",neutral,neutral,-1.7307692307692282,negative,-1.5533980582524218,negative
2018-01-12 18:01:08.760,104.0,105.55,101.65,102.2,11185674.0,BHEL commissions 250 MW thermal power unit in Bihar,"Located at Barauni in Begusarai district of Bihar, the project has two segments (units 8&9) of 250 MW each. Unit 9 is also in advanced stages of execution, and is expected to be commissioned shortly, a BHEL statement said.",neutral,neutral,-1.7307692307692282,negative,-1.5533980582524218,negative
2018-01-17 18:01:53.545,100.3,101.0,95.85,97.55,9450551.0,BHEL bags Rs 2800 crore contract,"The project will be set up as an expansion project (Unit 6) of Mahagenco's Bhusawal Thermal Power Station in Jalgaon district of Maharashtra, an official statement said.",neutral,neutral,-2.741774675972084,negative,0.3608247422680353,neutral
2018-01-29 13:56:50.925,102.2,103.1,100.2,101.45,6737064.0,"After 11 years, Rs 100-bn Udangudi power project finally set to take off","To be funded by Rural Electrification Corporation, the project will be executed by BHEL in 42 months",neutral,neutral,-0.7338551859099804,neutral,-1.3813517513566764,negative
2018-02-04 18:01:45.779,92.0,95.5,89.4,95.5,10241805.0,Investment by heavy industry PSUs halved to Rs 4.3 billion in FY19,"The government had estimated an expenditure of Rs 3.74 billion for the 18 PSUs, including BHEL, Cement Corporation of India and Hindustan Salts in the revised estimate of 2017-18",positive,neutral,3.804347826086957,positive,2.209944751381215,positive
2018-02-08 18:01:47.403,92.25,95.2,92.25,94.4,8517301.0,"Bhel Q3 profit rises 64% to Rs153 crore, misses estimates",Bhel’s net profit rose to Rs153 crore in third quarter  as against Rs93.54 crore a year earlier,positive,positive,2.3306233062330683,positive,2.2607781282860206,positive
2018-02-09 13:00:51.502,92.25,95.2,92.25,94.4,8517301.0,Bhel’s turnaround in order flows may be a flash in the pan,"All this fuss about order flows is justified given that Bhel has steadily seen revenue falling due to poor orders coming in from the power sector, which accounts for about 80% of its revenue",negative,negative,2.3306233062330683,positive,2.2607781282860206,positive
2018-02-16 13:00:32.087,95.6,96.3,93.75,94.1,6841173.0,BHEL commissions 18 MW hydro-electric project in Punjab,"Located on the Mukerian canal in Hoshiarpur district of Punjab, the 18 MW Mukerian project is a surface powerhouse of Punjab State Power Corporation Ltd (PSPCL).",neutral,neutral,-1.5690376569037656,negative,-1.7395888244596642,negative
