date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2019-07-02 18:01:43.387,1035.1,1050.0,1022.05,1022.05,45983.0,Lightspeed leads $8 million round in Freight Tiger,"Alsthom Industries, the cement grinding unit of Dalmia Bharat Cements, and the Pawan Munjal Family Trust also participated in the round.Freight Tiger operates a mobile app, which aims to focus on end-to-end supply chain, and work with logistics service companies, transporters and consigners",neutral,neutral,-1.2607477538402043,negative,-0.900857731563572,negative
2019-07-16 18:01:50.076,1019.8,1021.95,1005.45,1009.0,35805.0,Dalmia Bharat Q1 PAT seen up 87% YoY to Rs. 110.4 cr: HDFC Securities,"Net Sales are expected to decrease by 0.3 percent Y-o-Y (down 15.4 percent Q-o-Q) to Rs. 2,370 crore, according to HDFC Securities.",positive,negative,-1.0590311825848162,negative,-1.7672030802645848,negative
2019-07-18 23:00:47.455,995.0,1026.6,986.0,1015.0,28776.0,Dalmia Sugar to scale up production capacity,"Dalmia Bharat Sugar &amp;amp; Industries is looking to invest around ₹300-400 crore for scaling up the production capacity, either by way of acquisition or organically. The investment could be partly",positive,positive,2.010050251256281,positive,-1.1940298507462688,negative
2019-07-29 23:00:34.181,956.25,968.7,931.9,939.0,56609.0,Dalmia Bharat Sugar Q1 profit drops 8%,"Net profit in the year-ago period stood at Rs 59.11 crore, the company said in a regulatory filing. ",negative,neutral,-1.803921568627451,negative,0.6941431670281971,neutral
2019-07-29 23:01:21.854,956.25,968.7,931.9,939.0,56609.0,Dalmia Bharat Sugar Q1 profit drops 8%,Dalmia Bharat Sugar and Industries has reported an eight per cent fall in net profit at Rs 54.39 crore for the June quarter of 2019-20 financial year on poor sales.Net profit in the year-ago period st,negative,negative,-1.803921568627451,negative,0.6941431670281971,neutral
2019-08-01 10:01:34.178,921.0,941.05,902.25,932.0,37105.0,"All eyes on Airtel, Tata Power, Ceat, HCC results","About 40 firms will declare their quarterly results for the period ended June 2019 on Thursday. Among them are Bharti Airtel, Axiscades, Adlabs, Ceat, Cera Sanitaryware, Dalmia Bharat, Elgi Rubber, Go",neutral,neutral,1.1943539630836049,positive,4.30456528679365,positive
2019-08-07 18:01:28.770,1009.4,1019.75,1005.1,1015.0,21604.0,3-Point Analysis | Dalmia Bharat Q1 review,Sakshi Batra does a 3-Point Analysis of the earnings fine-print and shares an outlook on the company.,neutral,neutral,0.5547850208044406,neutral,1.0250344963532405,positive
2019-09-06 18:02:33.684,875.0,885.0,861.25,863.0,37629.0,"Reduce Dalmia Bharat, target Rs 818: IndiaNivesh Securities",​Odisha is estimated to account for ~17.8 per cent of DBLs volumes in FY19. ,neutral,neutral,-1.3714285714285714,negative,-1.9596508468697664,negative
2019-10-14 13:02:56.538,808.65,816.0,799.25,806.9,242468.0,"Dalmia Bharat lines up Rs 3,500 cr capex to ramp up capacity by next March",The brownfield expansion in east India involves increasing the capacity in its West Bengal plant from 1.3 mtpa to 4 mtpa and in its Rajgangpur plant by another 3 mtpa,positive,positive,-0.2164100661596488,neutral,-0.9510369370474904,negative
2019-10-15 18:02:49.375,814.9,819.95,802.0,807.15,55052.0,GuarantCo moves NCLT to declare Dalmia Bharat arm insolvent after default,"Calcom Cement denies default, says financial creditor is using IBC only to put pressure",negative,neutral,-0.9510369370474904,negative,0.2292015114910515,neutral
