date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-03 13:01:49.703,844.4,846.0,820.66,823.77,365095.0,"Dixon Technologies up 4% as JV starts manufacturing of CCTVs, DVRs","The products will be manufactured at company’s manufacturing facility situated at Tirupati, India.",positive,neutral,-2.4431549028896256,negative,-1.4986705342035265,negative
2018-01-19 13:01:51.919,755.97,778.0,750.0,768.0,270090.0,"By building scale, India could become a hub for electrical manufacturing: Dixon Tech","Across all the products, the company is on the lookout for growth, new customers, said Sunil Vachani, Promoter & Chairman, Dixon Technologies.",neutral,positive,1.5913329894043378,positive,-1.526341703594285,negative
2018-02-08 18:00:52.432,692.0,715.15,662.2,690.4,488080.0,"Q4 looking significantly better, expect robust growth of 30% next fiscal: Dixon Tech","Dixon Technologies posted a good set of earnings in Q3. In an interview to CNBC-TV18, Atul Lall, MD of Dixon Technologies spoke about the results and his outlook for the company.",positive,positive,-0.2312138728323732,neutral,-2.573049645390069,negative
2018-07-10 18:02:04.537,606.0,615.99,587.0,587.6,70905.0,Accumulate Dixon Technologies; target of Rs 3430: Dolat Capital,"Dolat Capital recommended accumulate rating on Dixon Technologies with a target price of Rs 3430 in its research report dated July 06, 2018.",neutral,positive,-3.0363036303630326,negative,-0.5042016806722689,neutral
2018-07-10 23:00:38.333,606.0,615.99,587.0,587.6,70905.0,Accumulate Dixon Technologies; target of Rs 3430: Dolat Capital,"Dolat Capital recommended accumulate rating on Dixon Technologies with a target price of Rs 3430 in its research report dated July 06, 2018.",neutral,positive,-3.0363036303630326,negative,-0.5042016806722689,neutral
2018-08-06 23:00:12.513,567.6,567.6,524.81,528.9,601105.0,Dixon Technolog standalone Jun-2018 sales at Rs 520.02 crore,Dixon Technologies has reported a sales total income from operations of Rs 520.02 crore and a net profit of Rs 12.52 crore for the quarter ended Jun-2018,neutral,neutral,-6.818181818181826,negative,-0.0436242247216619,neutral
2018-08-28 18:00:52.385,575.0,595.0,574.85,582.8,525275.0,Dixon Technologies rises 7%; Elara Capital initiates buy with 30% upside,It expect revenue/EBITDA/net profit to grow at a CAGR of 19%/31%/36% over FY18-21 percent.,positive,positive,1.356521739130427,positive,-2.396588486140717,negative
2018-10-05 10:02:53.362,509.0,520.0,490.2,490.6,536385.0,Andhra CM N Chandrababu Naidu inaugurates Xiaomi's LED TV plant in Tirupati,"The plant, operated by Xiaomis technology partner Dixon Technologies (India) Limited, would also manufacture closed-circuit television cameras, digital video recorders, smartphones.

",neutral,neutral,-3.614931237721017,negative,-2.4559967253376995,negative
2018-10-05 13:02:20.615,509.0,520.0,490.2,490.6,536385.0,Dixon Technologies rises 4% as it enters agreement with Xiaomi India,Dixon Technologies (India) and Xiaomi India has entered into agreement for manufacturing of LED TVs for Xiaomi.,positive,positive,-3.614931237721017,negative,-2.4559967253376995,negative
2018-11-16 18:01:08.982,417.0,417.0,398.0,398.2,188190.0,"Deepak Fertilisers, Hexaware, Dixon Technologies hit 52-week lows","Rallis India, Take Solutions, BASF, V2 Retail, Asahi India Glass, CARE Ratings, Hinduja Ventures, Hotel Leela and Shankara Building were among 22 stocks from the S&P BSE Allcap index hit 52-week lows.",neutral,neutral,-4.508393285371706,negative,0.7352941176470588,neutral
