date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-08-07 18:00:58.799,874.9,886.9,868.2,877.0,1038783.0,Escorts appoints Nikhil Nanda as CMD,"The board of directors of Escorts Ltd has appointed Nikhil Nanda as the Chairman and Managing Director of the company.The agri-machinery, construction and railway equipment manufacturer on Tuesday sai",neutral,neutral,0.2400274317064833,neutral,-0.03422703936109,neutral
2018-09-27 10:00:37.403,666.0,679.0,642.25,650.05,1903866.0,How Escorts Ltd is transforming from a pure-play product firm with Traxi,"Seven months into the launch, the company is offering the service to farmers in select clusters in states such as Haryana, western and central Uttar Pradesh, and Madhya Pradesh",positive,neutral,-2.3948948948949016,negative,-6.072252113758648,negative
2019-04-01 18:00:21.165,770.0,776.0,760.0,774.5,2527011.0,"Escorts tractor sales up 1% in March at 11,905 units","Farm equipment major Escorts Ltd on Monday reported 1 per cent increase in its tractor sales at 11,905 units in March. The company had sold 11,790 units in the same month last year, Escorts Ltd said i",positive,positive,0.5844155844155844,neutral,-0.5748611290530997,neutral
2019-05-01 18:00:28.217,713.5,714.0,676.55,680.0,3303913.0,Escorts tractor sales down 15% in April,"Farm equipment major Escorts Ltd on Wednesday reported 14.9 per cent decline in its tractor sales at 5,264 units in April. The company had sold 6,186 units in the same month last year, Escorts Ltd sai",negative,negative,-4.695164681149264,negative,-1.6937869822485276,negative
2019-05-07 23:00:51.621,643.6,647.85,625.0,625.35,2824253.0,Escorts Q4 net up 7% to ₹121 crore,"Aided by robust tractor sales, engineering and farm equipments maker Escorts Ltd on Tuesday reported a net profit of ₹121 crore in the fourth quarter ended March 31, up more than 7 per cent compared w",positive,positive,-2.8356121814791795,negative,-2.532051282051275,negative
2019-05-08 13:00:24.571,624.0,626.05,607.55,608.2,2208620.0,Escorts net profit up just 7.8% in Q4 as tractor demand declines,Escorts Ltd reported a 7.8% increase in net profit to  ₹121.4 crore for the quarter ending March 31.Tractor sales during the quarter increased by 6.7% to 25136 units,positive,positive,-2.532051282051275,negative,-2.631147540983599,negative
2019-06-19 18:01:59.850,522.0,554.45,519.5,551.85,2134503.0,"Indiabulls Housing, Escorts among 57 stocks that hit 52-week lows on BSE","YES Bank, Jammu & Kashmir Bank, Dewan Housing Finance Corporation, Reliance Capital, Reliance Infrastructure and Jet Airways have slipped between 32 per cent and 79 per cent since May 28.",neutral,negative,5.718390804597705,positive,-0.0181818181818223,neutral
2019-06-26 13:02:39.698,555.1,563.55,542.8,547.25,2261828.0,Indian Navy escorts crude oil carriers transiting through Strait of Hormuz,"Officials explained that naval teams have boarded Indian oil carriers and are escorting them out of the region. So far, five such tankers have been escorted out. ",neutral,neutral,-1.4141596108809265,negative,-2.0283234353586157,negative
2019-07-01 13:00:38.223,571.8,576.7,560.15,563.0,3496141.0,Escorts June sales beat expectations; stock rises ~4%,"Domestic sales fell 11.4% yoy to 8,648 tractors in June, however, exports increased 38.7% to 312 tractors.",positive,positive,-1.5389996502273444,negative,0.8458149779735602,neutral
2019-07-12 13:00:40.536,543.0,552.0,538.0,542.8,2261312.0,"US, allies planning naval escort for Gulf tankers: Pentagon","The US and its allies are discussing plans to provide naval escorts for oil tankers through the Gulf, a top US general said on Thursday after Iranian military vessels menaced a British tanker.General",neutral,positive,-0.0368324125230286,neutral,-2.6912442396313407,negative
