date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-02 13:01:22.399,21.55,22.25,21.45,21.85,46423732.0,GMR Infra slumps over 6% as lenders may divest stake,Shares of GMR Infrastructure fell as much as 6.05 per cent on Tuesday as a consortium,negative,neutral,1.392111368909516,positive,-3.416856492027335,negative
2018-01-02 13:02:59.638,21.55,22.25,21.45,21.85,46423732.0,GMR Infra drops 6%; 3 firms in race to buy co's thermal power plant,"Consortium led by Axis Bank converted plant's Rs 2,992-crore debt into equity as part of the SDR.",neutral,neutral,1.392111368909516,positive,-3.416856492027335,negative
2018-02-01 13:04:12.480,22.4,22.35,18.0,19.3,147503374.0,"Infra, airline shares head up on airport capacity expansion plan","GMR Infra and GVK Power climbed over 2.50 per cent and 4 per cent, respectively.",neutral,positive,-13.839285714285706,negative,7.712765957446805,positive
2018-02-01 18:01:05.532,22.4,22.35,18.0,19.3,147503374.0,"Railway, infrastructure related stocks trade mixed post Budget","Titagarh Wagons and Kernex Microsystems were down 5%, while GMR Infra, IL&FS Engineering, GVK Power & Infra and L&T up more than 2% on BSE.",negative,neutral,-13.839285714285706,negative,7.712765957446805,positive
2018-02-05 13:01:53.956,18.2,19.7,18.25,19.35,69445418.0,GMR Infra arm to buy 11% MAHB stake in Hyderabad International Airport for ₹484 cr,"GMR Airports Ltd, a subsidiary of GMR Infrastructure Ltd and part of GMR Group, has entered into an agreement with Malaysia Airports Holdings Berhard (MAHB) to acquire the 11 per cent stake that the l",neutral,positive,6.318681318681331,positive,-4.040404040404043,negative
2018-02-14 18:01:38.282,19.7,19.8,18.35,18.9,32879198.0,GMR Infrastructure Q3 loss at Rs566 crore,GMR Infrastructure reports a consolidated net loss of Rs565.94 crore for the third quarter ended 31 December as against  Rs643.44 crore in the corresponding quarter a year ago,negative,negative,-4.0609137055837605,negative,-2.910052910052895,negative
2018-02-14 18:02:19.051,19.7,19.8,18.35,18.9,32879198.0,GMR Infra Q3 net loss at Rs 566 crore,"The company had clocked a net profit of Rs 643.44 crore in the corresponding quarter of 2016-17, it said in a BSE filing.",negative,positive,-4.0609137055837605,negative,-2.910052910052895,negative
2018-02-15 13:01:43.395,18.9,19.1,18.15,18.35,35370675.0,GMR Infrastructure posts consolidated net loss of Rs 5.66 bn in Q3,"GMR Group is a leading global infrastructure conglomerate with interests in the airport, energy, transportation and urban infrastructure",negative,positive,-2.910052910052895,negative,-2.981029810298107,negative
2018-02-16 13:00:20.774,18.9,19.1,18.15,18.35,35370675.0,GMR Infra posts ₹566-cr loss in Q3,"GMR Infrastructure Ltd has posted a loss of ₹566 crore for the third quarter ended December 31, 2017, against a profit of ₹643.44 crore for the corresponding quarter in the last fiscal on a consolidat",negative,negative,-2.910052910052895,negative,-2.981029810298107,negative
2018-03-19 13:00:26.048,17.5,18.0,17.35,17.85,21425608.0,"Buy GMR Infra, sees 78% upside; TDSAT ruling to re-rate airport assets: IDBI Capital",The company is as top pick in industrial stocks with potential upside of 78 percent.,positive,positive,2.000000000000008,positive,0.0,neutral
2018-05-06 18:00:55.744,19.8,20.0,19.55,19.7,11151279.0,GMR Energy inks pact to divest its stake in Himtal Hydropower project to a consortium,"GMR Energy Ltd, a subsidiary of GMR Infrastructure Ltd, has announced the signing of a definitive agreement to divest its entire stake in Himtal Hydropower Company Pvt Ltd and its associated transmiss",neutral,positive,-0.5050505050505122,neutral,0.7594936708860687,neutral
