date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-16 18:00:12.517,483.75,498.0,463.0,493.75,3810284.0,Dahej plant shutdown: GNFC tanks 10%; m-cap dips by Rs 859 cr ,Shares of Gujarat Narmada Valley Fertilizers & Chemicals Ltd (GNFC) ended down by,negative,negative,2.0671834625323,positive,0.2038735983690112,neutral
2018-01-23 13:03:57.848,521.0,526.8,505.5,508.5,1727135.0,GNFC Q3 profit up 241% at Rs228 crore,"Gujarat Narmada Valley Fertilizers & Chemicals Ltd’s (GNFC) revenue in Q3 of 2017-18 grew by 30% to Rs1,591 crore as compared to Rs1,221 crore in the corresponding period in 2016-17",positive,positive,-2.399232245681382,negative,-2.1922925678332743,negative
2018-04-24 18:02:41.685,465.95,470.0,446.0,450.5,2075348.0,Gujarat Narmada Valley Fertilizers & Chemicals jumps 11% after strong March quarter earnings,"Fertiliser business revenue shot up 50 percent year-on-year to Rs 481 crore and chemicals business grew by 36 percent to Rs 1,226 crore in Q4.",positive,positive,-3.31580641699753,negative,0.8766089658233441,neutral
2019-12-02 23:02:41.131,188.9,190.4,186.0,186.1,106347.0,GNFC launches Neo Neem World outlet,"After successfully rolling out a range of neem-based consumer products, state-run fertilisers major Gujarat Narmada Valley Fertilizers &amp;amp; Chemicals Ltd on Friday inaugurated its first Neo Neem",neutral,positive,-1.48226574907359,negative,-0.4021447721179624,neutral
2020-01-02 13:01:52.200,165.0,174.35,163.25,170.15,1560023.0,"GNFC gets DoT notice seeking service dues of about Rs 15,000 crore","Gujarat Narmada Valley Fertilizers &amp;amp; Chemicals Ltd (GNFC) has received a demand notice from the Department of Telecommunications (DoT) seeking telecom service dues of about Rs 15,019.97 crore.",neutral,positive,3.1212121212121247,positive,-3.354914655679821,negative
2020-01-02 18:00:24.868,165.0,174.35,163.25,170.15,1560023.0,"Gujarat Narmada Valley Fertilizers and Chemicals (GNVFC) has received a demand notice from the telecom department for payment of outstanding dues worth Rs 15,019 crore by 23 January, 2020","Gujarat Narmada Valley Fertilizers and Chemicals (GNVFC) has received a demand notice from the telecom department for payment of outstanding dues worth Rs 15,019 crore by 23 January, 2020",positive,positive,3.1212121212121247,positive,-3.354914655679821,negative
2020-01-28 18:04:01.024,206.9,208.0,201.45,202.4,341380.0,India begins dumping probe into chemical imported from China,Gujarat Narmada Valley Fertilizers and Chemicals Ltd has filed an application before the Directorate General of Trade Remedies (DGTR) for anti-dumping investigation on imports of Aniline originating in or exported from China.,neutral,neutral,-2.1749637506041566,negative,-4.310344827586207,negative
2020-02-06 10:06:57.083,174.4,178.9,172.9,173.2,435941.0,PSUs owe Rs 2.65-Lakh cr AGR dues to DoT: MoS,"The overall demands include Rs 1,72,655.73 crore from GAIL India, Rs 48,489.26 crore from Oil India, Rs 22,062.65 crore from Powergrid Corporation of India, Rs 15,019.97 crore from Gujarat Narmada Valley Fertilizers and Chemicals and Rs 5,481.52 crore from DMRC.",neutral,neutral,-0.6880733944954226,neutral,5.482581382067387,positive
2020-04-28 07:00:00.000,141.5,146.6,139.05,144.8,1323215.0,Gujarat Narmada Valley Fertilizers & Chemicals trades flat after resuming operations,"Gujarat Narmada Valley Fertilizers & Chemicals Ltd. has resumed work of the Ethyl Acetate, Ammonium Nitrate Melt and Concentrated Nitric Acid -1 plants at Bharuch Complex.",neutral,positive,2.3321554770318103,positive,-1.1235955056179814,negative
2020-06-09 19:26:23.000,153.55,156.5,148.25,152.2,1317437.0,GNFC (₹152.3): Buy,"The stock of Gujarat Narmada Valley Fertilizers &amp; Chemicals gained 5 per cent accompanied by above average volume on Tuesday, breaking above a key resistance at ₹147. This up move provides tra",neutral,positive,-0.8791924454575205,neutral,3.3552631578947336,positive
