date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-14 18:03:18.691,665.3,669.1,655.33,657.33,495520.0,"New products, volume boost Godrej Consumer","Double-digit growth, cost efficiencies should translate into higher profits",neutral,positive,-1.1979558094092762,negative,0.1627797301203256,neutral
2018-05-08 13:02:01.218,743.37,749.33,722.13,728.6,456619.0,Godrej Consumer Q4 PAT jumps 59% on year to Rs 617 crore,Reuters poll of equity analysts had estimated consolidated net profit at Rs 448 crore,positive,neutral,-1.986897507297844,negative,-0.460370785118831,neutral
2018-05-08 18:00:11.199,743.37,749.33,722.13,728.6,456619.0,Godrej Consumer Products Q4 adjusted net profit rises 12% to Rs617.19 crore,Godrej Consumer Products’s consolidated net profit grows by 12% to Rs617.19 crore in the March 2018 quarter as it reports a mixed performance with relatively softer sales growth,positive,positive,-1.986897507297844,negative,-0.460370785118831,neutral
2018-05-09 10:00:52.740,743.37,749.33,722.13,728.6,456619.0,Godrej Consumer’s investors are lathering valuations with hope,Godrej Consumer investors are hoping that an expected recovery in rural demand will revive growth rates in coming years. But valuations of well over 40 times earnings are pricing all this and more,neutral,positive,-1.986897507297844,negative,-0.460370785118831,neutral
2018-05-21 13:00:38.302,724.03,728.2,710.83,720.67,182825.0,Stock market prediction for May 21-25: Satish Gupta,"According to Satish Gupta of astrostocktips, Hindustan Unilever, Colgate Palmolive, Godrej Consumer, P&G, Marico and Jyothy Labs will get astrological support.",neutral,neutral,-0.464069168404626,neutral,2.3437065851625456,positive
2018-05-28 10:01:57.733,750.3,755.33,742.1,747.93,205790.0,Stock market prediction for May 28-June 1: Satish Gupta,"According to Satish Gupta of astrostocktips, personal care stocks like HUL, Colgate, Godrej Consumer, Proctor & Gamble and Marico will get astrological support.",neutral,neutral,-0.3158736505397846,neutral,1.0358129663494255,positive
2018-06-28 18:02:36.916,811.9,824.57,806.7,814.0,449048.0,Godrej Consumer Products eyes Rs 1 bn turnover in hair products segment,This market is growing at a healthy rate of 8-9%,neutral,positive,0.2586525434166797,neutral,0.7741509410887083,neutral
2018-07-02 18:00:44.878,823.53,836.67,823.53,834.27,220455.0,"Macquarie maintains outperform rating on Godrej Consumer, target Rs 1,285",The research house sees strong recovery in household insecticides.,positive,positive,1.3041419256129114,positive,1.8705035971223047,positive
2018-07-05 23:02:24.802,828.6,842.2,826.67,835.27,156085.0,Godrej Consumer sells diaper brand Snuggy,"The size of diaper business in India is about Rs 5500 crore where Procter & Gamble controls nearly half the market with its Pampers brand, followed by Unicharm's Mamy Poko.",neutral,neutral,0.8049722423364661,neutral,0.0047770890807642,neutral
2018-07-06 13:02:29.864,828.6,842.2,826.67,835.27,156085.0,Godrej Consumer sells diaper brand Snuggy to Nobel Hygiene: Report,GCPL is reportedly exiting the baby care space after 15 years. ,neutral,neutral,0.8049722423364661,neutral,0.0047770890807642,neutral
2018-07-11 13:00:17.651,887.33,890.6,871.37,878.67,434926.0,"FMCG index hits new high; HUL, Godrej Consumer at record levels","At 11:43 am; Nifty FMCG index was up 0.75% at 29,938, as compared to 0.10% decline in the Nifty 50 index.",positive,positive,-0.975961592643107,negative,-0.5728733642358431,neutral
2018-07-11 18:00:28.761,887.33,890.6,871.37,878.67,434926.0,D-Street Buzz: IT stocks gallop ahead as TCS hits record high; Metals index plunges with Coal India down 4%,"Some of the top BSE gainers include names like Adani Power which zoomed over 12 percent followed by Adani Enterprises, EROS International Media, IDBI and Godrej Consumer Products.",negative,neutral,-0.975961592643107,negative,-0.5728733642358431,neutral
2018-07-25 18:01:48.487,909.73,917.4,885.33,892.0,600378.0,"Infosys, Indiabulls Ventures, Relaxo Footwears hit new high","Bajaj Finserv, NIIT Tech, VIP Ind, Asian Paints, Berger Paints, Exide Ind, Godrej Consumer and Whirlpool India were among 11 stocks from S&P BSE500 index hitting their respective new highs on the BSE.",positive,neutral,-1.9489299022787,negative,-1.7910514591472355,negative
2018-07-30 13:00:11.835,873.8,882.43,857.33,881.17,589121.0,Godrej Consumer Q1 PAT surges 80% to Rs 405 crore; Co announces bonus issue,Board has approved issue of one equity share for every 2 shares held.,positive,neutral,0.8434424353398954,neutral,-0.8280032037181214,neutral
2018-07-30 18:01:42.078,873.8,882.43,857.33,881.17,589121.0,Godrej Consumer Products Q1 net up 79.88% at Rs 405.04 crore,"Godrej Consumer ‘s consolidated total revenue from operations during the quarter under review stood at Rs2,476.02 crore",positive,neutral,0.8434424353398954,neutral,-0.8280032037181214,neutral
2018-07-31 13:03:07.182,886.47,886.47,872.03,879.13,312720.0,"Brokerages mixed on Godrej Consumer, but raised target post Q1 earnings beat estimates",Brokerage houses are mixed in their ratings as some have downgraded the stock due to high valuations and some retained ratings. But all brokerage houses raised target prices on the stock.,positive,negative,-0.8280032037181214,neutral,0.4555808656036446,neutral
