date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-02-28 13:02:52.461,471.9,476.23,469.17,471.15,2769528.0,"HCL Tech looks to small towns to curb attrition, bring stability","Sanjay Gupta, executive vice president of HCL Technologies told ET that Vijayawada is likely to be the next stop with operations expected to begin from June of 2019.",positive,neutral,-0.1589319771137953,neutral,-0.5197284683920214,neutral
2018-03-06 18:01:21.051,469.0,475.5,467.4,475.0,5690840.0,HCL Technologies rises 2% on partnership with Norway based company Statkraft,"The company has signed a significant IT deal with the Norway based global energy company Statkraft, which is Europe's leading generator of renewable energy and Norway's largest.",neutral,positive,1.279317697228145,positive,-0.3672612801678908,neutral
2018-03-07 18:00:56.169,476.5,482.0,473.0,474.75,4234140.0,HCL Technologies gains 2%; CLSA sees 25% upside in the stock after IT deal with Norway's Statkraft,CLSA said HCL Tech is likely to see a growth recovery in infrastructure management services segment and applications & engineering segments are growing ahead of peers.,positive,positive,-0.3672612801678908,neutral,-0.3157894736842105,neutral
2018-03-20 18:00:54.184,472.48,474.95,463.23,470.25,3816548.0,CLSA rates HCL Technologies as top pick in IT space,The brokerage said its meeting with CEO C Vijayakumar reaffirmed its confidence in the company.,positive,positive,-0.4719776498476164,neutral,-1.5083917569577154,negative
2018-04-03 18:01:11.644,490.5,490.62,474.75,479.62,1798394.0,Large IT firms may report 1.3-1.7% revenue growth; Persistent offers buying opportunity: Credit Suisse,HCL Technologies & Persistent Systems are looking interesting as we get into the results season.,positive,neutral,-2.218144750254841,negative,-0.7319587628866002,neutral
2018-04-06 13:01:56.709,486.0,485.7,475.3,475.75,2505562.0,HCL Technologies acquires C3i Solutions for $60 million,"C3i Solutions is a wholly owned, independently operated subsidiary of Merck & Co, (known as MSD outside the US and Canada).",neutral,neutral,-2.109053497942387,negative,-0.1362255056061987,neutral
2018-04-06 18:01:12.655,486.0,485.7,475.3,475.75,2505562.0,HCL Technologies acquires C3i Solutions for $60 million,"HCL Technologies has acquired C3i Solutions for $60 million, a move aimed at accelerating the Indian IT firm’s growth in life sciences and consumer services",neutral,positive,-2.109053497942387,negative,-0.1362255056061987,neutral
2018-04-13 13:02:23.826,507.25,510.0,494.12,494.85,6351758.0,"HCL Tech, Sumeru Equity to buy Actian for $330 million","HCL Technologies and Sumeru Equity Partners (SEP), a private equity firm, are to jointly acquire Actian Corporation for $330 million in an all-cash deal.HCL will own 80 per cent while SEP will own th",neutral,neutral,-2.444553967471656,negative,1.8426966292134797,positive
2018-04-23 13:00:41.972,542.45,549.88,529.05,531.1,3988016.0,Nifty IT index surges 13% in April; TCS soars 25% in 16 trading days,"TCS, HCL Technologies, Hexaware Technologies, KPIT Technologies, Mindtree, NIIT Technologies, Sasken Technologies and Tata Elxsi have hit their respective all-time highs.",positive,positive,-2.09235874274127,negative,0.7684773600542533,neutral
2018-04-27 14:29:48.961,538.5,545.33,517.5,520.55,4757530.0,Boundaries fixed for land given to HCL Tech,A team of the AP-Capital Region Development Authority (AP-CRDA) conducted a survey of the land allotted to IT major HCL Technologies at Gannavaram and fixed its boundaries on Thursday. According to of,neutral,neutral,-3.333333333333341,negative,0.3908856897702268,neutral
2018-05-01 18:01:10.487,525.0,525.97,497.75,502.67,14934914.0,HCL Technologies Q4FY18 results: Here's what brokerages expect,HCL Technologies will announce Q4FY18 results on Wednesday. HCL Tech had a 0.30% QoQ increase in its consolidated net profit at Rs 21.94bn for the December 2017 quarter. Check HCL total earnings.,neutral,positive,-4.25333333333333,negative,-7.622868605817453,negative
2018-05-02 10:02:54.323,525.0,525.97,497.75,502.67,14934914.0,"HCL Tech net up 1.5% at Rs 2,227 cr","Delhi-based IT major HCL technologies has registered a net profit of Rs 2,227 crore, up 1.5 per cent, for the quarter ended March 2018. Revenues for the fourth quarter stood at Rs 13,179 crore, up 2.9",positive,positive,-4.25333333333333,negative,-7.622868605817453,negative
2018-05-02 13:02:22.915,498.5,498.5,460.0,460.5,15253324.0,"HCL Technologies Q4 profit rises to Rs2,227 crore","For the same quarter, HCL Technologies’ revenues stood at Rs50,570 crores, up 2.9% from the previous quarter and 8.2% from the year-ago quarter",positive,positive,-7.622868605817453,negative,0.4962295224061636,neutral
2018-05-02 18:01:55.270,498.5,498.5,460.0,460.5,15253324.0,"HCL Tech shares fall 5%, market cap drops Rs7,009 crore after Q4 earnings","HCL Technologies shares fell 4.79% to close at Rs1,001.05 on BSE after the company posted a 9.8% drop in consolidated net profit for the March 2018 quarter",negative,negative,-7.622868605817453,negative,0.4962295224061636,neutral
2018-05-03 10:00:39.774,498.5,498.5,460.0,460.5,15253324.0,"For HCL Technologies, FY19 may not be a better year","HCL Technologies, for FY19, has guided for 10.5% growth at the mid-end of its guidance range, and has said that about half of this will come from acquisitions and other inorganic activity",positive,positive,-7.622868605817453,negative,0.4962295224061636,neutral
2018-05-14 23:01:07.880,460.15,466.35,455.77,461.95,4237210.0,Hold HCL Technologies; target of Rs 1000: ICICI Direct,"ICICI Direct recommended hold rating on HCL Technologies with a target price of Rs 1000 in its research report dated May 03, 2018.",neutral,positive,0.3911767901771186,neutral,-0.3685636856368539,neutral
2018-05-22 18:00:13.624,452.5,459.2,445.92,448.5,3732288.0,HCL Technologies joins hands with Blockchain in Transportation Alliance,"HCL Technologies has joined Blockchain in Transportation Alliance (BiTA), a consortium that works on blockchain-based solutions for the transportation industry, to develop blockchain-based solutions f",neutral,positive,-0.8839779005524863,neutral,0.7770762506070868,neutral
2018-05-23 10:00:37.855,452.5,459.2,445.92,448.5,3732288.0,"
HCL Technologies joins Blockchain in Transportation Alliance
","Global technology giant HCL Technologies on Tuesday announced it has joined the Blockchain in Transportation Alliance (BiTA), an organisation dedicated to determine best practices and standards for Blockchain in the transportation industry.",neutral,neutral,-0.8839779005524863,neutral,0.7770762506070868,neutral
2018-05-23 10:00:37.937,452.5,459.2,445.92,448.5,3732288.0,HCL Technologies joins Blockchain in Transportation Alliance,Powered by Capital Market - Live News,neutral,neutral,-0.8839779005524863,neutral,0.7770762506070868,neutral
2018-05-31 18:00:42.656,455.0,461.95,450.0,452.17,1937720.0,Wipro Infra sets up industrial automation unit in India,"The overall Indian industrial automation market is $2 bn and out of that opportunity for system integrators such as Wipro, TCS, Infosys, HCL Technologies is approximately worth $ 400 million, which is seeing 17-18% growth.",neutral,positive,-0.6219780219780184,neutral,-0.6990077177508304,neutral
2018-06-01 18:01:54.324,455.0,461.95,450.0,452.17,1937720.0,HCL Technologies signs collaboration agreement with JDA Software,"The alliance will increase services capabilities for these solutions, enable new and enhanced product innovations, and allow expansions into new markets also leveraging other portfolio products.",positive,positive,-0.6219780219780184,neutral,-0.6990077177508304,neutral
2018-06-14 00:25:37.765,464.0,470.0,460.52,468.0,3729454.0,HCL seeks govt approval for IT SEZ in Andhra Pradesh; to invest over $4 bn,HCL Technologies has proposed to develop the project at an area of 10.43 hectares,neutral,neutral,0.8620689655172413,neutral,1.17400956284153,positive
2018-06-14 18:31:16.395,468.48,477.0,465.52,473.98,6181382.0,HCL Tech inks deal with Falck for IT infra transformation,"HCL Technologies has signed an end-to-end IT infrastructure services deal with Falck, a leader in the ambulance and healthcare markets. Through this deal, HCL will support Falck’s business transformat",positive,positive,1.17400956284153,positive,-2.130958617077007,negative
2018-06-21 18:01:37.918,453.52,460.9,450.92,452.73,4027946.0,"HCL, Nokia sign five-year deal","HCL Technologies has partnered with Finnish telecommunications company Nokia to modernise its IT infrastructure and applications landscape.Under this five-year deal, HCL will transition services from",positive,positive,-0.1741929793614313,neutral,0.5635981876450462,neutral
2018-06-21 23:02:41.770,453.52,460.9,450.92,452.73,4027946.0,"HCL Tech , Nokia sign 5 -year IT infrastructure deal","HCL Technologies partners with Nokia to modernise its IT infrastructure and applications landscape. Under this five year deal, HCL will transition services from four incumbent vendors to establish an",neutral,positive,-0.1741929793614313,neutral,0.5635981876450462,neutral
2018-06-27 13:02:16.694,463.23,464.98,452.45,455.65,13542836.0,HCL acquires German IT firm H&D,"HCL Technologies today said it has signed an agreement to acquire Germany-based IT and engineering services provider, H&D International Group, to help expand its presence in the European nation. T",neutral,positive,-1.6363361613021696,negative,1.4002844327754025,positive
2018-06-28 13:01:12.610,457.05,464.38,456.67,463.45,6052272.0,HCL’s acquisition strategy fails to impress investors,"Since April, HCL Technologies has spent  $359 million on acquiring three companies: H&D International Group, C3i Solutions, Actian Corp",negative,neutral,1.4002844327754025,positive,-0.1186623516720628,neutral
2018-07-03 18:00:48.143,468.48,469.25,462.0,463.4,1544328.0,Infosys scales fresh all-time high; Q1 earnings on July 13,"The brokerage house maintained ‘Buy on Infosys, Tech Mahindra and HCL Technologies. However, it has ‘Hold rating on TCS and Wipro.",neutral,neutral,-1.0843579234972764,negative,0.3124663290593661,neutral
2018-07-06 10:00:44.296,467.5,474.77,461.5,471.15,5052744.0,"Infosys stock slumps 5% most since August 21, 2017; NSE IT index falls 1%","Wipro, TCS and HCL Technologies ended with gains of more than half a per cent",negative,positive,0.7807486631015994,neutral,1.4752370916754478,positive
2018-07-09 18:01:28.594,497.5,497.5,487.52,490.0,10970132.0,HCL Technologies gets govternment's nod to set up SEZ in Andhra Pradesh,"HCL Technologies are to set up a new IT special economic zone (SEZ) in Vijayawada, Andhra Pradesh, with a proposed investment of Rs 408.48 crore.
",neutral,neutral,-1.507537688442211,negative,0.6404391582799588,neutral
2018-07-09 23:01:29.800,497.5,497.5,487.52,490.0,10970132.0,HCL Technologies to consider share buy-back on 12 July,HCL Technologies’ board of directors to meet on 12 July to consider a proposal for buy-back of equity shares,positive,neutral,-1.507537688442211,negative,0.6404391582799588,neutral
2018-07-10 10:00:48.195,497.5,497.5,487.52,490.0,10970132.0,HCL Technologies gains 4% as board mulls share buyback proposal,"HCL Technologies was up 4% to Rs 1,000 on the BSE in early morning trade as the company said on Monday after market hours that it will consider share buy-back on July 12.",positive,positive,-1.507537688442211,negative,0.6404391582799588,neutral
2018-07-10 13:00:44.027,491.85,500.55,489.58,495.0,10187374.0,HCL Tech jumps 3.5% on buyback proposal,Shares of HCL Technologies Ltd rose as much as 3.5 per cent to Rs 995 as the company had said on Monday that it will consider share buyback on July 12.“A meeting of the board of directors of the compa,positive,positive,0.6404391582799588,neutral,0.4016064257028076,neutral
2018-07-10 13:01:25.138,491.85,500.55,489.58,495.0,10187374.0,"If HCL Technologies does follow through on the move, it will be the second leading IT firm to take the buyback route this year. Just last month, Tata Consultancy Services had announced a Rs 16,000 crore share buyback plan.","If HCL Technologies does follow through on the move, it will be the second leading IT firm to take the buyback route this year. Just last month, Tata Consultancy Services had announced a Rs 16,000 crore share buyback plan.",positive,positive,0.6404391582799588,neutral,0.4016064257028076,neutral
2018-07-12 00:05:25.310,502.98,509.9,501.0,505.0,10008338.0,Five things to watch out for on July 12,"The HCL Technologies board will consider share buyback today. The proposal comes within a month of TCS declaring a ₹16,000 crore share buy-back programme. Last year, HCL Tech bought back shares worth ",neutral,neutral,0.4016064257028076,neutral,-1.2738214643931842,negative
2018-07-12 00:05:55.000,502.98,509.9,501.0,505.0,10008338.0,HCL Technologies: Eyes on buyback meet,"The board of HCL Technologies will meet on Thursday to consider a share buyback proposal. Investors and shareholders would be keen to know the buyback size and price. Besides, promoters’ interest woul",neutral,neutral,0.4016064257028076,neutral,-1.2738214643931842,negative
2018-07-12 10:01:48.043,502.98,509.9,501.0,505.0,10008338.0,HCL Technologies gains 1% ahead of board meet to consider buyback,"A meeting of the board of directors of the company is scheduled to be held on July 12, 2018, to consider a proposal for buyback of equity shares.",positive,neutral,0.4016064257028076,neutral,-1.2738214643931842,negative
2018-07-12 23:00:57.039,498.5,498.9,488.0,492.15,11365486.0,"HCL Technologies board clears Rs 4,000 crore share buyback at Rs 1,100 apiece","The company, with a m-cap of Rs 1,38,551 crore, aims to maximise the return of cash to shareholders.",neutral,positive,-1.2738214643931842,negative,-0.9746192893401038,negative
