date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-13 18:01:05.423,52.35,52.75,51.85,52.15,4866047.0,RBI fines IndusInd Bank Rs 3 crore over compliance issues,"For similar reasons, RBI had also imposed Rs 6 crore penalty on Yes Bank and Rs 2 crore on IDFC bank for deficiencies found in regulatory compliance relating to loans and advances",negative,negative,-0.3820439350525365,neutral,0.0,neutral
2017-12-18 18:02:44.670,52.5,53.75,52.35,53.65,5635224.0,"Mid, Smallcap indices fall over 2% intra-day trade; Adani group stocks hit","Dena Bank, IDFC Bank, Bank of Maharashtra, Power Finance Corporation, Reliance Capital and United Bank of India from the financials and banks were hitting their 52-week lows in intra-day trade today.",negative,negative,2.190476190476188,positive,0.1860465116279096,neutral
2017-12-19 18:01:19.021,53.75,54.15,53.35,53.85,3839161.0,"Market Now: IDFC Bank, South Indian Bank keep Nifty Private Bank index in the green","The Nifty Private Bank index was trading 0.58 per cent up at 14,170 around 02:50 pm (IST).",neutral,positive,0.1860465116279096,neutral,2.7001862197392845,positive
2017-12-28 18:02:05.104,54.2,54.85,54.1,54.2,4352406.0,Extra borrowing not for further spending; see FY18 fiscal deficit at 3.5-3.6%: Pros,"It is clear that the fiscal deficit of 3.2 percent will not be met in FY18 but it would around 3.6 percent, said Indranil Pan, Chief Economist, IDFC Bank.",neutral,negative,0.0,neutral,1.0110294117647138,positive
2018-01-04 13:01:10.069,54.65,58.8,54.7,58.35,24461525.0,"IDFC Bank's board meeting on January 19,2018","In compliance with Regulation 29(1) & 29(2) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that a Board Meeting of IDFC Bank Limited will be held on Friday, January 19, 2018 at Mumbai, to discuss and approve, among other items, the Unaudited Financial Results (subjected to Limited Review by Auditors) for the",neutral,neutral,6.770356816102476,positive,5.518394648829439,positive
2018-01-08 18:00:36.282,64.45,65.0,61.65,62.75,26396796.0,Stocks 360: Here's why JSPL & IDFC Bank is buzzing,Watch CNBC-TV18's Nigel D'Souza and Latha Venkatesh give a 360 degree round up on Jindal Steel and Power (JSPL) and IDFC Bank respectively.,neutral,neutral,-2.637703646237397,negative,0.7936507936507936,neutral
2018-01-10 13:01:34.795,63.1,69.0,62.8,68.25,61174827.0,IDFC Bank drops on merger talks with Capital First,IDFC Bank was trading 1.04 per cent down at Rs 62.10 at around 10.30 am.,neutral,negative,8.161648177496035,positive,-2.7142857142857224,negative
2018-01-11 13:02:25.568,70.0,70.25,65.5,68.1,36241141.0,IDFC Bank busy battling bad loans; reaching scale still a long journey,The bank had a slow start in mobilising retail franchisee,neutral,negative,-2.7142857142857224,negative,-6.331877729257654,negative
2018-01-11 18:02:17.330,70.0,70.25,65.5,68.1,36241141.0,"IDFC Bank, Capital First merger talks may be in final stages: Sources",Sources familiar with the developments tell CNBC-TV18 that these negotiations may be in final stages and the deal may be announced in the next few days.,neutral,neutral,-2.7142857142857224,negative,-6.331877729257654,negative
2018-01-12 13:02:39.227,70.0,70.25,65.5,68.1,36241141.0,Deal brewing between IDFC Bank & Capital First: Here's how expert reacts,Sources say that merger talks between IDFC Bank and Capital First may be in the final stages though both managements remain non-committal on the news.,neutral,neutral,-2.7142857142857224,negative,-6.331877729257654,negative
2018-01-14 13:00:23.813,68.7,68.9,63.9,64.35,92066830.0,"News digest: IDFC Bank-Capital First merger, SC crisis, World Bank and more","From IDFC Bank and Capital First merger to rising corporate bond yields, BS brings you up to date with the latest news",neutral,positive,-6.331877729257654,negative,-6.093749999999998,negative
2018-01-14 13:01:17.097,68.7,68.9,63.9,64.35,92066830.0,IDFC Bank is getting a person who understands retail: CEO Rajiv Lall,The merger with Capital First will drive home three years of growth at one go to IDFC Bank: Rajiv Lall,neutral,positive,-6.331877729257654,negative,-6.093749999999998,negative
2018-01-15 13:01:05.969,64.0,64.1,59.8,60.1,36645484.0,Rajiv Lall And V Vaidyanathan On The IDFC Bank-Capital First Merger,Rajiv Lall of IDFC Bank and V Vaidyanathan of Capital First speak about the merged company’s plan going ahead. ,neutral,neutral,-6.093749999999998,negative,1.1676396997497844,positive
2018-01-16 13:02:27.156,59.95,61.9,59.75,60.65,21463138.0,JM Financial appoints banks for $100 million QIP,JM Financial  appoints Credit Suisse and IDFC Bank for its qualified institutional placement (QIP) offering,neutral,neutral,1.1676396997497844,positive,-4.14634146341463,negative
2018-01-16 13:03:44.869,59.95,61.9,59.75,60.65,21463138.0,"IDFC Bank, Capital First merger: will the shoe fit this time?","In the roughly three-and-a-half years of its existence, IDFC Bank acquired a micro finance firm in 2016, and now aims to merge with retail and small business financier Capital First",neutral,neutral,1.1676396997497844,positive,-4.14634146341463,negative
2018-01-17 13:01:48.155,61.5,61.9,57.65,58.95,23794716.0,"IDFC Bank, Capital First merger: A study in contrast of two dealmakers","After setting off on this banking adventure like the ones in Chad or Papua New Guinea, Lall completed the leg with him handing over the reins to Vaidyanathan of Capital First.",neutral,neutral,-4.14634146341463,negative,-0.254452926208661,neutral
2018-01-17 13:01:48.823,61.5,61.9,57.65,58.95,23794716.0,Banking stocks surge after govt cuts additional borrowing target to Rs 20k cr,"The Nifty Bank gained was up around 0.28 percent, led by gains of 1-2 percent in ICICI Bank, Axis Bank, Punjab National Bank, Bank of Baroda and IDFC Bank, among others.",positive,positive,-4.14634146341463,negative,-0.254452926208661,neutral
2018-01-19 13:03:04.331,58.95,59.6,57.25,58.8,17358372.0,"Two insurance cos, IDFC Bank results",Friday will see a host of companies that are widely followed by analysts reporting the,neutral,neutral,-0.254452926208661,neutral,2.681660899653987,positive
2018-01-19 18:00:11.384,58.95,59.6,57.25,58.8,17358372.0,IDFC Bank Q3 profit falls 24% to Rs146 crore,IDFC Bank’s net profit fell to Rs146.11 crore for the quarter ended 31 December from Rs191.26 crore a year ago,positive,negative,-0.254452926208661,neutral,2.681660899653987,positive
