date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-18 18:02:17.581,120.85,121.5,117.3,118.2,1348587.0,Indian Hotels faces stiff competition for Taj Mansingh,A number of established hotel companies are jumping into the fray for this 294-room iconic property in Lutyens' Delhi,negative,positive,-2.1928009929664807,negative,-0.6350550381033023,neutral
2018-01-16 13:00:12.661,144.0,150.0,144.0,149.25,2006541.0,30-100% returns in 1 yr: Hotel stocks are soaring & there's more steam left,"With premium hotels best-placed to reap the benefits, stocks such as Indian Hotels and EIH should see a revenue uptick",positive,positive,3.6458333333333335,positive,-5.548128342245978,negative
2018-01-29 13:58:25.340,141.4,147.35,142.0,143.0,1436807.0,Indian Hotels looks to enter branded homes business,Indian Hotels is in talks with Chaudhary Group to set up a residential project under the Taj brand in Colombo,neutral,neutral,1.131541725601127,positive,-2.709359605911326,negative
2018-01-30 13:01:23.795,142.1,145.5,137.15,138.25,908244.0,"Indian Hotels boosts online revenue with digital push, 24-hr command centre",The Tata hotel chain's tech platforms and round-the-clock command centre have helped in attracting digital natives,positive,positive,-2.709359605911326,negative,-0.8595988538681867,neutral
2018-02-13 13:02:10.641,140.1,142.7,135.05,135.7,1464573.0,Indian Hotels Q3 profit up 12% at Rs112 crore,"Indian Hotels has recorded a 6% growth in its total income to Rs1,217 crore as against the same period last year",positive,positive,-3.140613847251967,negative,-1.1713030746705668,negative
2018-02-16 13:00:28.566,136.95,137.65,132.2,133.1,844444.0,Taj Exotica Resort opens in Andamans,Hospitality major Indian Hotels Company Ltd (IHCL) on Thursday announced opening of Taj Exotica Resort and Spa in Andamans. This newest beach destination at Radhanagar beach on Havelock Island will ha,neutral,positive,-2.8112449799196746,negative,2.555555555555547,positive
2018-02-19 13:00:38.111,136.25,140.25,134.25,134.55,1408858.0,New MD’s ‘3R’ strategy to push up Indian Hotels profitability,Puneet Chhatwal launches three-pronged strategy to improve margins,positive,positive,-1.2477064220183405,negative,-2.9648609077598707,negative
2018-02-21 13:00:57.821,132.65,135.9,132.0,132.0,1115218.0,Indian Hotels enters Bhopal,"Indian Hotels Company Ltd (IHCL), which operates the Taj and Vivanta hotel brands, has forayed into Bhopal, Madhya Pradesh, by launching Vivanta Bhopal, through a management contract with Genex Hotels",neutral,positive,-0.4900113079532647,neutral,-1.3157894736842104,negative
2018-03-07 18:03:01.420,132.8,133.85,128.5,129.6,2182417.0,Tata Sons to buy 6.64% stake in Indian Hotels Company from promoters,"Tata Sons, the promoter of Indian Hotels, will acquire shares of Sir Dorabji Tata Trust, Lady Tata Memoral Trust and Sir Ratan Tata Trust",neutral,neutral,-2.40963855421688,negative,-1.2251148545176067,negative
2018-03-15 13:00:46.729,133.4,134.2,129.5,130.25,797763.0,Indian Hotels gain after Tata Sons acquire stake from promoter entities,The stock was up 5% to Rs 137 on BSE in intra-day trade after Tata Sons acquired more than 6% stake in the company from three promoter entities as part of restructuring the investment portfolio,positive,positive,-2.36131934032984,negative,-2.4446142093200938,negative
2018-04-05 13:00:59.498,137.3,137.45,134.15,136.15,1186627.0,Indian Hotels Company up 4% on extraordinary income from Newbury Owner,The extraordinary income is for modification of certain contractual terms.,neutral,neutral,-0.8375819373634418,neutral,0.8804108584005784,neutral
2018-04-10 13:01:32.498,135.95,136.05,133.75,134.65,3181588.0,IHCL appoints new chief for Roots,"The Indian Hotels Company Ltd (IHCL) has announced the appointment of Deepika Rao as Managing Director and Chief Executive Officer of Roots Corporation Ltd, a subsidiary of IHCL that owns and manages",neutral,neutral,-0.9562339095255484,negative,-1.4814814814814816,negative
2018-04-17 18:00:21.108,148.3,155.3,148.0,152.55,10149973.0,Indian Hotels announces first Taj property in Saudi Arabia,IHCL tied up with Umm Al Qura Development and Construction Company in the King Abdul Aziz Road (KAAR) ,neutral,neutral,2.865812542144302,positive,-2.1304490331039,negative
2018-04-18 13:00:43.307,152.55,154.15,148.1,149.3,1928157.0,Indian Hotels enters Saudi with first Taj hotel in Makkah,"Indian Hotels Company (IHCL) that runs the Taj brand of luxury hotels, today announced its entry into Saudi Arabia with a 340-keys property in Makkah.The property - fourth in the Middle East region fo",neutral,neutral,-2.1304490331039,negative,-0.8005336891260953,neutral
2018-04-24 18:01:21.843,149.3,149.3,143.4,145.7,1327736.0,Lonavala to have Taj resort soon,Indian Hotels Company Ltd. signs pact with Pune group to operate it through a management control.,neutral,neutral,-2.411252511721381,negative,0.0342583076396103,neutral
2018-04-25 13:01:18.614,145.95,152.0,145.0,146.0,1960386.0,Indian Hotels enters Lonavala,"The Indian Hotels Company Ltd (IHCL) has entered Lonavala through a management contract with Wilds and Water Developers, a part of the Kakade Group. The Taj-branded resort will be located with easy ac",neutral,positive,0.0342583076396103,neutral,-3.1260618416581685,negative
2018-04-26 13:34:53.408,147.15,147.5,142.5,142.55,548353.0,Taj Mansingh auction to now begin on 19 June,The New Delhi Municipality Council (NDMC) in a notice today said potential bidders can submit bids for the 292-room five-star hotel currently operated by the Indian Hotels from 18 May,neutral,positive,-3.1260618416581685,negative,2.744961779013196,positive
2018-04-27 14:29:25.625,147.15,147.5,142.5,142.55,548353.0,"Indian Hotels stock: Lower debt, higher room revenues to aid margin",The luxury segment and the cities the company has a presence in are expected to see higher demand and lower supply,positive,positive,-3.1260618416581685,negative,2.744961779013196,positive
2018-05-08 13:02:59.213,144.15,145.85,142.0,142.4,1454861.0,"Divi's Labs, Pfizer among top 5 stocks that could deliver up to 16% return","Divis Laboratories, Crompton Greaves Consumer Electricals, Indian Hotels, Pfizer and Bombay Dyeing could give up to 16% return in the short term",positive,neutral,-1.2140131807145331,negative,-2.174675552437757,negative
2018-05-22 18:00:42.370,138.0,140.0,136.0,136.7,210064.0,Delhi HC rejects Indian Hotels Company Ltd’s plea against tender process to auction Taj Mahal Hotel,"The Delhi HC on Tuesday dismissed a plea by Tata Group-owned Indian Hotels Company Ltd, challenging the tender procedure for the proposed auction of Taj Mahal Hotel by NDMC",neutral,negative,-0.9420289855072546,negative,0.073367571533378,neutral
2018-05-23 18:00:31.890,136.3,137.9,134.7,136.4,158697.0,IHCL to open second Ginger Hotel in Visakhapatnam,The Indian Hotels Company (IHCL) today said it has signed second Ginger hotel in Visakhapatnam.,neutral,positive,0.073367571533378,neutral,-0.8759124087591158,neutral
2018-05-25 23:00:20.905,137.0,139.7,135.2,135.8,319908.0,Indian Hotels’ Q4 profit up 70% to Rs79.3 crore,"Indian Hotels, bolstered by its performance in Q4, swung back to profit in FY18—posting a gain of Rs103.52 crore for the whole as compared to loss of Rs45.60 in FY17",positive,positive,-0.8759124087591158,neutral,2.2580645161290365,positive
2018-05-25 23:00:48.143,137.0,139.7,135.2,135.8,319908.0,IHCL posts 70.42% rise in Q4 net profit at Rs 79.30 crore,"Tata group's hospitality arm Indian Hotels Company (IHCL) today posted 70.42 percent rise in consolidated net profit at Rs 79.30 crore during the March quarter, due to improvement in EBITDA margins and optimisation measures.",positive,positive,-0.8759124087591158,neutral,2.2580645161290365,positive
2018-05-28 18:02:41.985,143.5,148.8,143.0,146.4,2125065.0,Indian Hotels stock rallies 7% as HSBC raises target post strong Q4 nos,HSBC expects 2019 growth to be better than 2018. ,positive,positive,2.020905923344952,positive,-1.6095890410958866,negative
2018-05-29 18:00:13.238,146.0,147.95,143.1,143.65,997038.0,Indian Hotels Q4: On track to grow business and improve margins,"Overall, the initiatives on rigorous restructuring, exits from non-core non-profitable businesses, and increased focus on improving margins appear to be bearing fruit",positive,positive,-1.6095890410958866,negative,-1.9031141868512111,negative
2018-05-30 10:02:59.091,146.0,147.95,143.1,143.65,997038.0,"Top trading ideas by HDFC Securities: Buy Dabur India, Indian Hotels","Nifty outlook and top trading ideas by Vinay Rajani, Technical Analyst, HDFC Securities.",neutral,neutral,-1.6095890410958866,negative,-1.9031141868512111,negative
2018-06-04 10:00:57.358,140.3,142.2,135.5,135.8,508413.0,Indian Hotels stock: Well-placed to ride the demand opportunity,Operational gains will be driven by domestic business; debt reduction should add to profits,neutral,positive,-3.2074126870990733,negative,-2.194586686174104,negative
2018-06-08 10:00:46.535,139.0,142.4,137.2,141.2,1065262.0,"Indian Hotels sole bidder for Taj Mansingh, auction likely to be stalled again",The auction of Taj Mansingh hotel may again be stalled as Indian Hotels Company Ltd is the only bidder for the 292-room luxury property,negative,negative,1.582733812949632,positive,-1.953818827708704,negative
2018-06-11 10:02:35.453,140.75,143.95,137.8,138.0,640549.0,"Indian Hotels, Sarovar, The Byke in race to acquire The Connaught","In May 2016, NDMC had sealed The Connaught after probe into the murder of estate officer M.M. Khan revealed the involvement of then promoter Ramesh Kakkar",neutral,neutral,-1.953818827708704,negative,-0.2889129649692866,neutral
2018-06-13 10:00:25.409,138.05,140.85,135.55,135.9,1152215.0,"Taj Mansingh auction date to be set in 1 Month, tender unchanged: NDMC","Indian Hotels Company (IHCL), the current operator of the property, was the only bidder for the hotel last week, which led to annulment of the auction that was to be held next week.",neutral,neutral,-1.5574067366896092,negative,-0.2214022140221486,neutral
2018-06-14 18:32:04.032,135.75,136.9,131.2,132.35,2138441.0,Ideas for profit: Time to check into these hotels,"We have high conviction on Indian Hotels and it remains our top pick. From the midcap space, we like Royal Orchid.",neutral,positive,-2.504604051565382,negative,2.1582733812949595,positive
2018-06-19 10:02:22.343,134.45,134.45,132.45,133.9,310283.0,Hospitality bumps: Why Indian hotels are doing poorly & bankers looking to recover loans,"The red carpet is wearing thin at Indias large hotels, stampeded by bankers looking to recover loans. Overdevelopment and plummeting rentals have pushed NPAs through the hotel roof.",negative,negative,-0.4090740052063837,neutral,0.0,neutral
2018-06-20 23:01:51.077,134.0,135.05,131.2,133.65,1370725.0,Taj Hotels wins bid to run The Connaught for 33 years,"Indian Hotels, which runs the Taj Group of Hotels, emerged as the highest bidder for The Connaught by offering to share with NDMC 31.6% of the annual revenue that it will earn from the property",positive,positive,-0.261194029850742,neutral,3.4090909090909087,positive
