date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-02 18:01:01.130,129.3,129.97,128.4,128.75,1954699.0,"Closing bell: Sensex ends flat, Nifty Midcap underperforms; IOC, HPCL, BPCL dip","Anil Dhirubhai Ambani Group stocks were under pressure on profit booking. Reliance Naval and Reliance Communications plunged over 10 percent while Reliance Infrastructure, Reliance Power, Reliance Nippon and Reliance Capital were down 1-7 percent.",neutral,negative,-0.4253673627223598,neutral,0.1550387596899136,neutral
2018-05-08 23:02:30.245,108.1,111.93,107.17,111.27,20170902.0,"We have decided to temporarily moderate retail prices, says IOC Chairman",State-owned oil firms have since April 24 not changed petrol and diesel prices despite benchmark international product rates going up by nearly $3 per barrel.,positive,neutral,2.932469935245145,positive,1.2372437460489392,positive
2018-05-09 10:00:47.050,108.1,111.93,107.17,111.27,20170902.0,OMCs under pressure as Trump dumps Iran nuclear deal; HPCL falls 5%,"HPCL, BPCL and IOC were down between 3% and 5% on the BSE in early morning trade.",neutral,negative,2.932469935245145,positive,1.2372437460489392,positive
2018-05-10 23:01:32.571,112.53,115.4,112.3,112.5,22354090.0,"Freeze on fuel prices hike coincidental, says IOC chief","Before prices were stabilised, there were daily spikes varying from 25 paise to 35 paise, resulting in change in fuel prices by Rs two or Rs three every 15 days.",positive,neutral,-0.0266595574513473,neutral,-1.0292953285827409,negative
2018-05-11 18:02:39.320,112.53,115.4,112.3,112.5,22354090.0,IOC buys 3 million barrels June-loading US crude as arbitrage opens,State-refiner Indian Oil Corp. (IOC) has bought 3 million barrels of US crude for loading in June as the arbitrage for American oil to Asia has opened,neutral,positive,-0.0266595574513473,neutral,-1.0292953285827409,negative
2018-05-18 18:01:13.153,109.33,110.77,107.77,109.17,15219663.0,"IOC teams up with MCPI to set up a Rs 1,000 crore polyester staple fibre unit in Odisha",The unit is scheduled to come up on 200 acres at Dhamnagar in the states Bhadrak district. It will source raw material from Haldia in West Bengal.,neutral,neutral,-0.1463459251806426,neutral,0.7317296259032262,neutral
2018-05-21 23:00:35.181,111.2,111.3,105.23,106.2,28270064.0,"SBI, HPCL, IOC, Cipla, Dr Reddy’s, Bosch results"," Close to 60 companies including Andhra Bank, Allcargo, Bata India, Batliboi, Ballarpur, Bemco Hydraulics, Bosch, Bharat Forge, Capital Trust, CARE, Cipla, Dr Reddy’s Laboratories, GE Power, Future Co",neutral,neutral,-4.496402877697841,negative,-3.637048902289644,negative
2018-05-21 23:01:23.326,111.2,111.3,105.23,106.2,28270064.0,IOC Q4 results on Tuesday; here's what brokerages say,"Brokerage Prabhudas Liladhar expects 5.4% YoY rise in profit at Rs 3,921.3 crore.",neutral,positive,-4.496402877697841,negative,-3.637048902289644,negative
2018-05-22 10:01:41.336,111.2,111.3,105.23,106.2,28270064.0,"Stocks To Watch: Cipla, Dr. Reddy’s, HPCL, IOC",Stocks to watch out for in Tuesday’s trade.,neutral,neutral,-4.496402877697841,negative,-3.637048902289644,negative
2018-05-23 13:00:23.705,103.33,104.5,100.73,104.27,18468251.0,"OMCs under pressure; IOC hits 52-week low; HPCL, BPCL down 6%","It is likely that the government may ask IOC, HPCL and BPCL to freeze prices as a temporary arrangement, report",negative,neutral,0.909706764734344,positive,4.8850574712643615,positive
