date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-17 13:01:06.393,292.67,294.0,287.58,291.0,177876.0,Ipca Laboratories buys US API developer Pisgah Labs for $9.65 million,Ipca Laboratories says Ipca Pharmaceutical USA and Onyx Scientific UK acquires 100% share capital of Pisgah Labs for $9.65 million free of debt,neutral,neutral,-0.5706085352103105,neutral,-0.603448275862069,neutral
2018-02-07 18:01:35.241,289.75,301.8,289.5,294.6,2155344.0,"Fiberweb, Ipca Lab rise 9-16% on strong Q3 numbers",Ipca Laboratories has posted 155 percent rise in its Q3 net profit at Rs 105.6 crore against Rs 41.4 crore in a year ago period.,positive,positive,1.6738567730802494,positive,6.994818652849741,positive
2018-02-09 13:00:13.532,289.5,313.65,288.55,309.75,3785826.0,IPCA Labs: Eyes on FDA officials visit,"The US FDA could re-inspect the three facilities of Ipca Laboratories that are under the regulator’s import alert, in September. In the first half of the next fiscal there could be an inspection but i",neutral,neutral,6.994818652849741,positive,1.1111111111111112,positive
2018-02-09 18:00:51.801,289.5,313.65,288.55,309.75,3785826.0,23 stocks from BSE500 gain over 10% during current week in weak market,"FDC, SpiceJet, SAIL, Bharat Forge, Ipca Laboratories, Jet Airways and Bajaj Electricals are among 23 stocks from the S&P BSE500 index gaining an over 10% during current week in otherwise weak market",positive,positive,6.994818652849741,positive,1.1111111111111112,positive
2018-02-23 13:01:15.813,334.25,344.5,332.67,338.0,1514342.0,Ipca Laboratories (₹662.7),"The stock of Ipca Laboratories gained 3.7 per cent with good volume on Thursday. During the rally, the stock broke above a key long-term resistance at ₹640. The jump has given investors/traders an opp",neutral,positive,1.1219147344801794,positive,0.1130952380952367,neutral
2018-04-17 13:01:44.483,358.5,358.5,350.15,355.0,341230.0,IPCA Laboratories Q4 PAT seen up 209.3% YoY to Rs. 83.8 cr: Edelweiss,"Net Sales are expected to increase by 19.4 percent Y-o-Y (down 7.5 percent Q-o-Q) to Rs. 795.1 crore, according to Edelweiss.",positive,positive,-0.9762900976290098,negative,-2.266479663394105,negative
2018-08-09 13:02:07.863,375.1,379.2,367.58,370.0,494972.0,"D-Street Buzz: Pharma, PSU Bank stocks gain; Selan Exploration hits 52-week high","Bajaj Finance, IPCA Laboratories, Torrent Pharmaceuticals, Info Edge, Nelco, Selan Exploration, VIP Industries are some of the stocks which have hit new 52-week high in the morning trade on NSE.",positive,neutral,-1.3596374300186678,negative,0.0136054421768738,neutral
2018-08-09 18:00:50.783,375.1,379.2,367.58,370.0,494972.0,Ipca Labs Q1 net profit at Rs 65 cr on strong sales,"Ipca Laboratories today reported a standalone net profit of Rs 65.52 crore for the quarter ended June 30, mainly on account of robust sales. The drug firm had posted a net loss of Rs 20.25 crore in th",positive,negative,-1.3596374300186678,negative,0.0136054421768738,neutral
2018-10-03 13:00:58.307,328.42,329.55,316.3,320.5,129444.0,Ipca Labs arm acquires 80% stake in US-based Bayshore Pharmaceuticals for $10.28 mn,Pharmaceutical firm Ipca Laboratories on Wednesday announced the acquisition of 80 per cent stake in US’ Bayshore Pharmaceuticals LLC by its subsidiary for $10.286 million (approx Rs 75.4 crore).The a,neutral,neutral,-2.411546190853181,negative,-0.4672897196261681,neutral
2018-11-20 13:00:38.249,372.4,381.9,371.8,380.05,198872.0,Nomura raises price target for IPCA Lab,Nomura has raised the price target for shares of drugmaker IPCA Laboratories Ltd to Rs 915 from Rs 723.The stock is quoted flat at 761.45 today on the NSE.Brokerage house expects its earnings growth t,positive,positive,2.054242749731481,positive,4.230597739134995,positive
2019-02-12 18:01:32.922,375.0,378.5,370.05,375.5,781026.0,Ipca Laboratories Q3 net jumps 52% to Rs 160.18 cr,"Drug firm Ipca Laboratories on Tuesday posted a 52 per cent jump in its net profit at Rs 160.18 crore for the third quarter ended December 31, 2018. The company had posted a net profit of Rs 105.58 cr",positive,positive,0.1333333333333333,neutral,0.5099872503187312,neutral
