date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-05-10 10:02:34.426,282.95,283.95,277.3,282.0,5667637.0,Rivals square up to take on ITC as company's FMCG business expands,"While ITC has steadily added around Rs 7-10 billion in the FMCG top line in the past five years, analysts say there is still much work to do",neutral,positive,-0.3357483654355853,neutral,0.425682866264649,neutral
2018-05-15 23:00:39.604,279.95,288.8,279.55,286.35,18025259.0,"ITC, Hindalco, JSW Steel results on Wednesday"," Over 60 companies including Aarti Drugs, Alembic Pharma, Axis Bank, AIA Engineering, Balkrishna Paper, Brigade Enterprises, Birla Corp, Career Point, DB Corp, Dishman Carbogen, Gateway Distriparks, G",neutral,neutral,2.286122521878919,positive,-3.107638888888885,negative
2018-05-16 13:01:44.172,288.0,288.7,278.45,279.05,10724760.0,"ITC Q4 profit seen to grow in single digit, stock drops",The company is all set to announce its quarterly numbers later in the day.,positive,neutral,-3.107638888888885,negative,1.31035720696463,positive
2018-05-16 18:00:13.038,288.0,288.7,278.45,279.05,10724760.0,"RIL, ICICI Bank, HDFC twin drag Sensex 156 pts; Midcap index outperforms, HUL top gainer","Reliance Industries, ICICI Bank and HDFC Group stocks dragged while ITC and HUL provided support to the market.",positive,positive,-3.107638888888885,negative,1.31035720696463,positive
2018-05-16 18:00:48.077,288.0,288.7,278.45,279.05,10724760.0,"FMCG shares in focus; HUL hits new high, ITC up 2% post Q4 results","HUL, P&G Hygiene, Britannia Industries, Colgate-Palmolive, Jubilant FoodWorks, Dabur India and Marico were up in the range of 1% to 4% in otherwise weak market",positive,positive,-3.107638888888885,negative,1.31035720696463,positive
2018-05-16 18:01:22.844,288.0,288.7,278.45,279.05,10724760.0,"ITC Q4 net profit rises 9.8% to Rs2,933 crore","Cigarette segment contributed Rs3,505.76 crore of pre-tax profit in the March quarter, up 7.57% from Rs3,258.76 crore a year ago",positive,positive,-3.107638888888885,negative,1.31035720696463,positive
2018-05-16 18:01:40.677,288.0,288.7,278.45,279.05,10724760.0,"Asian Paints, Britannia Industries among stocks that hit 52-week highs on NSE","Hindustan Unilever, Lupin, ITC remained the top gainers in the Nifty index on Wednesday.",neutral,positive,-3.107638888888885,negative,1.31035720696463,positive
2018-05-17 10:01:44.124,288.0,288.7,278.45,279.05,10724760.0,"Recovering ITC cigarette volumes a positive, improvement to boost earnings",Cigarettes and FMCG (fast moving consumer goods) together account for 70 per cent of ITC's sales and 90 per cent of profits,positive,neutral,-3.107638888888885,negative,1.31035720696463,positive
2018-05-17 13:00:17.555,278.55,285.55,276.0,282.2,15398183.0,HUL on the verge of overtaking ITC in market cap,"Hindustan Unilever has caught up with ITC dramatically in the past year: a year ago, ITC’s market cap was 60% ahead, the gap has shrunk to merely 2.4%",neutral,positive,1.31035720696463,positive,-0.4073680481757116,neutral
2018-05-17 13:02:52.087,278.55,285.55,276.0,282.2,15398183.0,Macros turning shaky due to rise in oil prices; bullish on consumer durables: Dipen Sheth,"Sheth spoke on a variety of stocks and sectors during the interaction. Reacting to results in consumption space and giving an outlook on scrips in the sector, he said that he liked ITC, Marico as well as Dabur.",positive,neutral,1.31035720696463,positive,-0.4073680481757116,neutral
2018-05-17 18:00:39.133,278.55,285.55,276.0,282.2,15398183.0,Hindustan Unilever overtakes ITC in terms of market cap after 13 years,"BSE data at 2.45 pm on Thursday showed Hindustan Unilever had a market cap of Rs343,164.39 crore  while ITC’s market cap stood at Rs342,452.52 crore",neutral,neutral,1.31035720696463,positive,-0.4073680481757116,neutral
2018-05-18 13:01:10.005,278.55,285.55,276.0,282.2,15398183.0,HUL overtakes ITC in m-cap; which stock can add value?,"HUL posted 14.2 per cent jump in its standalone net profit to Rs 1,351 crore for the fourth quarter.",neutral,positive,1.31035720696463,positive,-0.4073680481757116,neutral
2018-05-18 18:00:19.220,278.55,285.55,276.0,282.2,15398183.0,HUL briefly surpasses ITC in market capitalisation,Consumer company Hindustan Unilever briefly surpassed ITC in market capitalisation. HUL momentarily crossed rival ITC Ltd to become the fourth-largest company on the National Stock Exchange.Hindustan,positive,positive,1.31035720696463,positive,-0.4073680481757116,neutral
2018-05-21 10:02:16.140,282.3,284.0,278.5,281.15,8570979.0,"News digest: Shell companies, dividend yield, ITC versus HUL, and more","The CBDT has also written to all principal chief commissioners of income tax, expressing concerns that action against these dormant companies with tax liabilities has been limited",neutral,neutral,-0.4073680481757116,neutral,-1.0638297872340423,negative
2018-05-21 10:02:43.884,282.3,284.0,278.5,281.15,8570979.0,ITC versus Hindustan Unilever: Different tales of their FMCG business,"While ITC's non-cigarette FMCG business revenue comprising foods, personal care and retailing, among others, grew at 11 per cent on a comparable basis, the same for HUL was at 16 per cent",neutral,positive,-0.4073680481757116,neutral,-1.0638297872340423,negative
2018-05-22 10:02:00.623,282.0,283.1,278.05,279.0,4717583.0,ITC sharpens the classroom pitch with sustainability and personalisation,The conglomerate looks to win over the young and build its credentials among a new band of consumers,neutral,positive,-1.0638297872340423,negative,-1.7921146953405016,negative
2018-05-25 18:00:59.147,272.4,275.0,268.75,272.8,9212984.0,"Podcast | TGIF! Bulls make it back on D-Street; Nifty closed above 10,600 levels","Top Sensex losers include names like Coal India (down 1.3 percent), followed by ITC (down 1.04 percent), SBI (down 0.5 percent), and TCS (down 0.43 percent).",neutral,neutral,0.1468428781204236,neutral,0.4744525547445297,neutral
2018-05-28 13:01:04.218,274.8,277.75,272.45,273.95,8821121.0,"Sensex reclaims 35K-mark, rises over 150 points","Other major gainers that supported the indices were Yes Bank, SBI, Tata Steel, Axis Bank, Coal India, ONGC, NTPC, Maruti Suzuki, Asian Paint, HDFC Bank, Bharti Airtel, Dr Reddy’s, Bajaj Auto and ITC, rising by up to 1.59 per cent.",positive,positive,-0.3093158660844333,neutral,-0.1467889908256797,neutral
2018-05-28 18:02:49.443,274.8,277.75,272.45,273.95,8821121.0,ITC to acquire leading floor cleaner brand Nimyle for undisclosed sum,"Th brand, which controls 60-65% of the floor and bathroom cleaning space will give ITC immediate entry into a segment in which it is inexperienced",neutral,positive,-0.3093158660844333,neutral,-0.1467889908256797,neutral
