date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-13 18:01:31.869,245.0,247.8,237.6,242.65,3260735.0,"Monnet Ispat first stressed firm to get bids, JSW Steel submits plan",JSW Steel is learnt to have submitted its resolution plan along with AION Capital,neutral,neutral,-0.9591836734693854,negative,1.3306451612903272,positive
2018-03-01 13:02:36.302,315.0,317.6,303.2,304.15,6383608.0,JSW Steel to buy Italy’s Aferpi for almost ₹600 cr.,Jindal’s JSW Steel to get brother-in-law’s firm Monnet Ispat,neutral,neutral,-3.4444444444444517,negative,-2.237808951235801,negative
2018-03-01 18:01:46.434,315.0,317.6,303.2,304.15,6383608.0,Fitch revises outlook on JSW Steel to stable from negative,Fitch Ratings says it has revised the outlook on JSW Steel to ‘stable’ from ‘negative’,positive,positive,-3.4444444444444517,negative,-2.237808951235801,negative
2018-03-06 13:00:45.240,293.0,293.55,286.4,289.8,7197021.0,"Steel stocks rise post March price hike; BofAML upbeat on JSW Steel, Tata Steel","Global research firm believes strong earnings outlook seen for such companies on higher spreads and price hikes, but is cautious on SAIL on rich valuations.",positive,positive,-1.0921501706484604,negative,-1.530612244897959,negative
2018-03-06 13:01:47.719,293.0,293.55,286.4,289.8,7197021.0,JSW Steel (₹291.2),Investors with a short-term view can sell the stock of JSW Steel at current levels. The medium-term uptrend that began in December 2017 low of ₹237 encountered resistance at ₹320 in late February this,neutral,positive,-1.0921501706484604,negative,-1.530612244897959,negative
2018-03-06 18:03:01.694,293.0,293.55,286.4,289.8,7197021.0,Moody's upgrades JSW Steel's corporate family rating,"Moody's expects that India's steel consumption will continue to grow in the range of 5.5%-6.5%, on the back of the govt push for infrastructure projects.",positive,positive,-1.0921501706484604,negative,-1.530612244897959,negative
2018-03-07 18:01:47.650,294.0,295.55,284.25,289.5,5743237.0,Moody’s upgrades JSW Steel bond rating to Ba2,"The upgrade to Ba2 reflects the expectation that JSW will continue to show improving credit metrics, says Kaustubh Chaubal, a Moody’s VP and senior analyst",positive,positive,-1.530612244897959,negative,0.6185567010309317,neutral
2018-03-12 13:00:12.808,298.8,304.6,295.8,303.5,4153037.0,JSW Steel to raise $1 billion via overseas bonds to acquire distressed assets,"Sajjan Jindal-controlled JSW Steel hires investment banks JP Morgan, Citigroup and Deutsche Bank to manage the fund raising",positive,neutral,1.57295850066934,positive,-0.1665556295802798,neutral
2018-03-21 13:00:49.036,288.45,290.9,284.85,285.5,3729355.0,Company News: Arfin India,"Arfin India on Tuesday said that it has bagged purchase orders worth ₹170 crore from JSW Steel for supply of various aluminium deox products and cored-wire products for 2018-19. On Monday, the company",neutral,positive,-1.0227075749696617,negative,2.8131159290449617,positive
2018-03-22 13:50:19.282,279.05,288.1,276.35,286.9,6556475.0,"Essar Steel auction: JSW Steel steps in, Numetal, ArcelorMittal bids rejected",JSW Steel’s entry depends on whether Essar Steel lenders will allow new bidders to participate in the fresh bidding process,neutral,neutral,2.8131159290449617,positive,3.146853146853147,positive
2018-03-23 13:01:17.377,279.05,288.1,276.35,286.9,6556475.0,Tata Steel selected as successful applicant to buy Bhushan Steel,Tata Steel and India's biggest domestic steelmaker JSW Steel Ltd were the two primary industry bidders for the acquisition of Bhushan Steel.,positive,neutral,2.8131159290449617,positive,3.146853146853147,positive
2018-03-26 13:01:56.524,298.25,300.0,295.1,299.75,4188141.0,JSW Steel to set up facility in Texas with $500 million investment,JSW Steel to invest up to $500 million to expand its operations in Texas as part of a memorandum of cooperation between its US unit and the Texas governor’s office,neutral,positive,0.5029337803855826,neutral,-3.069139966273194,negative
2018-03-26 18:02:21.370,298.25,300.0,295.1,299.75,4188141.0,JSW Steel disallowed by lenders to participate for Essar Steel rebid,"Sajjan Jindal said that because the company was busy with Bhushan Steel which is the prime asset that it had identified to acquire, it did not show an interest in Essar Steel initially.",neutral,neutral,0.5029337803855826,neutral,-3.069139966273194,negative
2018-03-27 13:00:49.900,296.5,298.2,286.4,287.4,5117695.0,JSW was denied Essar Steel bid as ‘they do not want to give a new entrant a chance’,Sajjan Jindal says JSW Steel was not allowed to place a bid for Essar Steel as the lenders did not want to re-open bids and give out ‘advertisements in the newspapers’,neutral,neutral,-3.069139966273194,negative,2.2762545266425325,positive
2018-04-02 13:00:38.846,294.75,304.55,292.3,304.1,5207345.0,"Tatas in race to be lndia's largest steelmaker, to overtake JSW and SAIL","Tata Steel closing on Sajjan Jindal-promoted JSW Steel and in National Company Law Tribunal (NCLT), could become the country's largest steelmaker. Tata Steel will increase its capacity from 12.7 million tonnes per annum (mtpa) to 18.3 mtpa.",positive,positive,3.172179813401195,positive,-2.955665024630542,negative
2018-04-02 18:01:38.536,294.75,304.55,292.3,304.1,5207345.0,"JSW Steel to buy out Rewant Ruia in Numetal, join race for Essar Steel","JSW Steel plans to join the consortium formed by Russia’s VTB Bank-promoted Numetal Mauritius to acquire the stressed asset of Essar Steel. JSW Steel will buy out Essar Steel promoter Ravi Ruia’s son,",neutral,positive,3.172179813401195,positive,-2.955665024630542,negative
2018-04-03 13:00:46.525,304.5,307.25,293.65,295.5,5558078.0,JSW Steel ties up with Numetal in bid to buy Essar Steel,"Vedanta enters race for the bankrupt Essar Steel, as do ArcelorMittal, as second round of bidding opens",positive,positive,-2.955665024630542,negative,2.275369539943519,positive
2018-04-04 18:00:17.755,301.05,309.35,300.6,307.9,4197488.0,JSW Steel posts record 16.27 million tonne  output,"JSW Steel posted its highest monthly and quarterly crude steel production —1.52 million tonne (MT) and 4.31 MT, respectively",positive,positive,2.275369539943519,positive,0.6710310965630152,neutral
2018-04-10 18:03:01.589,315.95,318.4,310.55,311.5,6800867.0,"JSW Steel, AION get creditors' nod for Monnet Ispat takeover","Monnet Ispat is among India's 12 biggest loan defaulters, which were pushed into bankruptcy last year, as part of the country's new bankruptcy law aimed at cutting close to $150 billion of accumulated soured loans.",neutral,negative,-1.4084507042253485,negative,-1.3621794871794872,negative
2018-04-11 13:01:06.412,312.0,312.85,306.75,307.75,2989306.0,"JSW Steel, AION get lenders nod for Monnet Ispat acquisition","The Monnet Ispat acquisition plan involves upfront payment of Rs2,750 crore to lenders by JSW Steel and AION Investments, deal has to close by 14 April",neutral,neutral,-1.3621794871794872,negative,-0.3231017770597738,neutral
2018-04-11 13:02:01.498,312.0,312.85,306.75,307.75,2989306.0,Aion Investments-JSW Steel bid for Monnet Ispat gets creditors’ nod,The Committee of Creditors of Monnet Ispat and Energy has approved a joint bid by Aion Investments and JSW Steel to take over the company which is facing insolvency proceedings in NCLT.Without reveali,neutral,positive,-1.3621794871794872,negative,-0.3231017770597738,neutral
2018-04-12 13:02:24.195,309.5,312.3,305.5,308.5,4037541.0,"Steel war: JSW, ArcelorMittal spar on Twitter",Twitter war has broken out between two top steel makers with ArcelorMittal questioning the selection of JSW Steel-led consortium as the winning bid for Monnet Ispat.Taking a swipe at JSW Steel promote,neutral,neutral,-0.3231017770597738,neutral,0.7807417046193995,neutral
2018-04-12 18:00:52.344,309.5,312.3,305.5,308.5,4037541.0,"JSW Steel, AION Capital win bid to acquire bankrupt Monnet Ispat","The committee of creditors (CoC) of Monnet Ispat and Energy, which is undergoing insolvency proceedings, had on Tuesday approved the resolution plan submitted by the only bidder Sajjan Jindal's JSW Steel along with AION Capital.",positive,positive,-0.3231017770597738,neutral,0.7807417046193995,neutral
2018-04-13 13:01:18.105,309.5,312.3,305.5,308.5,4037541.0,JSW Steel-AION Capital emerges successful bidder for Monnet Ispat,JSW Steel and AION Investments had submitted a bid for Monnet Ispat under the corporate insolvency resolution process of the Insolvency and Bankruptcy Code 2016,positive,neutral,-0.3231017770597738,neutral,0.7807417046193995,neutral
2018-04-13 13:01:20.144,309.5,312.3,305.5,308.5,4037541.0,JSW-AION Capital team gets letter of intent for Monnet Ispat,The consortium led by Sajjan Jindal-promoted JSW Steel and AION Capital has received the letter of intent for acquiring the stressed asset of Monnet Ispat and Energy.The committee of creditors (CoC) o,neutral,neutral,-0.3231017770597738,neutral,0.7807417046193995,neutral
2018-04-16 13:00:25.582,309.5,311.3,307.2,308.05,2782488.0,Essar battle: JSW says ArcelorMittal did not disclose facts on Uttam Galva,"The battle to acquire Essar Steel is spiralling into a full blown war, with Sajjan Jindal-promoted JSW Steel accusing ArcelorMittal of suppressing facts related to the non-disposal agreement signed wi",neutral,positive,-0.4684975767366684,neutral,1.2052117263843611,positive
2018-04-16 13:01:04.371,309.5,311.3,307.2,308.05,2782488.0,JSW Steel may bring in partner for Essar Steel,"JSW Steel, which is bidding for Essar Steel with Numetal Mauritius, may sell some of its stake to a private equity partner if it wins the auction",positive,neutral,-0.4684975767366684,neutral,1.2052117263843611,positive
2018-04-20 13:01:19.601,318.85,326.2,317.9,322.95,5222327.0,"Domination of JSW, Tata, SAIL in steel set to be challenged by 4th player","Domination in domestic steel sweepstakes JSW Steel, Tata Steel and Steel Authority of India set to be challenged by 4th player. India has largely eluded ArcelorMittal as one of the world's largest steel players.",negative,negative,1.2858710992629656,positive,-0.0465910855722867,neutral
2018-04-20 13:02:03.507,318.85,326.2,317.9,322.95,5222327.0,"Essar Steel: Back to square one as uncertainty clouds JSW Steel, Vedanta bids",NCLT gives 30 days for Numetal Mauritius and ArcelorMittal to rectify their bids,neutral,neutral,1.2858710992629656,positive,-0.0465910855722867,neutral
2018-04-23 18:02:28.112,317.5,326.0,316.35,325.85,4073545.0,"Essar Steel auction: JSW Steel, Vedanta to join the race if NCLT allows fresh bids","Both the companies had participated in the second round of bidding, but the NCLT had termed the second round invalid. ",neutral,neutral,2.629921259842527,positive,-1.2615384615384684,negative
2018-04-24 13:01:25.325,325.0,326.8,319.8,320.9,3068627.0,JSW Steel wants lenders’ panel to invite fresh bids for Essar Steel,"Firing a fresh salvo, JSW Steel has written a letter to the Committee of Creditors on Monday to consider the option of calling fresh bids for Essar Steel as observed by the National Company Law Tribun",neutral,neutral,-1.2615384615384684,negative,1.7418351477449527,positive
2018-04-27 23:01:21.523,328.0,330.35,325.4,326.9,2695199.0,"Consider our bid for Essar Steel, Vedanta tells Committee of Creditors","After JSW Steel, billionaire Anil Agarwal-owned Vedanta has said that its bids placed for Essar Steel should be considered before a final decision is taken.In a letter written to the Committee of Cred",neutral,neutral,-0.3353658536585435,neutral,0.4481532993354933,neutral
2018-04-30 18:02:40.098,323.55,331.2,323.35,325.0,2797011.0,JSW Steel wants Essar Steel auction to be done online,"With probability of legal contentions eventually landing up in Supreme Court, JSW Steel suggests online route to avoid delays",neutral,positive,0.4481532993354933,neutral,-3.5845027455765712,negative
2018-05-10 18:00:11.654,320.6,325.25,319.5,323.65,2205221.0,JSW Steel may go ahead with 12 mtpa Odisha steel project sans captive port,State govt is not keen to allow private players to build captive ports. Will instead award select sites via bidding for development as commercial ports,positive,neutral,0.9513412351840156,positive,1.2357120790855731,positive
2018-05-11 18:02:51.826,320.6,325.25,319.5,323.65,2205221.0,JSW Steel's April crude steel production up 6% at 1.36 million tonnes,"JSW Steel is a part of the diversified JSW Group, which has presence in steel, energy, infrastructure, cement and JSW Ventures",positive,neutral,0.9513412351840156,positive,1.2357120790855731,positive
2018-05-15 13:00:54.388,333.8,340.0,329.9,338.5,5172119.0,"Asian Paints, HDFC Bank among 5 Sensex stocks that hit new high","Hindustan Unilever, IndusInd Bank, Kotak Mahindra Bank, JSW Steel, Magma Fincorp, Nestle India and Pidilite Industries hit their respective new highs on the BSE",neutral,positive,1.4080287597363657,positive,-2.8885630498533788,negative
2018-05-15 23:00:39.604,333.8,340.0,329.9,338.5,5172119.0,"ITC, Hindalco, JSW Steel results on Wednesday"," Over 60 companies including Aarti Drugs, Alembic Pharma, Axis Bank, AIA Engineering, Balkrishna Paper, Brigade Enterprises, Birla Corp, Career Point, DB Corp, Dishman Carbogen, Gateway Distriparks, G",neutral,neutral,1.4080287597363657,positive,-2.8885630498533788,negative
2018-05-16 18:01:12.488,341.0,341.0,328.1,331.15,9116545.0,"JSW Steel Q4 profit jumps 3-fold to Rs2,879 crore","JSW Steel’s consolidated total income increased by 16% to Rs20,862 crore during the fourth quarter as against Rs17,973 crore in the corresponding quarter of the previous fiscal",positive,positive,-2.8885630498533788,negative,-4.2655452087714,negative
2018-05-17 10:03:15.577,341.0,341.0,328.1,331.15,9116545.0,"JSW Steel to invest Rs 17,600 cr more to up capacity to 24.7 mt",,positive,neutral,-2.8885630498533788,negative,-4.2655452087714,negative
