date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-22 13:01:08.994,317.0,318.0,315.0,316.25,269383.0,"Credit Suisse tags neutral rating on Marico, sees lower margin in near term",Credit Suisse has maintained a neutral rating on Marico with price target of Rs 310. It believes that margins are likely to squeeze in the near term adding that there will be no volume growth challenge for hair oil over next 10 years.,negative,negative,-0.2365930599369085,neutral,0.646891763963399,neutral
2018-01-10 13:00:43.637,320.0,321.0,314.3,316.0,1243205.0,"Marico to consider Q3 results & second interim dividend on Feb 09, 2018","Marico Ltd has informed BSE that a meeting of the Board of Directors of the Company is scheduled to be held on February 09, 2018, to consider the un-audited consolidated and standalone financial results of the Company for the quarter ended December 31, 2017",neutral,neutral,-1.25,negative,-1.5420928402832343,negative
2018-01-16 18:01:08.495,313.45,314.25,305.5,311.5,1509821.0,Budget 2018: India Inc's expectations,"As we head closer towards Budget 2018, CNBC-TV18's Priya Sheth and Rukmini Rao caught up with Adi Godrej, Chairman of Godrej Group, Harsh Mariwala, Chairman of Marico, and Kiran Mazumdar Shaw, Chairperson and MD of Biocon on what they expect from Budget 2018.",neutral,positive,-0.6221087892805833,neutral,-1.4575411913815026,negative
2018-01-22 13:02:19.997,318.1,319.5,312.75,313.0,598823.0,Empowerment and early responsibility our core principles: Marico,"Marico, one of  the top 10 workplaces according to Great Place to Work Institute, focuses on systems to address career development and gender parity at all levels",neutral,neutral,-1.603269412134556,negative,-0.3357314148681091,neutral
2018-02-09 18:00:22.020,298.1,299.5,294.15,297.0,620700.0,Marico Q3 net profit up 16% at Rs 223 crore,"The company had posted a net profit of Rs 191.64 crore during the October-December quarter of the previous fiscal, Marico said in a BSE filing.",positive,positive,-0.3690036900369079,neutral,0.9455493968047064,positive
2018-02-12 13:01:37.922,306.7,311.55,303.3,309.6,3510068.0,Marico shares climb over 3% on Q3 earnings,Shares of Marico rose more than 3 per cent in the morning trade as the company has reported a 16.51 per cent increase in its consolidated net profit at Rs 223.28 crore for the quarter ended December 3,positive,positive,0.9455493968047064,positive,-0.4761904761904762,neutral
2018-02-15 13:01:42.318,311.4,310.75,303.15,307.7,877907.0,Marico Q3: Volume uptick but margin pressure remains a concern,"While there has been a good mix of volume and value, overall result is below our expectations. Higher raw material prices have prompted company for consecutive prices hikes in Parachute hair oil. Though so far company has been not seen any negative impact on the market share, it need to be seen it’s sustenance in coming quarters.",positive,negative,-1.188182402055231,negative,-0.5364981303853142,neutral
2018-02-16 13:00:37.018,311.4,310.75,303.15,307.7,877907.0,"Online grooming brand Beardo to expand in salons, organised retail formats","Men’s grooming brand Beardo, which has a strong online presence, plans to expand in salons, supermarkets and organised retail formats. The company, in which homegrown FMCG major Marico has picked up",positive,positive,-1.188182402055231,negative,-0.5364981303853142,neutral
2018-03-13 18:01:00.309,308.0,310.7,302.1,304.25,1041166.0,"Capillary Technologies looks to tap instant messaging platforms, in talks with WhatsApp",Capillary is also looking to increase its business from the consumer goods segment where it ventured early this year and has got clients like Marico and Johnson and Johnson.,neutral,positive,-1.2175324675324677,negative,-0.3961703532518946,neutral
2018-03-15 13:00:21.802,301.1,304.7,300.05,301.0,2640960.0,"As copra prices stablise, cost pressures likely to ease for Marico",The cost pressure marred the December 2017 quarter (Q3) performance of the country's largest hair oil company.,positive,positive,-0.03321155762206,neutral,-0.1980198019802055,neutral
