date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-18 13:02:09.209,685.8,698.88,684.42,696.0,120074.0,United Spirits sees McDowell’s No.1 brand driving sales growth,United Spirits is now ramping up its marketing for McDowells’s No.1 via its luxury soda brand and plans to reach 50 million people through its ‘No.1 Yaari’ ad campaign,positive,positive,1.4873140857392892,positive,1.0891372886213848,positive
2017-12-18 18:03:37.245,685.8,698.88,684.42,696.0,120074.0,"Market Now: Jubilant Foodworks, United Spirits keep Nifty FMCG index up","The Nifty FMCG index was trading 0.33 per cent up at 26,519 around 01:35 pm (IST).",neutral,positive,1.4873140857392892,positive,1.0891372886213848,positive
2017-12-29 18:00:10.523,730.8,737.6,726.16,734.62,51609.0,United Spirits raises Rs750 crore via NCDs,"United Spirits has alloted 7,500 rated, unlisted, secured and redeemable NCDs of face value Rs10 lakh each aggregating Rs750 crore",neutral,neutral,0.5227148330596675,neutral,-1.1375947995666271,negative
2018-01-08 13:01:34.497,788.63,788.52,765.8,768.0,71687.0,Extra neutral alcohol prices been strong; leading to better margin: Globus Spirits,"The liquor sector went, into the last weekend, on a high with all stocks strong lead by United Spirits. In an interview to CNBC-TV18, Shekhar Swarup, Joint MD of Globus Spirits spoke about the latest happenings in the company.",positive,positive,-2.6159288893397403,negative,-0.6399461098012869,neutral
2018-01-17 13:01:49.106,743.56,753.29,723.21,738.6,81285.0,Top buzzing midcap stocks to trade on January 17,"Here are a few top buzzing midcap stocks picked by CNBC-TV18's analysts in trade today – State Bank of India, Punjab National Bank, Tata Consultancy Services, United Spirits , Agro Tech Foods, Hatsun Agro, Jay Bharat Maruti, MCX, and Den Networks.",neutral,neutral,-0.6670611652052185,neutral,0.5975609756097517,neutral
2018-01-22 18:00:12.556,763.4,764.9,746.62,751.0,142296.0,United Spirits Q3 profit seen up 54% on strong operational performance,"According to average of estimates of analysts polled by CNBC-TV18, operating profit may increase 32 percent year-on-year to Rs 374 crore and margin may expand 150 basis points to 12.9 percent in Q3.",positive,positive,-1.6243122871364917,negative,-3.247150403113708,negative
2018-01-24 13:15:26.256,690.0,695.93,671.46,677.2,202365.0,Liquor stocks trade lower; United Spirits down 9% post Q3 results,"Radico Khaitan, Empee Distilleries, Jagatjit Industries, Globus Spirits, Som Distilleries, Associated Alcohols, Tilaknagar Industries and United Breweries were down 2% to 5% on BSE.",negative,negative,-1.8550724637681093,negative,-3.3333333333333366,negative
2018-01-24 13:18:12.988,690.0,695.93,671.46,677.2,202365.0,This Alcohol Maker Has Analysts Doubting Their Skills,Alcohol maker United Spirits has analysts doubting their skillsets.,neutral,negative,-1.8550724637681093,negative,-3.3333333333333366,negative
2018-01-25 13:03:23.188,690.0,695.93,671.46,677.2,202365.0,United Spirits aims to grow share of premium brands to up to 80% of overall business,United Spirits has been focusing on the premium segment since British distiller Diageo Plc took control of the company three years ago,positive,neutral,-1.8550724637681093,negative,-3.3333333333333366,negative
2018-02-13 13:00:44.215,660.0,660.59,640.0,642.0,86975.0,Launch pace at liquor firms to be slow this year,"Several top companies, from Diageo Plc-run United Spirits Ltd to Pernod Ricard SA and Allied Blenders & Distillers, will predominantly look at launching products in two categories—whisky and rum",negative,neutral,-2.727272727272727,negative,2.839506172839503,positive
2018-02-22 13:00:27.903,641.6,650.0,634.6,648.62,49606.0,United Spirits set to auction Vijay Mallya’s Rs300 crore Mumbai house,"United Spirits is set to invite bids for Niladri, Vijay Mallya’s Mumbai house on Napean Sea Road, as he failed to buy it back last year",neutral,neutral,1.0941396508728152,positive,-0.7348438456828028,neutral
2018-03-08 13:01:03.823,602.0,609.58,592.46,595.6,109824.0,"Top intraday trading ideas for afternoon trade for Thursday, 8 March 2018","United Spirits is a 'Sell' call with a target price of Rs 2,900 and a stop loss of Rs 3,040.",neutral,neutral,-1.0631229235880362,negative,2.3833605220228407,positive
2018-03-12 13:02:27.171,630.0,633.09,611.02,615.1,87749.0,"Buy United Spirits, Jubilant Foodworks, NIIT Technologies: Ashwani Gujral","Ashwani Gujral of ashwanigujral.com  recommends buying United Spirits, Jubilant Foodworks and NIIT Technologies.",neutral,neutral,-2.365079365079361,negative,3.133398885611276,positive
2018-03-12 18:00:15.433,630.0,633.09,611.02,615.1,87749.0,United Spirits up 6% as ENA not brought under GST net; Deutsche sees 28% upside,"Deutsche Bank maintained Buy call on United Spirits with a target price of Rs 3,800, implying 27.78 percent upside from Friday's closing levels.",positive,positive,-2.365079365079361,negative,3.133398885611276,positive
2018-04-12 13:03:12.232,693.28,705.0,686.55,696.73,110406.0,"Top trading ideas from Prabhudas Lilladher: Buy United Spirits, Vedanta","Nifty outlook and few trading ideas by Vaishali Parekh, Research Analyst - Technical Research at Prabhudas Lilladher.",neutral,neutral,0.4976344334179617,neutral,0.5454807138745075,neutral
2018-04-24 13:00:59.893,714.62,718.5,702.2,705.14,68820.0,"Ecommerce an opportunity for alcohol industry: Anand Kripalu, MD, United Spirits","The maker of Johnnie Walker Scotch and Smirnoff Vodka said it is seeing a consumer demand revival now compared with slow sales in FY18, which was one of the toughest years due to demonetisation and ban on liquor vends near highways.",neutral,positive,-1.3265791609526767,negative,-0.6031243820446879,neutral
2018-04-24 13:02:06.734,714.62,718.5,702.2,705.14,68820.0,"Ecommerce an opportunity for alcohol industry: Anand Kripalu, MD, United Spirits","The maker of Johnnie Walker Scotch and Smirnoff Vodka said it is seeing a consumer demand revival now compared with slow sales in FY18, which was one of the toughest years due to demonetisation and ban on liquor vends near highways.",neutral,positive,-1.3265791609526767,negative,-0.6031243820446879,neutral
2018-05-03 18:00:34.017,697.8,701.59,693.0,695.54,66454.0,Nifty FMCG pack declines over 1%; United Spirits top loser,"The index settled at 28,486 with all components losing.",negative,neutral,-0.3238750358268832,neutral,-0.3446295232624896,neutral
2018-05-04 23:00:23.446,697.8,701.59,693.0,695.54,66454.0,United Spirits seeks shareholders nod for 1:5 share split,United Spirits has sought shareholders approval for splitting its each share of face value of Rs10 into five shares of face value of Rs2 each,neutral,neutral,-0.3238750358268832,neutral,-0.3446295232624896,neutral
2018-05-18 13:02:35.775,641.2,645.62,627.0,632.99,69518.0,"United Spirits, United Breweries, Radico Khaitan, Som Distilleries to get astrological support: Satish Gupta","Liquor stocks like United Spirits, United Breweries, Radico Khaitan, GM Breweries and Som Distilleries will get astrological support, says Satish Gupta of astrostocktips.",neutral,neutral,-1.280411728009987,negative,-1.3235294117647067,negative
2018-05-24 23:00:27.188,639.8,668.19,630.01,652.0,409558.0,United Spirits posts Q4 net profit at Rs211 crore,United Spirits on Thursday reported a standalone net profit of Rs211 crore for the fourth quarter ended March 2018 helped by an overall net sales growth,neutral,positive,1.906845889340426,positive,0.5504587155963337,neutral
2018-05-25 10:01:13.726,639.8,668.19,630.01,652.0,409558.0,United Spirits rises 4% post company reports profit in Q4,The operating profit or EBITDA was at Rs 274 crore and margin was at 12.6 percent.,neutral,neutral,1.906845889340426,positive,0.5504587155963337,neutral
2018-05-25 13:00:42.909,639.8,668.19,630.01,652.0,409558.0,"Liquor shares rally on good Q4 show; UBL, Radico Khaitan hit new high","United Breweries (UBL),United Spirits and Radico Khaitan rallied between 5% and 7% on the BSE in intra-day trade",positive,positive,1.906845889340426,positive,0.5504587155963337,neutral
2018-05-25 13:00:49.239,639.8,668.19,630.01,652.0,409558.0,United Spirits zooms over 7% on March-quarter results,"Shares of United Spirits rallied on March-quarter results. The stock jumped as much as 7.1 per cent to Rs 3,340.95, highest in a fortnight.The company had on Thursday posted a March-quarter profit of",neutral,positive,1.906845889340426,positive,0.5504587155963337,neutral
2018-06-14 00:25:20.405,689.2,695.88,685.12,690.37,75854.0,"After 2 yrs of muted sales, United Spirits eyes double-digit growth in FY19","Lower working capital intensity, healthy operating cash flows, and non-core asset sales helped bring down the overall debt by about Rs 8 billion to Rs 32.7 billion in FY18",positive,positive,0.1697620429483399,neutral,-2.410939186757827,negative
2018-06-25 23:01:49.282,672.0,708.7,669.2,698.05,3228321.0,United Sprits acquires 26% stake in HipBar,"The company has subscribed to 4,567,568 equity shares of Hip Bar at Rs 59.11 per equity share, United Spirits Ltd (USL) said in a regulatory filing.

",neutral,neutral,3.876488095238088,positive,-3.840682788051209,negative
2018-06-26 10:00:54.314,672.0,708.7,669.2,698.05,3228321.0,"Jet Airways, ICICI Bank and United Spirits among top stocks to track",Here is a list of top stocks that are likely to be in focus in today's trading session.,neutral,neutral,3.876488095238088,positive,-3.840682788051209,negative
