date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-18 13:00:56.329,970.0,980.0,956.9,965.5,508258.0,MCX cotton stocks surge five-fold,Pakistans decision to permit import of Indian cotton provided the trigger for the price rise.,positive,positive,-0.4639175257731959,neutral,-1.1501959975242395,negative
2017-12-19 13:00:41.279,969.4,970.05,957.9,958.25,583958.0,MCX Aluminium bounces from key support ,The Aluminium futures contract on the Multi Commodity Exchange (MCX) has reversed sharply higher in the past week. The support in the ₹127-129 per kg region has held well as expected and has halted the downtrend that,neutral,positive,-1.1501959975242395,negative,-0.6230529595015576,neutral
2017-12-19 13:01:19.973,969.4,970.05,957.9,958.25,583958.0,"Gold rate today: Gold, silver down in morning trade","MCX Gold futures were down 0.11 per cent, or Rs 30, at Rs 28,440 per 10 gram at around 10.40 am.",negative,negative,-1.1501959975242395,negative,-0.6230529595015576,neutral
2017-12-20 13:01:52.115,963.0,967.2,955.0,957.0,363915.0,Outlook unclear for MCX Zinc,The upmove in the zinc futures contract on the Multi Commodity Exchange that has been,neutral,neutral,-0.6230529595015576,neutral,-1.0520833333333357,negative
2017-12-21 13:00:45.841,960.0,964.8,940.45,949.9,812807.0,Near-term view is positive for MCX Nickel ,The nickel futures contract on the Multi Commodity Exchange (MCX) rose sharply in the,positive,positive,-1.0520833333333357,negative,-0.3525944637406613,neutral
2017-12-22 13:01:33.251,960.0,964.8,940.45,949.9,812807.0,MCX Lead retains sideways range ,The Lead futures contract on the Multi Commodity Exchange (MCX) continues to remain ran,neutral,neutral,-1.0520833333333357,negative,-0.3525944637406613,neutral
2017-12-26 13:00:17.097,949.9,954.15,941.55,943.95,235919.0,MCX Aluminium tests a key resistance ,"Since taking support at ₹93 per kg in October 2015, the aluminium futures contract on",neutral,neutral,-0.6263817243920341,neutral,-1.10115911485775,negative
2017-12-26 13:01:24.094,949.9,954.15,941.55,943.95,235919.0,"Gold rate today: Gold, silver up in morning trade","MCX Silver futures were also trading 0.22 per cent up at Rs 38,038 per 1 kg at around the same time.",positive,positive,-0.6263817243920341,neutral,-1.10115911485775,negative
2017-12-27 13:02:08.765,949.0,949.25,932.0,938.55,549167.0,Short-term prospect is positive for MCX Zinc,The Zinc futures contract on the Multi Commodity Exchange (MCX) has been on a strong u,positive,positive,-1.10115911485775,negative,-3.590285110876452,negative
2017-12-27 13:02:26.972,949.0,949.25,932.0,938.55,549167.0,MCX Copper resumes uptrend,Copper prices have been on a strong surge over the last couple of weeks. The copper fu,neutral,positive,-1.10115911485775,negative,-3.590285110876452,negative
2017-12-28 13:02:13.924,947.0,950.0,909.05,913.0,1034788.0,Supports to limit the downside in MCX Nickel ,The nickel futures contract on the Multi Commodity Exchange (MCX) witnessed a sharp rally breaking above the key resistance level of ₹767 per kg in the past week. But the upmove was short lived.,negative,positive,-3.590285110876452,negative,0.6448792217728688,neutral
2017-12-29 13:00:18.807,947.0,950.0,909.05,913.0,1034788.0,MCX Clearing Corporation scouting for MD and CEO,"Will be responsible for all regulatory, corporate governance and key operations",neutral,neutral,-3.590285110876452,negative,0.6448792217728688,neutral
2017-12-29 13:01:56.419,947.0,950.0,909.05,913.0,1034788.0,MCX Lead in a sideways movement,The Lead futures contract on the Multi Commodity Exchange (MCX) continues to trade in a sideways range. The contract has been stuck inside the ₹155 and ₹168a kg range for the last eleven consecutive weeks. Within this,neutral,negative,-3.590285110876452,negative,0.6448792217728688,neutral
2018-01-02 13:00:40.319,911.05,920.0,905.7,911.35,314496.0,Gold Rate Today: Gold up in morning trade; silver down,"MCX Gold futures were trading 0.07 per cent up at Rs 29,143 per 10 gram at around 10.30 am.",positive,positive,0.0329290379232828,neutral,1.2798074819514254,positive
2018-01-02 13:02:33.029,911.05,920.0,905.7,911.35,314496.0,MCX Aluminium faces crucial resistance ahead,The Aluminium futures contract on the Multi Commodity Exchange (MCX) witnessed a strong rally for the third consecutive week. The contract surged to a high of ₹145.95/kg and has come-off slightly from there. It is,neutral,positive,0.0329290379232828,neutral,1.2798074819514254,positive
2018-01-03 13:00:35.445,914.2,929.65,915.15,925.9,635851.0,Short-term view is bullish for MCX Zinc,"Since taking support at ₹198/kg in early December 2017, the zinc futures contract on the Multi Commodity Exchange (MCX) has been in a short-term uptrend.",positive,positive,1.2798074819514254,positive,-0.6702702702702752,neutral
2018-01-03 13:01:05.787,914.2,929.65,915.15,925.9,635851.0,Bearish outlook for Mentha oil futures,The MCX Mentha oil futures contract has been in limelight over the past three trading sessions. The contract lost 3.5-4 per cent over the past three trading sessions.,neutral,negative,1.2798074819514254,positive,-0.6702702702702752,neutral
2018-01-04 13:02:17.743,925.0,928.8,917.0,918.8,182846.0,MCX Nickel seen dipping before reversing higher ,The Nickel futures contract on the Multi Commodity Exchange (MCX) opened the year on a high note on Monday.,neutral,neutral,-0.6702702702702752,neutral,2.980311553440077,positive
2018-01-05 13:00:47.999,925.0,928.8,917.0,918.8,182846.0,Range-bound trading in MCX Lead with bullish bias,The Lead futures contract on the Multi Commodity Exchange (MCX) has been stuck in a sideways range for a prolonged period. The contract has been range-bound between ₹155 and ₹168 per kg for the last three months.,positive,negative,-0.6702702702702752,neutral,2.980311553440077,positive
2018-01-07 13:00:10.687,924.4,954.0,921.0,951.95,742102.0,Sebi revokes insider trading orders against ex-MCX officials,Sebi has revoked its directions against seven former officials of MCX as alleged violation of insider trading rules by them could not be established,neutral,neutral,2.980311553440077,positive,-1.5251572327043976,negative
2018-01-10 13:02:35.088,943.0,948.05,932.7,935.85,447986.0,"Gold Rate Today: Gold, silver under pressure in morning trade","MCX Gold futures were trading 0.07 per cent, or Rs 19, down at Rs 29,137 per 10 gram at around 10.15 am (IST).",neutral,negative,-0.7582184517497325,neutral,0.2185501066098032,neutral
