date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2019-07-21 23:00:54.570,1031.3,1036.65,1005.0,1028.0,19589.0,"Preventive testing, Ayushman Bharat to drive diagnostic firms' revenues","Diagnostic services companies led by Dr Lal Pathlabs, Metropolis Healthcare have outperformed the market and this trend is expected to sustain",neutral,positive,-0.3199844856006937,neutral,2.6600985221674875,positive
2019-08-07 13:01:20.207,1043.0,1062.3,1035.0,1057.0,21148.0,Metropolis Healthcare stock down ~1% after posting net profit at Rs26.9cr in Q1,The company's revenue from operations in the quarter stood at Rs203.29cr from Rs175.76cr a year ago.,negative,positive,1.342281879194631,positive,-0.1844843897824073,neutral
2019-09-06 18:00:20.993,1199.95,1213.0,1175.0,1186.25,13622.0,Serial entrepreneur G S K Velu to ramp up diagnostics biz in west and south,Move follows expiry of restrictive clauses inserted at the time he sold his stake in Metropolis Healthcare to Carlyle Group,positive,neutral,-1.1417142380932577,negative,9.11636850025079,positive
2019-10-02 10:02:21.053,1225.1,1244.6,1225.0,1239.0,25165.0,Metropolis Healthcare buys 4 new labs in Surat,"Metropolis currently operates 13 labs in Gujarat at Ahmedabad, Surat, Vadodara, Mehsana, Rajkot, Navsari, Jamnagar and Gandhidham.The acquisition was done to expand the penetration of the company’s wholly-owned subsidiary Desai Laboratories",neutral,neutral,1.134601257040249,positive,-2.077860042990201,negative
2019-10-03 10:01:46.884,1225.1,1244.6,1225.0,1239.0,25165.0,Metropolis Healthcare completes acquisition of four laboratories in Gujarat,Metropolis has integrated these businesses by bringing in standard operating procedures and standardized machines thereby improving quality parameters and resulting in operational efficiency.,positive,positive,1.134601257040249,positive,-2.077860042990201,negative
2019-10-06 13:01:15.655,1242.1,1294.95,1225.75,1250.0,21560.0,"IPOs emerge as cash cow for investors in 2019, 70% trade above issue price","The public offers of Affle (India) Ltd and Metropolis Healthcare have given smart returns to their investors soaring about 49 and 40 per cent, respectively",neutral,positive,0.6360196441510418,neutral,2.834008097165992,positive
2019-10-09 13:01:21.034,1272.8,1290.0,1267.3,1274.0,183312.0,Need to regulate diagnostics industry: Metropolis Healthcare MD," There are as many as 1 lakh diagnostic labs in the country but the industry is totally unregulated, says Ameera Shah, Promoter and Managing Director of listed company Metropolis Healthcare. In an int",neutral,neutral,0.0942803268384699,neutral,0.7448059584476676,neutral
2019-11-12 18:04:29.252,1426.0,1434.95,1383.5,1395.0,82611.0,Diagnostic major Metropolis Healthcare reports 15 pc jump in Q2 revenue at Rs 223 crore,"Mumbai (Maharashtra) [India], Nov 12 (ANI): Leading diagnostic service provider Metropolis Healthcare registered 15.6 per cent jump in its revenue for the July to September quarter at Rs 223 crore compared to Rs 193 crore in the corresponding quarter of previous fiscal.",positive,positive,-2.1739130434782608,negative,-0.9971711456859907,negative
2020-01-16 23:01:46.966,1636.0,1675.0,1634.9,1648.0,33677.0,Metropolis Healthcare signs binding agreement to buy Shraddha Diagnostics,"Since, 2002, Metropolis has used its brand strength to establish large networks through acquisitions in Chennai, Rajkot, Surat, Bangalore, Pune as well as outside India",positive,positive,0.7334963325183375,neutral,-0.1349527665317139,neutral
2020-01-17 10:01:12.524,1636.0,1675.0,1634.9,1648.0,33677.0,Metropolis Healthcare leads diagnostics pack on higher realisation,"Expansion, raising share of B2C network to help improve margins",positive,positive,0.7334963325183375,neutral,-0.1349527665317139,neutral
2020-01-17 13:03:43.673,1636.0,1675.0,1634.9,1648.0,33677.0,Metropolis Healthcare approves acquisition of 51% stake in Shraddha Diagnostic Centre; stock up 2%,The company will acquire a 51% stake in Shraddha Diagnostics Centre for Rs9.36cr.,positive,neutral,0.7334963325183375,neutral,-0.1349527665317139,neutral
2020-02-06 10:05:18.905,1665.0,1675.0,1515.0,1600.0,75677.0,"Important results today: Eicher Motors, Hero MotoCorp, Sun Pharma, Indraprastha Gas","Eicher Motors, Hero MotoCorp, Sun Pharmaceutical, Lupin, Aurobindo Pharma, Metropolis Healthcare and RITES will release their December quarter numbers today.",neutral,neutral,-3.903903903903904,negative,0.4457470843255757,neutral
2020-02-10 23:01:38.841,1621.05,1725.0,1602.25,1710.0,57384.0,Metropolis Healthcare Q3: Key highlights of analyst concall,"The company is in process of acquiring 51 percent shareholding of Shraddha Dingnostic Centre Pvt Ltd for providing diagnostic and pathological testing services in Ahmedabad, Gujarat.",neutral,neutral,5.487184232441939,positive,7.82565335992725,positive
2020-03-03 10:00:55.835,1949.8,2109.0,1922.55,2001.0,222101.0,"Metropolis Healthcare hits record high, surges 41% in 2 months",The stock has zoomed 125 per cent against its issue price of Rs 880 per share,positive,neutral,2.625910349779467,positive,-9.024390243902438,negative
2020-03-03 18:01:31.100,2050.0,2059.95,1860.0,1865.0,188765.0,"Pharma shares in focus; Pfizer hits record high, Sun Pharma rallies 6%","Metropolis Healthcare, Bliss GVS Pharma, RPG Life Sciences, Dr. Lal PathLabs, Biocon, Albert David and FDC from the index were up more than 3 per cent.",positive,positive,-9.024390243902438,negative,-4.238726790450934,negative
2020-03-25 13:00:33.574,1440.0,1440.0,1320.0,1399.0,99117.0,Metropolis Healthcare jumps 17% on strong long-term growth prospects,"The brokerage expects the healthcare company to benefit from its aggressive B2C expansion, where it has expanded its network touch points by ~6.6X over the past 3.5 years",positive,positive,-2.8472222222222223,negative,-2.9057406094968106,negative
2020-03-26 18:00:58.664,1411.0,1431.7,1350.0,1370.0,54740.0,Metropolis Healthcare fully equipped for COVID-19 testing,"All COVID -19 reports are released within 24 hours, Metropolis said.",neutral,neutral,-2.9057406094968106,negative,-7.664233576642336,negative
2020-03-27 23:01:21.496,1411.0,1431.7,1350.0,1370.0,54740.0,"COVID-19: Metropolis Healthcare commits to undertake 2,000 tests a day in Mumbai, Pune","Metropolis Healthcare Ltd., a leading pathology company which has been approved by the Indian Council of Medical Research (ICMR) to conduct COVID-19 test, has committed to undertake 2,000 tests per da",neutral,positive,-2.9057406094968106,negative,-7.664233576642336,negative
2020-04-15 06:00:00.000,1220.0,1267.0,1165.65,1264.05,5164325.0,Metropolis Healthcare in focus as Carlyle to sell stake via block deal: Media reports,The company is one of the private diagnostic firms approved by the government for COVID-19 tests.,neutral,neutral,3.6106557377049135,positive,-0.3458007075003089,neutral
