date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-22 13:01:01.023,806.0,806.0,790.5,795.0,104806.0,"IT shares gain; TCS hits new high, crosses Rs 3,000 mark","TCS, Persistent Systems, Mindtree, Take Solutions, Tata Elxsi, Zensar Technologies, NIIT Technologies, Tech Mahindra and MphasiS were up in the range of 1% to 6% on BSE.",positive,positive,-1.3647642679900744,negative,0.0125786163522041,neutral
2018-01-25 13:01:01.548,813.0,838.05,795.0,824.9,546033.0,IT company Mphasis Oct-Dec quarter net profit up 7% at Rs 2.15 bn,"The company's net profit stood at Rs 2 billion in the year-ago period, Mphasis said",positive,neutral,1.4637146371463687,positive,5.947507825668189,positive
2018-01-30 13:02:46.331,888.4,912.0,884.1,900.0,526169.0,Deal wins for Mphasis in Q3 touch $130 million,"The growth has resulted from investments made as part of a new strategy, said CEO Nitin Rakesh, who took charge of the Bengaluru-based company a year ago.",positive,positive,1.3057181449797417,positive,-3.500577018189814,negative
2018-01-31 16:25:40.719,909.85,908.45,870.65,878.0,253371.0,Accumulate Mphasis; target of Rs 900: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Mphasis has recommended accumulate rating on the stock with a target price of Rs 900 in its research report dated January 26, 2018.",neutral,positive,-3.500577018189814,negative,-2.7091906721536274,negative
2018-03-18 13:02:16.808,873.65,879.0,853.0,853.95,113631.0,NSE FinWiz@Mphasis: Investor education initiative for young IT professionals,NSE FinWiz engages with IT professionals at Mphasis campus in Chennai to talk about planning their personal finances.,neutral,neutral,-2.254907571682016,negative,-0.7992477668077052,neutral
2018-04-04 18:03:06.242,875.0,884.0,862.2,870.0,115268.0,"Riding on new technology innovations, Mphasis expects healthy topline growth in FY19","The company had earlier launched Sparkles, an innovation lab, to develop domain-specific solutions",positive,neutral,-0.5714285714285714,neutral,3.662356894685877,positive
2018-05-10 10:01:15.975,994.5,1025.0,982.05,996.0,573935.0,"Are midcaps losing sheen? Maybe not, here are 15 stocks which rose up to 130% in 1 year","As many as 15 midcaps rose by 50 percent to 136 percent in the last one-year. These include: Jindal Steel & Power, L&T Infotech, Ashok Leyland, Tata Global Beverages, Divi’s Laboratories, 3M India, Biocon, Mphasis, Page Industries, Future Retail and Gruh Finance.",positive,positive,0.1508295625942685,neutral,-1.883052527254708,negative
2018-05-10 23:01:19.629,1009.0,1123.8,965.5,990.0,2710627.0,Mphasis reported 29.6 % growth in net profit to Rs 250.8 crore for the January-March quarter,The share of revenue for digital and NextGen in Direct core constituted 43 percent for the quarter ended March with a sequential growth of 8.3 percent.,positive,positive,-1.883052527254708,negative,1.2474226804123734,positive
2018-05-11 13:01:22.232,1009.0,1123.8,965.5,990.0,2710627.0,Mphasis hits all-time high on strong results,"Mphasis today hit a record high on strong results. The company shares jumped nearly 13 per cent to their all-time high of Rs 1,123.80. The stock posted biggest intraday percentage gain since April 6.T",positive,positive,-1.883052527254708,negative,1.2474226804123734,positive
2018-05-14 13:01:03.063,997.0,1094.7,990.0,1082.1,1632564.0,Blackstone cuts 8% stake in Mphasis,"Marble II Pte Ltd, a unit owned by PE firm Blackstone, today sold 8 per cent stake in the IT company at Rs 960 per share.The price at which the PE firm sold the stake was more than double it paid for",neutral,positive,8.535606820461375,positive,1.89902732746642,positive
2018-05-14 23:01:20.924,997.0,1094.7,990.0,1082.1,1632564.0,"Blackstone unit sells 8% stake in Mphasis for about Rs1,440 crore",Blackstone sells shares at double the buying price of Rs430 in September 2016,neutral,positive,8.535606820461375,positive,1.89902732746642,positive
2018-05-15 18:01:09.862,1079.5,1130.0,1070.05,1100.0,1487289.0,Mphasis rallies 10% on FPIs stake buys from Blackstone,"The stock rallied 10% to Rs 1,080 on the NSE in late noon deal",neutral,positive,1.89902732746642,positive,2.197055492638732,positive
2018-05-18 13:00:16.936,1126.0,1149.9,1097.15,1130.0,668964.0,"Genpact unit on sale, may get bids from Hexaware & Mphasis","L&T Infotech also in fray to take over Headstrong, a capital markets domain specialist, acquired by Genpact seven years ago in a $550-million deal.",positive,neutral,0.3552397868561279,neutral,-4.551089073844527,negative
2018-06-13 10:00:37.284,1125.8,1125.8,1105.0,1115.5,98217.0,"From Mphasis to Mindtree, mid-sized IT companies focus on fewer verticals","Companies such as Virtusa have good presence in the BFSI segment, NIIT Technologies has steadily built strong capabilities in aviation",neutral,positive,-0.9149049564753912,negative,-1.6923284104681875,negative
2018-06-25 10:01:23.024,1095.0,1104.55,1072.05,1078.0,232378.0,"IT stocks back in favour on weak rupee, cheap valuations","Leading the pack are mid-cap IT stocks such as Mindtree, L&T Infotech, Mphasis and Tech Mahindra, besides sector leader Tata Consultancy Services",positive,neutral,-1.552511415525114,negative,-0.5524861878453038,neutral
2018-07-13 13:00:10.107,1175.0,1222.95,1175.0,1217.0,664471.0,"9 IT stocks including KPIT Tech, Mphasis rally over 100% in one year","Sonata Software, Hexaware Technologies, Firstsource Solutions, Mindtree, Infinite Computer Solutions (India) and NIIT Technologies too seen their market price more than doubled in one year.",positive,positive,3.5744680851063837,positive,-0.8401639344262295,neutral
2018-07-13 13:02:22.268,1175.0,1222.95,1175.0,1217.0,664471.0,"D-Street Buzz: Nifty PSU bank underperforms with IDBI Bank down 6%; RIL hits new record high, Wipro gains 2%","Bajaj Finserv, Bajaj Finance, Britannia Industries, HDFC Bank, Hindustan Unilever, Kotak Mahindra Bank, Mphasis and Reliance Industries are some of the very few stocks that hit fresh 52-week high in the morning trade.",negative,neutral,3.5744680851063837,positive,-0.8401639344262295,neutral
2018-07-13 18:01:26.868,1175.0,1222.95,1175.0,1217.0,664471.0,"D-Street Buzz: Midcaps underperform, FMCG down 1%; INOX Leisure, PVR down 12-14%","21 stocks have hit fresh 52-week high on the NSE including HDFC Bank, MphasiS, Larsen & Toubro Infotech, Marico, Orient Press, Seamec and Hindustan Unilever.",negative,positive,3.5744680851063837,positive,-0.8401639344262295,neutral
2018-07-17 23:02:18.242,1152.0,1194.7,1126.0,1145.0,387763.0,N/Core announces 3-year partnership with Mphasis to incubate 26 non-profit start-ups,IT fiirm will invest over ₹4 crore to incubate start-ups,neutral,neutral,-0.607638888888889,neutral,-0.514879134304921,neutral
2018-07-18 13:00:12.797,1145.9,1164.65,1136.35,1140.0,259180.0,"N/Core, IT Firm Mphasis Invest Rs 4.5 crore to fund and mentor non-profit startups","As a part of the program, up to 26 startups will be incubated and mentored over the three-year partnership between Bangalore-based N/Core and Mphasis",neutral,neutral,-0.514879134304921,neutral,0.8078602620087336,neutral
2018-08-02 10:03:12.211,1207.9,1224.0,1158.0,1180.0,319594.0,How Bengaluru's Bellandur is well connected to key business districts,"Bellandur is close to large technology parks and key occupiers like Mind Tree, Texas Instrument, Textron, Mphasis, and Crompton Greaves",neutral,neutral,-2.309793857107384,negative,-1.316872427983539,negative
