date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-03-09 13:02:52.768,819.95,820.0,797.4,797.4,257707.0,Small Cap World Fund buys 24.36 lakh shares of Navin Fluorine International,"Vanderbilt University sold 2,70,384 shares of Navin Fluorine International at Rs 815.",neutral,neutral,-2.75016769315203,negative,-1.8060242469691343,negative
2018-06-25 10:01:26.251,658.95,667.6,651.25,655.0,25866.0,Mafatlal Group scion buys luxury apartment in South Mumbai for Rs 89 crore,"Mafatlal, who is chairman of Navin Fluorine International Ltd, bought the apartment with his wife Rupal Mafatlal.",neutral,neutral,-0.5994385006449723,neutral,-1.110772976262944,negative
2018-08-13 10:01:56.614,683.25,683.25,665.0,683.0,16813.0,"Talking Stock: Hold HAL, Federal Bank; Sell Navin Fluorine",Hold HAL and Federal for medium to long terms. Both are sound stocks at current prices.,neutral,neutral,-0.0365898280278082,neutral,-1.0294117647058822,negative
2018-08-17 23:00:58.745,670.0,692.0,670.0,681.5,18331.0,Navin Fluorine International Limited,"Navin Fluorine International on Friday informed the exchanges that Shekhar Khanolkar, Managing Director, has resigned due to personal reasons. The board has accepted his resignation and he would be re",neutral,neutral,1.7164179104477613,positive,-2.647058823529412,negative
2019-01-23 18:01:00.377,651.0,674.0,635.0,664.9,110519.0,"Navin Fluorine Standalone December 2018 Net Sales at Rs 226.01 crore, up 2.06% Y-o-Y","Navin Fluorine Standalone December 2018 Net Sales at Rs 226.01 crore, up 2.06% Y-o-Y",positive,positive,2.13517665130568,positive,-1.534234027936792,negative
2019-05-06 23:02:35.047,680.05,681.0,663.7,678.5,48665.0,"Navin Fluorine Standalone March 2019 Net Sales at Rs 244.27 crore, up 17.2% Y-o-Y","Navin Fluorine Standalone March 2019 Net Sales at Rs 244.27 crore, up 17.2% Y-o-Y",positive,positive,-0.227924417322249,neutral,0.8866701438044923,neutral
2019-05-07 13:02:09.463,671.05,679.95,670.45,677.0,15131.0,Navin Fluorine declines nearly 3% on poor Q4 show,"The share touched its 52-week high Rs 823 and 52-week low Rs 581.35 on 10 September, 2018 and 27 February, 2019, respectively. ",negative,negative,0.8866701438044923,neutral,-0.4290575528924364,neutral
2019-05-08 23:00:04.992,675.9,677.85,670.05,673.0,41873.0,Navin Fluorine Q4 review: Improving margin profile in specialty chemicals a key positive,Navin Fluorine Q4 review: Improving margin profile in specialty chemicals a key positive,positive,positive,-0.4290575528924364,neutral,0.1706231454005901,neutral
2019-07-29 18:01:57.177,589.0,614.0,575.2,599.1,63550.0,"Navin Fluorine Standalone June 2019 Net Sales at Rs 241.79 crore, down 0.54% Y-o-Y","Navin Fluorine Standalone June 2019 Net Sales at Rs 241.79 crore, down 0.54% Y-o-Y",negative,negative,1.7147707979626523,positive,3.4053156146179404,positive
2019-11-15 13:00:25.893,901.1,947.85,894.1,908.55,199364.0,"D-Street Buzz: Nifty PSU Bank outshine led by SBI; Tata Motors rises, Fortis Health tanks 14%","CreditAccess Grameen, Navin Fluorine, SRF, Dixon Technologies, ICICI Bank, Suven Life, Bajaj Finserv and HDFC Bank have hit new 52-week high on the NSE.",neutral,positive,0.8267672844301334,neutral,1.7360729590154875,positive
2019-12-13 13:03:56.082,930.0,945.7,920.25,938.0,181572.0,"Navin Fluorine announces Rs 450-crore project, share price rises 3%","The development of infrastructure at Dahej in Gujarat will enable it to set up future greenfield projects in fluorochemicals, says the company.",positive,positive,0.8602150537634409,neutral,-0.3069107842099669,neutral
2019-12-16 13:00:18.519,947.7,949.0,929.3,946.0,70420.0,Navin Fluorine gains for third straight day; stock hits fresh all-time high,"The stock has rallied 32% in past two months, as compared to 6% rise in the benchmark S&P BSE Sensex",positive,positive,-0.1793816608631471,neutral,2.863202545068929,positive
2019-12-24 13:03:41.076,994.95,1019.0,983.95,1013.95,164777.0,Navin Fluorine gains for 9th straight day on board's nod for capex plan,"In the past two months, the stock has outperformed the market by surging 34 per cent against 7 per cent rise in the benchmark index.",positive,positive,1.9096437006884768,positive,2.3785926660059467,positive
2020-01-07 23:00:48.952,1036.0,1104.1,1036.0,1084.6,535966.0,Production booster from Navin Fluorine,"Navin Fluorine International on Tuesday said it has commenced commercial production at Dewas, Madhya Pradesh, from January 6, to create additional cGMP capacity. The Dewas facility is the hub of its C",positive,positive,4.691119691119682,positive,-1.3636363636363635,negative
2020-01-08 10:01:28.219,1036.0,1104.1,1036.0,1084.6,535966.0,"Stocks to watch: NBCC, Tata Steel, Gayatri Projects, Navin Fluorine, Bosch",Here's a look at the top stocks that may trade actively in today's session.,neutral,neutral,4.691119691119682,positive,-1.3636363636363635,negative
2020-01-08 13:02:56.848,1100.0,1125.0,1078.0,1085.0,111212.0,Navin Fluorine International spikes after co. commences production at Dewas plant in MP,"In December, the company had announced a Rs450cr investment in a new project in Gujarat’s Dahej.",neutral,positive,-1.3636363636363635,negative,-2.381277603241824,negative
2020-01-08 13:04:09.249,1100.0,1125.0,1078.0,1085.0,111212.0,Navin Fluorine hits new high on commencement of production at Dewas plant,"The stock rallied 6% to Rs 1,084 on Wednesday, extending its Tuesday's 4% gain on the BSE.",neutral,positive,-1.3636363636363635,negative,-2.381277603241824,negative
2020-02-25 10:04:49.926,1232.45,1454.3,1202.5,1454.3,1205570.0,"Board Meetings Today: Asian Paints, Dr Lal Pathlabs, Navin Fluorine, Sanofi India and Wonderla Holidays",It makes sense to have a look at the corporate agendas for the days as announced to the stock exchanges. ,neutral,neutral,18.000730252748582,positive,4.406779661016949,positive
2020-02-25 18:00:49.395,1475.0,1629.8,1474.0,1540.0,2197724.0,Navin Fluorine surges 17% on multi-year contract with a global company,"The Company has entered into a $ 410 million (approx. Rs 2,900 crore) multi-year contract with a global company for manufacture and supply of a high performance product in the fluorochemicals space.",positive,positive,4.406779661016949,positive,-3.6618978868617904,negative
2020-02-25 18:00:53.924,1475.0,1629.8,1474.0,1540.0,2197724.0,"Market Movers: IndiGo tanks; IOL, Navin Fluorine jump; 183 stocks at 52-week lows","Sensex shed 82 points to 40,281 while NSE barometer Nifty dipped 16 points to 11,813. ",positive,neutral,4.406779661016949,positive,-3.6618978868617904,negative
2020-02-25 18:01:20.459,1475.0,1629.8,1474.0,1540.0,2197724.0,"Navin Fluorine inks ₹2,900-cr multi-year contract with a global company","The capex and project will be executed through its wholly-owned subsidiary, Navin Fluorine Advanced Sciences",positive,neutral,4.406779661016949,positive,-3.6618978868617904,negative
2020-02-25 18:01:20.636,1475.0,1629.8,1474.0,1540.0,2197724.0,Navin Fluorine bags $410-million global contract,"To invest ₹436 crore in new Dahej facility, captive power plant",neutral,neutral,4.406779661016949,positive,-3.6618978868617904,negative
2020-02-25 18:02:11.593,1475.0,1629.8,1474.0,1540.0,2197724.0,Navin Fluorine announces $410mn multi-year contract with a global company; stock up ~19%,"The contract is for a period of 7 years and this product is not part of Navin Fluorine’s existing product portfolio. The capex and project will be executed through its wholly owned subsidiary, Navin Fluorine Advanced Sciences Limited.",positive,neutral,4.406779661016949,positive,-3.6618978868617904,negative
2020-02-25 18:02:11.925,1475.0,1629.8,1474.0,1540.0,2197724.0,Navin Fluorine share price climbs 20% on bagging multi-year contract,The company said it would execute this capex and the project through wholly owned subsidiary Navin Fluorine Advanced Sciences.,positive,neutral,4.406779661016949,positive,-3.6618978868617904,negative
2020-02-25 23:01:56.938,1475.0,1629.8,1474.0,1540.0,2197724.0,Navin Fluorine bags $410-million multi-year contract,Navin Fluorine International has informed the exchanges that the company has entered into a $410-million multi-year contract with a global company for manufacture and supply of a high-performance prod,neutral,positive,4.406779661016949,positive,-3.6618978868617904,negative
2020-02-26 13:01:19.470,1523.8,1555.0,1460.7,1468.0,641980.0,Navin Fluorine shares surge 12% on bagging multi-year contract,Shares of the company have been flying higher after the company bagged a multi-year contract from a global firm.,positive,positive,-3.6618978868617904,negative,1.6783216783216783,positive
2020-02-26 18:00:21.308,1523.8,1555.0,1460.7,1468.0,641980.0,"Chemical shares rally; Neogen, Fairchem, Navin Fluorine surge over 10%","Over the past one month, shares of NFIL, Fairchem Speciality, Neogen Chemicals, Deepak Nitrite, and Alkyl Amines have gained in the range of 24 per cent to 50 per cent, against a 3 per cent.",positive,positive,-3.6618978868617904,negative,1.6783216783216783,positive
2020-02-26 18:02:20.042,1523.8,1555.0,1460.7,1468.0,641980.0,Navin Fluorine shares rally for 2nd day; soar 12% to hit 52-week high,"
The stock had closed 19.99 per cent up at Rs 1,455.10 on the BSE.",positive,positive,-3.6618978868617904,negative,1.6783216783216783,positive
2020-02-26 18:04:07.318,1523.8,1555.0,1460.7,1468.0,641980.0,Navin Fluorine shares soar 12% to hit 52-week high,"Extending gains for the second consecutive session, shares of fluorochemical manufacturer Navin Fluorine on Wednesday rallied 12 per cent on the back of a multi-year contract from a global firm.On the",positive,positive,-3.6618978868617904,negative,1.6783216783216783,positive
2020-02-27 23:03:39.088,1430.0,1460.0,1336.75,1454.0,535467.0,3-Point Analysis | Navin Fluorine's valuations appear stretched,Sakshi Batra does a 3-Point Analysis on the new deal of Navin Fluorine and how it will help the company.,neutral,neutral,1.6783216783216783,positive,-4.787742287742294,negative
2020-04-16 10:10:00.000,1425.0,1472.95,1424.0,1443.0,114730.0,"Navin Fluorine share price up 3% after work restarts at Gujarat, Madhya Pradesh plants","The company will continue to accord utmost importance to the health and safety of its workforce, the company has told exchanges.",positive,neutral,1.263157894736842,positive,-5.336488783707207,negative
2020-04-27 14:03:00.000,1659.0,1693.65,1585.15,1608.0,323789.0,"Navin Fluorine rallies 12%, hits new high; zooms 71% from March low","The stock jumped 12% to Rs 1,683 on the BSE today, surpassing its previous high of Rs 1,629 touched on February 26, 2020.",positive,positive,-3.074141048824593,negative,-1.5363300492610863,negative
2020-04-29 07:31:00.000,1624.0,1639.9,1568.15,1599.05,215872.0,"Hot Stocks | Ajanta Pharma, Britannia and Navin Fluorine can return 21-23% in short term","Nifty has been consolidating in a broader range of 8,900 to 9,500 from the last few sessions and is still holding back below its major moving averages on daily charts.",positive,negative,-1.5363300492610863,negative,-3.148148148148148,negative
2020-05-05 10:45:00.000,1528.1,1599.5,1522.1,1541.9,270249.0,Navin Fluorine Q4 PAT may dip 14.7% YoY to Rs. 35 cr: HDFC Securities,"Net Sales are expected to increase by 6.5 percent Y-o-Y (up 9.7 percent Q-o-Q) to Rs. 268 crore, according to HDFC Securities.",neutral,positive,0.9030822590144744,positive,0.0387747188832822,neutral
2020-06-16 05:30:00.000,1575.0,1600.0,1535.0,1550.0,122129.0,BRIEF-India’s Navin Fluorine International March-Qtr Consol Total Profit Jumps - Investing.com India,"The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",neutral,neutral,-1.5873015873015872,negative,-1.3563501849568431,negative
2020-06-17 07:33:13.000,1622.0,1655.0,1586.65,1600.0,780025.0,"In Pics | Stocks In The News: HPCL, Wipro, Yes Bank, HCL Tech, HDFC AMC, Schneider Electric",Navin Fluorine International | NMDC | Ratnamani Metals | Nucleus Software Exports | Hindustan Oil Exploration | Indian Terrain Fashions | Lycos Internet | Gokul Refoils | India Glycols | Akme Star Housing Finance | Manpasand Beverages | Sandur Manganese are also in focus today.,neutral,neutral,-1.3563501849568431,negative,-1.4396766169154287,negative
2020-06-17 08:42:00.000,1622.0,1655.0,1586.65,1600.0,780025.0,"Stocks to watch: HPCL, HDFC AMC, HCL Tech, banks, Navin Fluorine, NMDC, IGL",Heres a look at the top stocks that may remain in focus today,neutral,neutral,-1.3563501849568431,negative,-1.4396766169154287,negative
2020-06-17 10:21:00.000,1622.0,1655.0,1586.65,1600.0,780025.0,"Stocks in news: Schneider, HPCL, HDFC AMC, SBI, Wipro, HCL Technologies, Bank of Maharashtra and more","Stocks to watch today on June 17: Schneider, HPCL, Navin Fluorine, Globus Spirits, HCL Technologies, Bank of Maharashtra among others are the top stocks to watch out for in Wednesday’s trading session",neutral,neutral,-1.3563501849568431,negative,-1.4396766169154287,negative
2020-06-17 15:11:00.000,1608.0,1622.0,1563.05,1584.85,209263.0,Navin Fluorine International soars 5% on expectations of minimal impact due to Covid-19,"The company had temporarily suspended manufacturing operations at its facilities at Bhestan, Gujarat and Dewas, Madhya Pradesh on March 25, 2020 due to lockdown.",neutral,negative,-1.4396766169154287,negative,0.5554854185077612,neutral
2020-06-18 17:48:42.000,1584.2,1601.1,1575.0,1593.0,172859.0,Buy Navin Fluorine International; Target Of Rs 1850: Emkay Global Financial,"Emkay Global Financial is bullish on Navin Fluorine International has recommended buy rating on the stock with a target price of Rs 1850 in its research report dated June 18, 2020.",neutral,positive,0.5554854185077612,neutral,1.25,positive
2020-06-18 18:01:15.000,1584.2,1601.1,1575.0,1593.0,172859.0,Hold Navin Fluorine International; Target Of Rs 1575: ICICI Securities,"ICICI Securities recommended hold rating on Navin Fluorine International with a target price of Rs 1575 in its research report dated June 17, 2020.",neutral,positive,0.5554854185077612,neutral,1.25,positive
2020-06-19 10:02:51.000,1584.2,1601.1,1575.0,1593.0,172859.0,Accumulate Navin Fluorine International; Target Of Rs 1657: Dolat Capital,"Dolat Capital recommended accumulate rating on Navin Fluorine International with a target price of Rs 1657 in its research report dated June 18, 2020.",neutral,positive,0.5554854185077612,neutral,1.25,positive
2020-07-01 14:54:00.000,1704.0,1727.6,1675.25,1688.0,164172.0,"Chemical shares in focus; Clariant Chemicals, Balaji Amines rally up to 18%","Navin Fluorine International, meanwhile, hit a fresh all-time high of Rs 1,723 today.",positive,positive,-0.9389671361502347,negative,-1.38357374153665,negative
2020-07-08 09:47:00.000,1750.0,1777.0,1720.0,1732.0,119619.0,"Chemical stocks extend rally; GHCL, Phillips Carbon surge 29% in a week","Navin Fluorine International, Neogen Chemicals, and Ultramarine & Pigments hit their respective 52-week highs today",positive,neutral,-1.0285714285714285,negative,-0.8074480618373009,neutral
2020-07-09 08:24:29.000,1740.05,1754.9,1711.1,1726.0,58419.0,Navin Fluorine: Time to book gains?,"In medium term, Navin Fluorine’s growth should be driven by higher margin businesses of CRAMS and specialty business segments",neutral,positive,-0.8074480618373009,neutral,-0.3796441198632095,neutral
2020-07-29 05:08:00.000,1848.1,1892.9,1760.1,1770.0,198538.0,Navin Fluorine International Ltd Q1FY21 results; net profit rises by ~29% yoy,The company recorded a net profit of ~Rs56cr in Q1FY21.,positive,positive,-4.225961798603967,negative,-2.1375804050447997,negative
2020-07-29 05:30:00.000,1848.1,1892.9,1760.1,1770.0,198538.0,BRIEF-India’s Navin Fluorine International June-Qtr Consol PAT Rises - Investing.com India,"The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",neutral,neutral,-4.225961798603967,negative,-2.1375804050447997,negative
2020-07-29 17:54:00.000,1780.05,1819.0,1711.25,1742.0,201580.0,Navin Fluorine International consolidated net profit rises 29.88% in the June 2020 quarter,Sales decline 14.55% to Rs 214.95 crore,positive,negative,-2.1375804050447997,negative,1.1659807956104304,positive
2020-08-03 13:19:00.000,1773.0,1794.4,1742.3,1747.65,72858.0,Accumulat Navin Fluorine International; target of Rs 1657: Dolat Capital,"Dolat Capital recommended accumulat rating on Navin Fluorine International with a target price of Rs 1657 in its research report dated July 31, 2020.",neutral,positive,-1.4297800338409423,negative,4.402444545043003,positive
2020-08-04 10:20:01.000,1773.0,1794.4,1742.3,1747.65,72858.0,Navin Fluorine: Is there an investment case?,"Navin Fluorine, which is among the select few firms in emerging markets dealing with complex fluorination abilities, is seeing strong interest from multinational innovator companies in the life science and crop science space",neutral,positive,-1.4297800338409423,negative,4.402444545043003,positive
2020-08-04 16:55:00.000,1767.2,1846.8,1755.1,1845.0,184985.0,Buy Navin Fluorine International; target of Rs 1925: Emkay Global Financial,"Emkay Global Financial is bullish on Navin Fluorine International has recommended buy rating on the stock with a target price of Rs 1925 in its research report dated July 30, 2020.",neutral,positive,4.402444545043003,positive,-0.2132829373650132,neutral
2020-08-31 15:16:17.000,1955.0,2007.35,1922.2,1965.0,163194.0,Navin Fluorine International Limited leads losers in ‘A’ group,"City Union Bank Ltd, Deepak Nitrite Ltd, Prism Johnson Ltd and La Opala RG Ltd are among the other losers in the BSEs A group today, 31 August 2020.",negative,negative,0.5115089514066496,neutral,1.267740794989641,positive
2020-09-21 11:16:00.000,2075.0,2089.0,2020.0,2058.0,97029.0,"Navin Fluorine International allots 10,155 equity shares under ESOP","With this allotment, the paid-up share capital of the Company has increased to Rs 9,89,74,395/- (4,94,79,920 fully paid-up equity shares of face value of Rs 2/- each and 14,555 partly paid equity shares of
face value Rs 2/- each, on which Rs 1/-",neutral,neutral,-0.8192771084337349,neutral,-1.9273933834292964,negative
2020-10-28 05:30:00.000,2150.0,2180.0,2111.6,2125.0,116227.0,BRIEF-India’s Navin Fluorine International Sept-Quarter Consol PAT Rises - Investing.com India,"The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",neutral,neutral,-1.162790697674419,negative,4.541284403669725,positive
2020-10-28 07:42:00.000,2150.0,2180.0,2111.6,2125.0,116227.0,"Hot Stocks | Navin Fluorine, Shriram Transport, IPCA Laboratories can give 10-15% return in short term","Bank Nifty is looking much stronger than Nifty and we can expect it to test 25,000-25,250 levels in the coming sessions.",positive,positive,-1.162790697674419,negative,4.541284403669725,positive
2020-10-28 09:54:00.000,2150.0,2180.0,2111.6,2125.0,116227.0,Navin Fluorine Ltd Q2 net profit up 45.11% at Rs67.33cr,Navin Fluorine Ltd reported growth of 16.62% in top line sales for the Sep-20 quarter at Rs307.70cr.,positive,positive,-1.162790697674419,negative,4.541284403669725,positive
