date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-05-09 18:02:09.029,142.83,143.08,139.88,140.42,9842216.0,NTPC unveils payment tracking app for vendors,"NTPC Chairman and Managing Director Gurdeep Singh unveiled the mobile app during a micro & small enterprises (MSEs) vendor meet held on May 4, an official statement said.",neutral,neutral,-1.6873205909122908,negative,-0.299999999999991,neutral
2018-05-10 10:02:05.266,142.83,143.08,139.88,140.42,9842216.0,NTPC solar auction tariffs hover at Rs. 2.8,"Unhappy with the relatively high tariff, the Gujarat government cancelled the auction soon after and may reissue the tender.",neutral,neutral,-1.6873205909122908,negative,-0.299999999999991,neutral
2018-05-10 18:00:54.010,140.0,141.88,139.08,139.58,15552773.0,"Strong response, drop in tariffs at NTPC solar auction","The NTPC auction saw a total of 11 bidders who between them sought 4000 MW. The response, as well as the fall in tariffs was a welcome change from recent auctions.",negative,positive,-0.299999999999991,neutral,2.213784209772156,positive
2018-05-13 23:01:41.597,139.58,144.08,138.25,142.67,7043398.0,Solar project developers ask ministry to defer auctions,"NTPC, which held a 750 MW solar project auction last week, has invited bids for another 2000 MW, while SECI has issued tenders for 8000 MW.",neutral,positive,2.213784209772156,positive,-0.2678319706794442,neutral
2018-05-14 18:01:15.508,141.88,144.96,141.08,141.5,5778182.0,"Sun TV, SBI among most active stocks in value terms","NTPC, BPCL, IndusInd Bank, Dr Reddy's Labs and Power Grid Corporation closed as the top gainers in the Nifty index.",neutral,positive,-0.2678319706794442,neutral,-0.5206867435969667,neutral
2018-05-15 10:02:02.561,141.88,144.96,141.08,141.5,5778182.0,Half of CIL's dues are from 4 state-run power companies,"A senior executive of NTPC said, “Outstanding as a result of mismatch in actual quality of coal delivered and the quality on which billing has been done is around Rs 1,400 crore.",neutral,negative,-0.2678319706794442,neutral,-0.5206867435969667,neutral
2018-05-15 18:02:51.077,142.12,143.08,140.42,141.38,3894082.0,NTPC signs pact to buy 3 projects in Bihar,"NTPC signs an agreement with Bihar and its power utilities to acquire their entire stake in two joint ventures at Nabinagar and Kanti, and to buy Barauni thermal plant",neutral,positive,-0.5206867435969667,neutral,-1.6155202821869434,negative
2018-05-17 23:02:22.102,138.75,140.08,138.12,138.62,5492345.0,,"To initiate the process to set up charging stations at various locations in identified cities, public sector undertakings in the energy sector like NTPC, Power Grid Corp and Indian Oil are likely to come onboard.",neutral,neutral,-0.0936936936936904,neutral,-0.8747198727680242,neutral
2018-05-18 18:02:55.962,138.75,140.08,138.12,138.62,5492345.0,NTPC banks on renewable energy generation to minimise stranded asset risk,"NTPC has agreed to share the fuel savings with the relevant discoms, providing the Maharatna company with enhanced overall returns and consumers with progressively lower cost electrici",neutral,positive,-0.0936936936936904,neutral,-0.8747198727680242,neutral
2018-05-21 13:01:19.930,136.88,139.96,136.67,137.46,4610538.0,L&T Hydrocarbon Engineering bags orders for setting up two fertilizer plants,"L&T Hydrocarbon Engineering (LTHE), a wholly owned subsidiary of... Larsen & Toubro Ltd, in consortium with TechnipFMC, has won two significant orders from Hindustan Urvarak and Rasayan Ltd (HURL), a joint venture company of IOCL, NTPC, CIL, FCIL and HFCL,",positive,positive,0.4237288135593312,neutral,1.0340056797494992,positive
2018-05-28 10:01:13.252,138.38,141.54,137.96,139.67,11532814.0,NTPC's 490-Mw Dadri plant synchronised; to increase production from today,Integrated Solar Thermal Hybrid Plant is under process for installation at NTPC Dadri,positive,neutral,0.9322156380979854,positive,-1.6558879965887372,negative
2018-05-28 13:01:04.218,140.71,141.17,137.25,138.38,7108721.0,"Sensex reclaims 35K-mark, rises over 150 points","Other major gainers that supported the indices were Yes Bank, SBI, Tata Steel, Axis Bank, Coal India, ONGC, NTPC, Maruti Suzuki, Asian Paint, HDFC Bank, Bharti Airtel, Dr Reddy’s, Bajaj Auto and ITC, rising by up to 1.59 per cent.",positive,positive,-1.6558879965887372,negative,0.3355704697986427,neutral
