date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-05-28 10:02:00.465,119.69,119.83,116.33,116.67,17433851.0,PGCIL may get big pie of transmission corridors,​​Private transmission companies said discrimination between public and private companies is not in line with the intent of the Electricity Act to promote competition.,neutral,negative,-2.5231848943102984,negative,-0.8089925913310082,neutral
2018-05-29 23:01:03.043,116.73,119.52,116.73,118.14,35750660.0,"PowerGrid Q4 net profit up 4.6% at ₹2,004 cr","Power Grid Corporation of India has reported a ₹2,004.68-crore profit for the fourth quarter of Financial Year 2017-2018. This is 4.6 per cent higher than the ₹1,916.36-crore profit reported in the sa",positive,positive,1.2079157029041347,positive,-0.2619128083812118,neutral
2018-06-04 10:02:30.542,116.7,116.7,113.12,114.22,14399755.0,Government may cut stake in state-run companies to 49%,"The companies in which govt is likely to pare its stake include NTPC Ltd, Steel Authority of India Ltd and Power Grid Corporation of India Ltd among others.",negative,neutral,-2.1251071122536453,negative,-1.3159056787070644,negative
2018-06-05 10:00:35.709,113.23,113.43,110.02,111.74,13737504.0,"Accumulate  Power Grid Corporation of India, target Rs  244:   Emkay Global Financial Services",Accumulate  Power Grid Corporation of India Ltd.  at a price target of Rs  244.0    .,neutral,positive,-1.3159056787070644,negative,2.3076232378557897,positive
2018-06-18 10:01:06.242,111.57,112.5,110.67,112.08,4285576.0,"Allegations of project delay incorrect: IS Jha, Chairman, PGCIL",Power Grids participation in TBCB route has ensured that prices obtained are reasonable and the nation gets the infrastructure at the right cost.,neutral,neutral,0.4571121269158422,neutral,0.7360861759425432,neutral
2018-06-19 13:03:02.541,112.05,112.61,110.98,112.05,8131173.0,"Facing slowdown, India's power grid manager eyes telecom, consultancy","PGCIL plans to expand its overseas consultancy business in neighbouring countries such as Nepal, Sri Lanka and Bangladesh",negative,positive,0.0,neutral,-1.3338107600035762,negative
2018-08-08 18:01:35.558,106.86,108.83,105.93,108.67,6310354.0,Accumulate Power Grid Corporation of India; target of Rs 229: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on Power Grid Corporation of India with a target price of Rs 229 in its research report dated August 01, 2018.",neutral,positive,1.6938049784765137,positive,-1.757758857456744,negative
2018-08-09 23:00:47.576,109.23,109.31,106.64,107.31,4887729.0,Power Grid Corporation of India (₹192.7): Buy,"The stock of Power Grid Corporation of India gained 1.7 per cent on Thursday, breaching a key resistance at around ₹190. This has strengthened the stock’s short-term uptrend.Investors with a short-ter",neutral,positive,-1.757758857456744,negative,-0.5547719793135771,neutral
2018-08-24 23:02:33.710,107.42,109.74,106.89,107.23,8368396.0,"PowerGrid seeks nod to raise ₹20,000 crore via bonds","Power Grid Corporation of India (PGCIL) has sought to raise ₹20,000 crore from the domestic bond market in financial year 2019-20.In a statement to the BSE, PGCIL said, “Directors, in their 355th meet",neutral,positive,-0.1768758145596702,neutral,3.2470544577419056,positive
2018-08-27 13:00:25.804,111.43,113.04,110.39,111.34,8178074.0,PowerGrid may test resistance at Rs 207.20,"Shares of Power Grid Corporation of India Ltd jumped as much as 3.85 per cent, their biggest intra-day gain since June 25.According to technicals, PowerGrid may test resistance at Rs 207.20. The stock",neutral,positive,-0.0807681952795507,neutral,-2.007381402466472,negative
2018-09-10 10:02:40.062,108.92,109.96,107.23,108.72,6277260.0,'Underperformance in infrastructure sector to end shortly',"Strong capex by Power Grid Corporation of India, state electricity boards and railways will continue to drive power growth in transmission and distribution",neutral,positive,-0.1836210062431168,neutral,-3.2610692632739275,negative
2018-10-03 23:01:03.292,106.02,107.68,104.07,107.31,11210478.0,Private players want committee on power transmission reconstituted,Allege unfair advantage to PGCIL,neutral,negative,1.216751556310136,positive,-1.2666541565021527,negative
2018-11-05 23:01:00.686,105.51,106.58,104.32,106.02,7317750.0,"Power Grid Q2 profit rises 7.8% to ₹2,309.5 crore","Power Grid Corporation of India has reported a &#8377;2,309.49-crore net profit for Q2 FY19, 7.87 per cent higher than the &#8377;2,141.04 crore reported in Q2 FY18.Total income rose nearly 16 per cen",positive,positive,0.4833665055444895,neutral,-0.5786820981892893,neutral
2018-11-13 23:00:12.011,103.93,105.45,103.82,104.52,9893253.0,EESL to raise ₹300 crore equity from promoters,"REC board to consider 7% more infusion; post mop-up REC, PFC, NTPC will hold 32%; PGCIL 4%",neutral,neutral,0.5676897912056087,neutral,0.3241491085899546,neutral
