date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-02-06 18:02:40.751,736.4,750.95,717.35,730.0,402823.0,The Ramco Cements Q3 net profit down 19% at Rs 123 cr,"The company had posted a net profit of Rs 151.88 crore during the same period previous fiscal, The Ramco Cements said in a regulatory filing.",negative,positive,-0.8690928843020067,neutral,-1.7726657645466877,negative
2018-02-07 13:02:05.777,739.0,738.0,720.15,725.9,240333.0,Dull demand dents profits of Ramco Cements in Q3,Lacklustre demand in its core market Tamil Nadu and cost pressure have dragged down Ramco Cements’ performance during the third quarter of the current year as compared with the corresponding quarter i,neutral,negative,-1.7726657645466877,negative,2.529571041755736,positive
2018-02-08 18:01:55.848,701.7,721.0,706.05,719.45,169360.0,Broker's call: Ramco Cements,"Reliance SecuritiesRamco Cements (Buy)CMP: ₹727.15Target: ₹850The Ramco Cements (RCL), formerly Madras Cements, manufactures cement, ready-mix concrete and dry mortar products. The company operates in",neutral,neutral,2.529571041755736,positive,2.839359395761935,positive
2018-02-28 18:02:39.468,751.0,753.9,740.0,740.25,215669.0,Accumulate The Ramco Cements; target of Rs 817: Dolat Capital,"Dolat Capital is bullish on The Ramco Cements has recommended accumulate rating on the stock with a target price of Rs 817 in its research report dated February 12, 2018.",neutral,positive,-1.4314247669773634,negative,-0.6756756756756757,neutral
2018-05-23 23:01:24.759,794.0,806.8,780.0,788.0,285046.0,"Ramco Cements to commission ₹1,775-cr capacity expansion projects next fiscal",Reports fall in profit for Q4 and FY18,positive,negative,-0.7556675062972292,neutral,-0.2487086282762492,neutral
2018-05-28 18:02:14.523,790.0,797.8,775.0,788.05,445022.0,Accumulate The Ramco Cements; target of Rs 890: Prabhudas Lilladher,"Prabhudas Lilladher recommended accumulate rating on The Ramco Cements with a target price of Rs 890 in its research report dated May 23, 2018.",neutral,positive,-0.2468354430379804,neutral,0.0898242012062165,neutral
2018-07-09 18:00:52.668,703.95,709.6,694.25,696.0,188717.0,"Movers & Shakers: Volumes of Garnet International & Ramco Cements rose up to 37,000%","Garnet International was trading with volumes of 503,476 shares, compared to its five day average of 1,348 shares, an increase of 37,260.94 percent. Ramco Cements was trading with volumes of 729,682 shares, compared to its five day average of 3,491 shares, an increase of 20,804.20 percent.",positive,positive,-1.1293415725548754,negative,-5.157593123209169,negative
2018-07-23 20:28:12.974,665.0,708.75,660.0,694.5,1000914.0,Ramco Cements Q1 PAT may dip 21% YoY to Rs. 123.1 cr: ICICI,"Net Sales are expected to increase by 14.6 percent Y-o-Y (down 2.3 percent Q-o-Q) to Rs. 1,178.9 crore, according to ICICI.",neutral,positive,4.43609022556391,positive,0.3900043333814886,neutral
2018-07-25 13:00:09.475,699.45,724.5,665.8,720.25,478128.0,"NCLAT strikes down cement firms’ plea against ₹ 6,700 crore CCI penalty for ‘cartelization’","In August 2016, CCI had slapped ₹ 6,700 crore penalty on 11 cement companies, including UltraTech Cement, ACC, Ambuja Cement, Ramco Cements and JK Cement for indulging in cartelization",negative,positive,2.9737651011508976,positive,-1.3657056145675237,negative
2018-08-02 23:01:12.233,692.0,698.1,673.0,678.0,474284.0,Ramco Cements Q1 net drops 20% to ₹125 crore,"The Ramco Cements has reported a 20 per cent fall in its net profit at ₹125 crore for the quarter ended June 30, 2018 from ₹156 crore in the year-ago period, on the back of lower operating profit.Tho",neutral,negative,-2.023121387283237,negative,-0.5294117647058857,neutral
2018-08-08 23:01:05.588,669.0,669.0,651.65,660.0,104041.0,Hold The Ramco Cements; target of Rs 735: Prabhudas Lilladher,"Prabhudas Lilladher recommended hold rating on The Ramco Cements with a target price of Rs 735 in its research report dated August 02, 2018.",neutral,positive,-1.345291479820628,negative,0.2878787878787844,neutral
2018-08-21 18:00:34.285,680.5,684.75,675.0,681.25,438040.0,CLSA sees adverse impact of Kerala floods on select companies,The firm said cement companies Ramco Cements and India Cements could see a near-term demand slowdown,negative,negative,0.1102130786186627,neutral,0.5131964809384164,neutral
2018-08-23 10:00:41.771,682.0,693.4,671.7,685.5,275448.0,"Kerala floods impact: Cement demand, prices to take a hit","Listed cement companies, such as Ramco Cements, India Cements and JK Cement, having exposure to Kerala could see a near-term slowdown in demand",neutral,negative,0.5131964809384164,neutral,0.5616731948858279,neutral
2018-08-24 13:01:26.751,676.55,687.0,666.65,680.35,297217.0,"ACC, Ambuja Cements, UltraTech Cement to get astrological support: Satish Gupta","Cement stocks like ACC, Ambuja Cements, UltraTech Cement and The Ramco Cements will get astrological support, says Satish Gupta of astrostocktips.",neutral,positive,0.5616731948858279,neutral,-1.277745327102804,negative
2018-10-30 23:02:17.786,600.0,608.4,584.45,597.25,295178.0,Logistics costs hurt Ramco Cements,"Ramco Cements has recorded a 33 per cent fall in its Q2 FY19 profit after tax at &#8377;114 crore, compared with &#8377;169 crore in the year-ago period, on account of lower realisations and higher lo",negative,negative,-0.4583333333333333,neutral,0.2334695238889314,neutral
