date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-20 13:03:19.038,693.3,704.4,696.95,698.0,259217.0,For FY18 see 40% growth in individual premium; tax benefits may continue: SBI Life,"The company expects to end FY18 on high growth rate, said Arijit Basu, MD & CEO, SBI Life insurance.",positive,positive,0.6779172075580623,neutral,1.2247838616714697,positive
2018-01-25 18:01:48.271,702.5,706.75,661.15,683.0,424203.0,SBI Life Insurance launches term policy with health cover,"The critical illness cover, under the SBI Life Poorna Suraksha, increases as the term of the policy progresses over the years",neutral,positive,-2.775800711743772,negative,0.1466275659824047,neutral
2018-01-30 18:01:01.855,670.0,681.5,654.3,660.0,323838.0,SBI Life net rises 21% on robust premium income,SBI Life Insurance Company has reported 21 per cent rise in its net profit at Rs 230.28 crore for the third quarter ended December 2017 on healthy premium income. The company had registered a net prof,positive,positive,-1.4925373134328357,negative,6.466165413533835,positive
2018-01-30 18:02:27.044,670.0,681.5,654.3,660.0,323838.0,SBI Life Insurance Q3 net profit rises 21% to Rs230 crore,"SBI Life Insurance’s Q3 total income rises to Rs9,720 crore against Rs6,060 crore in the year-ago period",positive,positive,-1.4925373134328357,negative,6.466165413533835,positive
2018-01-31 16:21:59.647,665.0,721.3,660.8,708.0,1534269.0,"With growth engine strong, SBI Life now needs to focus on quality","SBI Life Insurance trumps competition in terms of growth, it now has to shoot for quality of business by focusing on protection plans",positive,neutral,6.466165413533835,positive,0.7905138339920981,neutral
2018-02-13 13:00:45.621,689.0,695.0,679.5,684.0,311685.0,"Insurers must provide right solutions to expand market, say experts","Winning the trust of customers is vital for insurance penetration, says SBI Life MD",positive,neutral,-0.7256894049346879,neutral,-0.291970802919708,neutral
2018-02-22 18:00:19.327,670.0,679.4,666.15,675.0,288281.0,"We are selling ULIPs mostly to financially literate HNIs: Arijit Basu, SBI Life","“Our profitability has been growing and this years net profit is up by 24%.""",neutral,positive,0.7462686567164178,neutral,-0.7573529411764672,neutral
2018-06-05 13:02:54.377,669.0,686.4,662.0,681.15,174054.0,Changing gears: SBI Life to tie up with 8-10 banks in FY19 to overcome dependence on SBI,"The life insurer is in talks with Vijaya Bank and India Post among several others for a bancassurance partnership. On the other hand, SBI says it will continue to work exclusively with SBI Life",positive,neutral,1.8161434977578443,positive,0.2971229799260749,neutral
2018-06-25 13:02:11.006,689.75,694.35,678.4,681.55,140962.0,Why R Sreesankar of Prabhudas Lilladher is betting on SBI Life,"""SBI Life should not be classified as a PSU bandwagon kind of story. It will continue to grow.""",neutral,neutral,-1.1888365349764474,negative,-0.3741471645513836,neutral
2018-07-25 23:00:22.281,663.0,682.0,658.25,670.0,348898.0,"ITC, Bharti Airtel, Biocon, Maruti, SBI Life results","Aptech, Agro Tech Foods, Alembic Pharma, Biocon, CESC, Cholamandalam Investment, Bharat Financial, Bharti Airtel, Colgate, Concor, CUB, Dr Reddy’s, Eveready, Heidelberg, ITC, Jubilant, J&K Bank, L",neutral,neutral,1.0558069381598794,positive,1.4821845794392658,positive
2018-07-26 18:02:02.338,684.8,697.7,672.65,694.95,376641.0,SBI Life Q1 net up 13%,"SBI Life Insurance has posted a 13 per cent increase in its net profit at Rs 350 crore in the first quarter of the fiscal compared with Rs 310 crore a year ago.Similarly, new business premium increase",positive,positive,1.4821845794392658,positive,-0.8140623874360604,neutral
2018-07-26 23:01:26.279,684.8,697.7,672.65,694.95,376641.0,SBI Life Insurance Q1 profit rises 13% to Rs 350 crore,"The company's assets under management (AUM) were up 18.8 per cent at Rs 1,20,280 crore as on June 30. ",positive,positive,1.4821845794392658,positive,-0.8140623874360604,neutral
2018-07-30 10:01:37.551,694.05,703.55,684.5,688.4,111513.0,"Bullish on IT, underweight on metals, FMCG, oil & gas: Gopikrishna Shenoy, SBI Life","In terms of inflows last year, bond inflows have outpaced equity inflows: Gopikrishna Shenoy, SBI Life",neutral,positive,-0.8140623874360604,neutral,0.9587236533957778,positive
2018-08-17 10:02:19.934,653.75,658.7,652.05,655.0,150763.0,Targeting 25% growth in new business premium: SBI Life CEO,Company is planning to design a product for a lifestyle disease,positive,neutral,0.1912045889101338,neutral,1.6641452344931922,positive
2018-08-17 23:02:53.954,653.75,658.7,652.05,655.0,150763.0,SBI Life bets big on protection policies,Eyes higher share in overall business; sees significant rise in digital policies,neutral,positive,0.1912045889101338,neutral,1.6641452344931922,positive
2018-09-21 10:01:53.116,616.0,629.7,589.5,612.0,1139195.0,BNP Paribas Cardif to sell stake in SBI Life Insurance,BNP Paribas Cardif may sell more stake to trim shareholding of promoters in SBI Life Insurance to 75% to meet Sebi norms,neutral,positive,-0.6493506493506493,neutral,-3.278688524590164,negative
2018-09-24 21:17:46.549,575.0,582.0,555.0,568.05,366795.0,BNP Cardif to cut stake in SBI Life Insurance,The foreign partner is looking to reduce its stake to meet the minimum public shareholding norm of 25 percent in listed entities,negative,neutral,-1.208695652173921,negative,0.1826245760500834,neutral
2018-09-25 10:03:12.768,575.0,582.0,555.0,568.05,366795.0,"YES Bank, GTL Infra, SBI Life and Moser Baer among stocks in the news",Here's a look at the top stocks that may hog the limelight in today's session.,neutral,neutral,-1.208695652173921,negative,0.1826245760500834,neutral
2018-09-30 18:01:20.512,512.0,533.0,485.0,525.05,568567.0,BNP Paribas Cardif ready to extend support to SBI Life,"BNP Paribas Cardif has expressed its willingness to support SBI Life, even as it considers reducing its stake to meet the regulatory requirements. However, no decision has been made in this regard.SBI",positive,neutral,2.548828124999991,positive,5.61904761904762,positive
2018-10-08 18:00:59.828,553.85,564.4,540.05,540.05,205237.0,BNP Paribas plans to sell part of its stake in SBI Life,"The Indian regulation requires the insurer to raise its free float to 25 per cent, the French bank said.",neutral,positive,-2.491649363546099,negative,5.620370370370375,positive
2018-10-17 23:01:04.456,551.0,567.0,549.0,562.1,379624.0,"I-Sec, UltraTech, SBI Life results on Friday","&nbsp;About 10 companies will announce their quarterly results on Thursday and Friday. While the boards of Anant Raj, Poddar Pigments and Muthoot Capital Services will meet on Thursday to consider the",neutral,neutral,2.014519056261347,positive,0.8960573476702508,neutral
2018-10-19 10:01:57.600,558.0,581.85,555.25,563.0,1287071.0,"Stocks in the news: RIL, ACC, UltraTech, ICICI Securities, Mindtree, Havells India, DCB Bank","ICICI Securities, SBI Life Insurance Company, UltraTech Cement, and Bhansali Engineering Polymers are likely to be in focus on the back of their September quarter results announcements. ",neutral,neutral,0.8960573476702508,neutral,-2.961672473867596,negative
2018-10-19 23:00:34.427,558.0,581.85,555.25,563.0,1287071.0,SBI Life Insurance Q2 net up 11% at Rs 250 crore,New business premium saw a 9 percent increase in Q2FY19,positive,positive,0.8960573476702508,neutral,-2.961672473867596,negative
2018-10-22 13:01:38.082,547.2,586.05,545.1,585.0,719566.0,"SBI Life Insura Standalone September 2018 Net Sales at Rs 259.13 crore, up 6.87% Q-o-Q","SBI Life Insura Standalone September 2018 Net Sales at Rs 259.13 crore, up 6.87% Q-o-Q",positive,positive,6.907894736842096,positive,-3.8054607508532343,negative
2018-10-24 10:00:15.487,586.0,599.8,558.25,563.7,226893.0,"How HDFC Life, SBI Life, ICICI Prudential differed in their Q2 results","The pressure on Ulips of HDFC Standard Life, SBI Life Insurance and ICICI Prudential Life Insurance was patently visible in the September quarter",neutral,positive,-3.8054607508532343,negative,0.9227220299884742,positive
2018-10-29 10:00:42.927,568.05,585.0,566.05,578.95,398788.0,Insurance firms post moderate new business growth in H1,SBI Life saw 9 per cent increase while HDFC Life reported a strong 18 per cent increase in APE growth.,negative,positive,1.9188451720799389,positive,-3.6379310344827616,negative
2018-11-11 18:01:30.627,572.0,582.75,570.45,575.0,359701.0,‘The risk of interest rate spike is behind us’,SBI Life CIO recommends investors to stay put with their existing debt investments,neutral,neutral,0.5244755244755245,neutral,0.1225275687029661,neutral
2018-12-18 10:02:14.551,598.0,607.15,576.35,586.35,413673.0,"Stocks in the news: Infibeam Avenues, Tata Motors, IL&FS group stocks and SBI Life",Here's a look at the top stocks that may hog the limelight in today's session.,neutral,neutral,-1.948160535117053,negative,-1.7514172095778022,negative
2018-12-18 13:01:35.823,590.95,590.95,577.65,580.6,155293.0,Carlyle ahead of peers in race for SBI life stake,"
BNP Paribas likely to sell up to 10% in first tranche; KKR, Temasek too in fray",neutral,neutral,-1.7514172095778022,negative,2.135721667240781,positive
2018-12-27 10:01:55.912,544.0,605.0,540.35,595.0,925973.0,"Sun Pharma, SBI Life, HUL and NTPC among top stocks to track today",Here's a look at the top stocks that may remain in focus in today's trading session -,neutral,neutral,9.375,positive,-0.4166666666666667,neutral
2018-12-27 18:01:59.506,600.0,605.0,587.25,597.5,518984.0,The SBI life Insurance stock rose up to 5.08% to 603 level intra day compared to its previous close of 573.85 on the BSE. ,The SBI life Insurance stock rose up to 5.08% to 603 level intra day compared to its previous close of 573.85 on the BSE. ,positive,positive,-0.4166666666666667,neutral,0.0336134453781589,neutral
2018-12-31 10:00:09.206,595.0,605.8,595.0,595.2,169898.0,Pensioners in Rajasthan duped into buying SBI Life Insurance Policies,Officials assured them it's a better plan than fixed deposits and misrepresented their annual income in order to fulfil the eligibility criteria,neutral,positive,0.0336134453781589,neutral,0.5711885762284716,neutral
2018-12-31 23:02:31.666,595.25,601.8,592.2,598.65,40902.0,"Allahabad Bank, SBI Life join hand for bancassurance partnership","The tie-up will see 3,238 branches of Allahabad Bank across the country offer SBI Life's range of protection, wealth creation and savings products to its customers.",neutral,neutral,0.5711885762284716,neutral,1.4492753623188444,positive
2019-01-02 23:01:59.298,598.4,603.0,590.0,602.95,414993.0,Syndicate Bank and SBI Life Insurance sign a bancassurance pact,"The agreement was signed in the presence of Syndicate Bank MD and CEO Mrutyunjay Mahapatra and MD and CEO of SBI Life, Sanjeev Nautiyal, a bank release said.",neutral,positive,0.7603609625668564,neutral,-0.4394693200663312,neutral
2019-01-18 23:00:33.100,627.0,629.5,615.0,615.0,106851.0,SBI Life Q3 profit up 15% at Rs 264 crore,"Total income increased to Rs 12,156.39 crore as against Rs 9,585.87 crore in the previous fiscal.",positive,positive,-1.9138755980861244,negative,-0.8,neutral
2019-01-24 10:00:23.273,620.0,629.4,615.1,618.0,129334.0,"SBI Life takes a lead over ICICI Prudential, HDFC life on key parameters","With favourable business mix and valuations, stock emerges top pick for analysts",neutral,positive,-0.3225806451612903,neutral,-1.824846601322822,negative
2019-03-01 10:00:24.775,581.95,622.1,515.55,599.95,11512916.0,"SBI Life Insurance tanks 12% after block deals worth Rs 4,576 cr","CNBC-TV18 report indicated that about 8.85 crore shares worth Rs 4,576 crore traded in block deals on the BSE.",neutral,neutral,3.0930492310335937,positive,1.0183639398998368,positive
2019-03-01 10:02:19.550,581.95,622.1,515.55,599.95,11512916.0,"D-Street Buzz: Nifty Metal outperforms led by Vedanta; Bharti Airtel down 2%, SBI Life most active","The top gainers from NSE included Vedanta, Zee Entertainment, YES Bank, Indiabulls Housing and Hindalco Industries while the top losers included Bharti Airtel, Dr Reddy's Labs, Cipla, Bajaj Auto and Coal India.",neutral,neutral,3.0930492310335937,positive,1.0183639398998368,positive
2019-03-01 13:00:22.345,581.95,622.1,515.55,599.95,11512916.0,SBI Life Insurance shares jump 6% after plunging 12%,"According to Bloomberg data, about 7.88 crore shares or 7.9 per cent equity of the company changed hands in 35 block deals on BSE.
",positive,neutral,3.0930492310335937,positive,1.0183639398998368,positive
2019-03-01 18:00:06.527,581.95,622.1,515.55,599.95,11512916.0,"Movers & Shakers: Volumes of SBI Life, Bajaj Finserv, Andhra Cements surge the most","SBI Life Insurance Company was trading with volumes of 98,243,219 shares, compared to its five day average of 9,158 shares while Bajaj Finserv was trading with volumes of 311,830 shares, compared to its five day average of 17,169 shares, an increase of 1,716.22 percent.",positive,positive,3.0930492310335937,positive,1.0183639398998368,positive
2019-03-01 18:01:08.731,581.95,622.1,515.55,599.95,11512916.0,Carlyle buys 9% stake in SBI Life from BNP Paribas Cardif," BNP Paribas Cardif S.A. cut its stake in the insurer by 9.23 percent to 12.77 percent, the company said.",neutral,negative,3.0930492310335937,positive,1.0183639398998368,positive
2019-03-01 23:00:22.959,581.95,622.1,515.55,599.95,11512916.0,Carlyle acquires 9% stake in SBI Life from BNP Paribas Cardif,"At the current market price, Carlyle would have paid  ₹5,445 crore for the nine crore shares picked up from the open market.SBI remains the majority shareholder with 62.1 % stake in the company",neutral,neutral,3.0930492310335937,positive,1.0183639398998368,positive
