date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-18 18:00:17.494,948.6,961.0,933.3,942.0,2435282.0,BSE Midcap index hits new high; Page Industries surges over 8%,"Page Industries, Shriram Transport Finance Corporation, Sun TV Network and TVS Motor Company from the midcap index hit their respective record highs.",positive,positive,-0.6957621758380795,neutral,-0.621150987470791,neutral
2017-12-21 13:00:47.452,988.0,1007.8,967.1,996.95,3393476.0,"D B Realty, Unitech, Sun TV Network surge upto 20% post 2G verdict","D B Realty locked in upper circuit of 20% at Rs 43.70, Unitech surged 16% to Rs 8.25, while Sun TV Network rallied 6% to Rs 996 in intra-day trade on the BSE.",positive,positive,0.905870445344134,positive,1.1810624493106223,positive
2017-12-21 18:00:25.576,988.0,1007.8,967.1,996.95,3393476.0,2G stocks rally up to 20% after 2G case verdict,"Unitech surged 11.86%, D B Realty 19.89%, Reliance Communications 4.05% and Sun TV Network 4.51% on the BSE",positive,positive,0.905870445344134,positive,1.1810624493106223,positive
2018-02-12 13:00:19.124,1000.1,999.95,973.75,982.0,1432756.0,Sun TV Network: Buy ₹940-put, The long-term outlook for the stock of Sun TV Network (₹973.5) is positive. Only a close below ₹783 will alter the bullish view on Sun TV for the long term. The stock finds immediate support at ₹923,neutral,positive,-1.8098190180981923,negative,-0.2268145161290322,neutral
2018-02-12 13:02:34.414,1000.1,999.95,973.75,982.0,1432756.0,Sun TV Network gains 3% post Q3 numbers; IDFC Securities keeps outperform,The company board at its meeting held on February 09 declared third interim dividend of Rs 2.5 per equity share of Rs 5 each (i.e. 50 percent) for the financial year 2017-18.,positive,neutral,-1.8098190180981923,negative,-0.2268145161290322,neutral
2018-03-13 13:00:19.067,890.6,944.4,893.0,944.4,2101069.0,"Sun TV Network, Engineers India gain 1% on interim dividend for FY18",Engineers India declared an interim dividend of Rs 2.50 per share of the company for the financial year 2017-18.,positive,neutral,6.04087132270379,positive,-2.2872340425531914,negative
2018-05-14 13:02:32.852,955.0,986.9,946.3,969.0,4245686.0,Sun TV hits over 8-month high on Q4 results,"Sun TV shares gained the most in over 8 months on strong Q4 show. Sun TV Network Ltd rose as much as 11.7 per cent to Rs 969.90, its biggest intraday percentage gain since September 1, 2017 and highes",positive,positive,1.4659685863874343,positive,1.921079958463136,positive
2018-06-22 10:02:35.646,838.0,849.85,831.35,833.1,1996817.0,"Hold  Sun TV Network, target Rs  947 :   Emkay Global Financial Services",Hold  Sun TV Network Ltd.  at a price target of Rs  947.0    .,neutral,positive,-0.5847255369928374,neutral,-3.878532772098617,negative
2018-07-02 18:02:10.055,783.0,796.0,774.65,796.0,1149248.0,Sun TV Network rises 3%; Citi maintains buy with upside potential of 47%,The broking house expect steady advertising revenue and strength in subscription revenues to sustain.,positive,positive,1.6602809706257982,positive,-0.8103015075376943,neutral
2018-08-13 18:00:55.728,766.0,782.9,753.8,781.4,3585805.0,Sun TV Network dips 6% after June quarter results,"The stock dipped 6% to Rs 776 on the BSE, after the company reported 63% YoY growth in net profit at Rs 4.09 billion in June quarter driven by strong performance by its IPL franchise.",neutral,positive,2.010443864229762,positive,0.8997429305912596,neutral
2018-08-17 10:02:55.056,792.0,797.8,781.0,787.45,1400686.0,"Strong advertising outlook, launch of channels positives for Sun TV Network",The decision to cap management compensation and incremental subscription growth are other triggers,positive,neutral,-0.5744949494949437,neutral,0.8595988538681949,neutral
2018-09-05 10:01:43.479,720.0,733.95,702.45,720.2,2181059.0,"'BUY' or 'SELL' ideas from experts for Wednesday, 5 September 2018","Sun TV Network is a 'Sell' call with a target price of Rs 710 and a stop loss of Rs 740.
",neutral,neutral,0.027777777777784,neutral,-3.6426592797783863,negative
2018-09-05 18:00:54.381,722.0,727.65,692.35,695.7,4634272.0,"D-Street Buzz: Over 105 stocks hit new 52-week low; Realty stocks fall, BEL tanks 15%","105 stocks have hit new 52-week low including BEL, BPCL, Castrol India, eClerx Services, BGR Energy, HPCL, Idea Cellular, Bharti Infratel, Tata Communications, Suzlon Energy and Sun TV Network among others.",negative,negative,-3.6426592797783863,negative,-0.0432744320230731,neutral
2018-09-12 18:02:04.828,669.0,684.35,655.55,678.8,2350674.0,"Apollo Tyres, Jet Airways among 37 stocks in BSE500 index to hit 52-wk lows","GIC Housing, Sun TV Network, Vodafone Idea, BEML, Bharat Electronics, and Bharti Infratel were among 37 stocks from the S&P BSE 500 index hit 52-week lows.",positive,neutral,1.4648729446935658,positive,0.5496921723834652,neutral
2018-10-04 13:02:50.834,635.0,639.5,602.0,606.0,1815871.0,"Sun TV to launch new GEC, plans to increase market share in home market","The launch is expected to help Sun TV Network Ltd ring-fence itself from recent forays by rivals such as Zee, Star and Colors",positive,positive,-4.566929133858268,negative,1.5016501650165053,positive
2018-11-02 23:01:23.744,680.0,683.7,656.0,665.25,2037534.0,Sun TV Network Q2 net up 23.41% to Rs 351.32 cr,"Its total income increased to Rs 811.67 crore, from Rs 713.13 crore in the year-ago period, an official release said.

",positive,positive,-2.169117647058824,negative,-6.215805471124616,negative
2018-11-05 13:01:38.284,618.0,627.4,605.0,607.0,2367065.0,Sun TV Network dips 6% on mixed September quarter results,The stock dipped 6% to Rs 622 on the BSE in early morning trade after the company reported a mixed operating performance in September quarter with a miss on revenue but a beat on margins and profit.,negative,negative,-1.779935275080906,negative,-0.1802983117521754,neutral
2018-11-05 18:01:19.810,618.0,627.4,605.0,607.0,2367065.0,Sun TV falls on muted Q2 ad revenue growth,"Broadcast services provider Sun TV Network Ltd falls as much as 6.3 per cent to Rs 621.55, in its biggest intraday fall since September 21The company's September-quarter profit jumped 23.4 per cent&nb",negative,negative,-1.779935275080906,negative,-0.1802983117521754,neutral
2018-11-30 13:02:10.119,611.55,611.55,587.05,590.75,3288885.0,Sun TV Network falls 4% after HSBC cuts price target by 18%,"While reiterating hold rating on the stock, HSBC said higher investment by Sun TV Network is required to enter new markets.",negative,positive,-3.401193688169398,negative,0.0756620428751652,neutral
2018-11-30 18:01:48.685,611.55,611.55,587.05,590.75,3288885.0,Sun TV shares hit 2-week low,"Shares of Sun TV Network Ltd fell as much as 4.36 per cent to Rs 589.4, their lowest in a fortnight. HSBC Global Research has cut Sun TV&#39;s price target to Rs 703 from Rs 855; it has maintained “ho",negative,negative,-3.401193688169398,negative,0.0756620428751652,neutral
2018-12-07 13:00:20.522,591.0,598.85,578.7,590.2,2026972.0,"Sun TV Network falls 3% after CLSA cuts price target, earnings estimates",The research house cut its earnings estimates for the company by 3-4 percent to factor in higher content costs.,negative,negative,-0.1353637901861175,neutral,-1.891615541922275,negative
2018-12-23 18:02:11.740,595.05,598.9,575.2,578.8,1226604.0,Future perfect: Consider calendar put on Sun TV,The outlook for Sun TV Network futures (₹591.25) has turned negative. Only a close above ₹744 will alter the bearish view on Sun TV for the long term. The stock finds immediate support at ₹560 and a r,neutral,negative,-2.7308629526930512,negative,-0.5356834283739456,neutral
2019-01-09 23:01:09.653,588.0,597.7,588.0,588.1,726239.0,"Peta may keep Sun TV, multiplexes in limelight","Shares of Sun TV Network may remain in focus, as Rajinikanth’s Petta is set to release on Thursday, which has created a huge buzz among the audience. With extended holidays, the expectation is that Su",neutral,positive,0.0170068027210923,neutral,-0.5067567567567568,neutral
