date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-21 18:02:36.062,490.0,497.25,488.55,493.5,1208527.0,Tech Mahindra partners with Gao Feng to open AI lab in Shanghai,The lab will leverage Tech Mahindra's RPA (Robotic Process Automation) and IoT frameworks and ecosystem to develop AI chatbot for customer applications.,neutral,positive,0.7142857142857143,neutral,-0.4048582995951417,neutral
2017-12-31 13:01:49.687,501.1,508.7,500.05,503.55,1113868.0,"Wipro, Tech Mahindra among 15 companies shortlisted by Sebi for IT services",The service is related to identify and classify security holes in its entire information technology infrastructure and suggest measures to mitigate such risks.,neutral,neutral,0.488924366393931,neutral,2.0059582919563104,positive
2017-12-31 18:00:44.288,501.1,508.7,500.05,503.55,1113868.0,"Wipro, Tech Mahinda among 15 firms shortlisted by Sebi to check IT threats","Markets regulator Sebi has  shortlisted 15 entities, including Tata Communications, Wipro  and Tech Mahindra for two separate services -- identify and  classify security holes in IT infrastructure, as well as  protect against security threats.
To",neutral,neutral,0.488924366393931,neutral,2.0059582919563104,positive
2018-01-09 18:01:06.096,535.0,544.0,533.8,542.7,2745972.0,"Tech Mahindra ties up with edX.org to reskill 117,000 employees",Tech Mahindra has worked out special schemes for its employees where they can self- fund the certifications at discounted rates to be reimbursed on successful completion of the course.,neutral,neutral,1.4392523364486067,positive,1.0386029411764663,positive
2018-01-10 13:05:56.090,544.0,555.85,542.7,549.65,3479826.0,TechM partners edX to re-skill workforce,IT major Tech Mahindra on Tuesday said it has partnered with e-learning platform edX t,neutral,positive,1.0386029411764663,positive,0.0090909090909008,neutral
2018-01-10 18:00:17.381,544.0,555.85,542.7,549.65,3479826.0,"TCS, Infosys, Wipro, Tech Mahindra among 13 IT stocks that hit 52-week high","KPIT Technologies, NIIT Technologies, Persistent Systems, Tata Elxsi, Vakrangee, Mastek, Infinite Computer, Hinduja Global Solutions and BLS International too hit 52-week highs today.",neutral,neutral,1.0386029411764663,positive,0.0090909090909008,neutral
2018-01-15 18:02:21.444,548.0,563.0,547.3,556.8,4786174.0,Tech Mahindra helping clients migrate workload to IBM 'POWER9' chips,Tech Mahindra clients who migrate to 'POWER9' system will be positioned to see performance gains that accelerate workloads such as deep learning and AI.,neutral,positive,1.605839416058386,positive,-1.062594874542378,negative
2018-01-16 13:00:10.950,559.95,564.2,553.25,554.0,1629162.0,Tech Mahindra shares up 3% on partnership with Israeli firm,"Tech Mahindra shares opened on a bullish note at Rs548.10, then surged 3.20% to touch a high of Rs561.35 on the BSE",positive,positive,-1.062594874542378,negative,-1.5178571428571428,negative
2018-01-19 13:02:17.833,553.0,558.5,547.2,550.8,1950977.0,Tech Mahindra to pick up 17.5 per cent stake in Altiostar for $15 million,"Altiostar Networks is a US Corporation with presence across six countries in Europe, Asia Pacific and Latin American regions.",neutral,neutral,-0.3978300180831909,neutral,3.41818181818181,positive
2018-01-22 13:01:01.023,569.15,590.7,564.2,586.15,4097475.0,"IT shares gain; TCS hits new high, crosses Rs 3,000 mark","TCS, Persistent Systems, Mindtree, Take Solutions, Tata Elxsi, Zensar Technologies, NIIT Technologies, Tech Mahindra and MphasiS were up in the range of 1% to 6% on BSE.",positive,positive,2.986910304840552,positive,3.312505349653346,positive
2018-01-25 18:00:25.060,604.5,613.45,588.2,598.5,5098633.0,"Davos 2018: Eyeing different geographies for expansions, says CP Gurnani","M&A has always been one of their strategy but now they have become more selective, said CP Gurnani, MD & CEO, Tech Mahindra.",neutral,neutral,-0.9925558312655088,negative,1.0015858442534014,positive
2018-01-29 18:00:19.568,600.0,610.25,593.75,602.3,6238454.0,Tech Mahindra Q3 net profit up 10% to Rs943 crore,"In dollar terms, Tech Mahindra’s profit grew 16.5% to $147 million while revenue was up 8.3% to $1.2 billion over the year ago period",positive,positive,0.3833333333333257,neutral,1.3603185136031928,positive
2018-01-30 11:46:28.377,600.0,610.25,593.75,602.3,6238454.0,"Q3 results: New technology focus, margin gains to drive Tech Mahindra","Tech Mahindra joined larger peers in reporting better than expected performance for the quarter ended December 2017. The company reported 2.5 per cent sequential growth in dollar revenue to $1.2 billion. In addition to business growth,",positive,positive,0.3833333333333257,neutral,1.3603185136031928,positive
2018-01-30 13:02:11.171,602.8,626.2,597.3,611.0,7239756.0,"Tech Mahindra cheapest in IT lot, may fetch over 15% return",The company had posted a consolidated net profit of Rs 836.15 crore in the September quarter.,positive,neutral,1.3603185136031928,positive,-0.4815933393192281,neutral
2018-02-08 18:00:41.803,601.0,603.0,589.65,594.75,3478167.0,"No layoffs, but top outsourcers see staff strength shrink for first time in 20 years","Cognizant, DXC Technology, Wipro and Tech Mahindra, which together employed 719,471 people on 1 January 2017, saw their workforce fall by 26,677 people to end the year with 692,794 people",negative,negative,-1.0399334442595674,negative,-1.596989966555176,negative
2018-02-20 13:01:12.458,581.05,597.9,578.85,594.85,5559817.0,See 2019 as glass half-full; there are many new opportunities: C P Gurnani,"On the back of global recovery, there are many new opportunities to explore, especially in the digital space: CEO & MD of Tech Mahindra",neutral,neutral,2.3750107563893077,positive,2.1030405405405483,positive
2018-02-23 18:02:35.655,607.0,624.95,605.0,624.0,3487433.0,Tech Mahindra to invest 100 million Canadian dollar for centre of excellence in Toronto,The company said this “strategic investment” would focus on emerging technologies that are driving innovation across industries and cater to increasing demand for applications in fintech industry and smart cities projects.,neutral,positive,2.800658978583196,positive,-1.7524115755626974,negative
2018-02-25 18:01:17.481,622.0,627.25,611.05,611.1,2910615.0,"Tech Mahindra bets big on 5G, sets up lab in Bengaluru",Tech Mahindra has set up a lab in Bengaluru in association with US chipmaker Intel as part of its preparedness for 5G services expected to be rolled out by 2019,neutral,neutral,-1.7524115755626974,negative,-0.9708737864077668,negative
2018-03-09 18:01:09.834,609.7,623.1,606.5,621.15,2093618.0,"Nifty IT index closes in the green; Tech Mahindra, TCS top gainers","The index closed 0.51 per cent up at 12,747 on Friday.",neutral,positive,1.87797277349515,positive,-0.3461321741930254,neutral
2018-03-12 13:01:26.518,620.0,624.95,613.6,618.85,2304172.0,"Nifty pullback likely to find resistance around 10,340: Tech Mahindra can yield 8% return in near term",,positive,neutral,-0.1854838709677382,neutral,3.643724696356275,positive
2018-03-12 13:02:00.506,620.0,624.95,613.6,618.85,2304172.0,"Nifty may see 'dead cat bounce', bullish on ICICI Bank: Rohit Srivastav","The next one-week perspective being positive the strongest sector has been IT and so I would consider buying into IT stocks such as Tech Mahindra, TCS, Infosys and NIIT tech.",positive,positive,-0.1854838709677382,neutral,3.643724696356275,positive
