date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-01-19 13:04:00.503,720.95,721.5,702.65,715.0,168600.0,Torrent Pharma to buy US-based Bio-Pharm,The acquisition of Bio-Pharm provides Torrent Pharmaceuticals with new capabilities including manufacturing and R&D presence in the USA,neutral,positive,-0.8252999514529503,neutral,0.8344923504867872,neutral
2018-04-05 13:01:32.873,655.08,672.25,649.0,660.12,371744.0,Torrent Pharmaceuticals drops plan to buy Sanofi's Europe business,Company was in talks with PE firms to raise funds,neutral,neutral,0.7693716797948286,neutral,-2.114212625084637,negative
2018-04-17 13:03:03.388,667.03,680.78,666.03,676.1,196530.0,Torrent Pharmaceuticals Q4 PAT may dip 37.3% YoY to Rs. 129.3 cr: Edelweiss,"Net Sales are expected to increase by 11.5 percent Y-o-Y (up 8.3 percent Q-o-Q) to Rs. 1,599.4 crore, according to Edelweiss.",neutral,positive,1.359758931382404,positive,2.2839242907775303,positive
2018-04-18 13:03:10.533,679.97,700.38,673.85,695.5,431570.0,Torrent Pharmaceuticals draws up plan to reduce dependence on US,Company to draw 47% of revenue and 67% of Ebitda from Indian business by FY20,positive,neutral,2.2839242907775303,positive,1.799921742532944,positive
2018-05-30 23:00:15.185,670.0,714.7,664.8,707.5,1185744.0,Torrent Pharmaceuticals Q4 profit rises 11% to Rs228 crore,"Torrent Pharmaceuticals registers 20% jump in revenue at Rs1,722 crore for the March quarter of FY18 as against Rs1,434 crore in the same period last year",positive,positive,5.597014925373134,positive,2.6043524794862645,positive
2018-05-31 18:00:26.086,700.75,743.85,700.75,719.0,1255594.0,Torrent Pharma Q4 standalone net profit jumps 93% to ₹220 cr,"Torrent Pharmaceuticals Limited has registered a standalone net profit of ₹220 crore for the quarter ended March 2018 as against ₹114 crore in the corresponding quarter a year ago, showing a growth of",positive,positive,2.6043524794862645,positive,-2.676399026763994,negative
2018-07-13 18:01:33.531,728.22,730.67,718.4,721.5,496220.0,Hold Torrent Pharmaceuticals; target of Rs 1333: Edelweiss,"Edelweiss recommended hold rating on Torrent Pharmaceuticals with a target price of Rs 1333 in its research report dated July 11, 2018.",neutral,positive,-0.9227980555326724,negative,-0.0879826827735487,neutral
2018-07-18 18:00:48.419,722.5,724.0,705.28,710.03,268884.0,Torrent Pharmaceuticals Q1 PAT may dip 8.4% YoY to Rs. 172.2 cr: Kotak,"Net Sales are expected to increase by 30.2 percent Y-o-Y (up 3.9 percent Q-o-Q) to Rs. 1,789.1 crore, according to Kotak.",neutral,positive,-1.7259515570934292,negative,-0.1872369180521786,neutral
2018-08-02 23:01:16.972,771.5,827.4,765.5,812.5,3268674.0,Torrent Pharma Q1 net dips 13% at Rs 163 cr,Torrent Pharmaceuticals today reported 13.29 per cent decline in its consolidated net profit at Rs 163 crore for the first quarter ended June 30. The company had posted a net profit of Rs 188 crore du,neutral,negative,5.314322747893714,positive,0.9174311926605504,positive
2018-08-09 13:02:07.863,851.5,854.88,836.1,848.38,529334.0,"D-Street Buzz: Pharma, PSU Bank stocks gain; Selan Exploration hits 52-week high","Bajaj Finance, IPCA Laboratories, Torrent Pharmaceuticals, Info Edge, Nelco, Selan Exploration, VIP Industries are some of the stocks which have hit new 52-week high in the morning trade on NSE.",positive,neutral,-0.3664122137404585,neutral,0.3017751479289887,neutral
2018-08-20 23:00:29.712,878.03,889.95,865.6,876.5,1061162.0,Torrent Pharma recalls 14 lots of blood pressure drug in US,Drug-maker Torrent Pharmaceuticals Ltd (TPL) on Monday informed about recall of certain lots of its high blood pressure heart disease control drug in the US market. A TPL statement released by the US,neutral,negative,-0.1742537270936041,neutral,0.4022929558845285,neutral
2019-04-08 10:02:06.059,920.0,920.0,893.0,894.03,1153856.0,Torrent Pharmaceuticals slips as USFDA issues observations for Dahej plant,"The audit at Dahej Plant of the company was carried out by USFDA in the month of March, 2019. ",neutral,neutral,-2.8228260869565247,negative,3.961002785515316,positive
2019-04-17 18:00:28.915,919.58,924.38,907.0,917.9,519370.0,Torrent Pharmaceuticals Q4 PAT may dip 12.6% YoY to Rs. 199.3 cr: Kotak,"Net Sales are expected to increase by 14.7 percent Y-o-Y (down 3.7 percent Q-o-Q) to Rs. 1,975.8 crore, according to Kotak.",neutral,positive,-0.1826920985667439,neutral,-0.6043715846994505,neutral
2019-04-21 13:00:04.986,915.0,916.0,897.5,909.47,255206.0,Torrent Pharma recalls over 10.78 lakh bottles of hypertension drug from US,"The US-based arm of Torrent Pharmaceuticals is recalling 133,992 bottles of Losartan Potassium tablets USP in the strength of 25 mg.",negative,negative,-0.6043715846994505,neutral,-0.9065934065934068,negative
2019-04-26 13:00:37.586,862.08,887.5,862.08,877.47,856246.0,Torrent Pharma gets observation from USFDA for Indrad plant,Drug firm Torrent Pharmaceuticals on Friday said the US health regulator has made ‘certain’ observations after inspection of its Indrad facility in Gujarat.The audit at Indrad plant of the company was,neutral,neutral,1.7852171492204885,positive,3.191074622758341,positive
2019-05-21 13:00:51.064,800.72,800.72,768.58,777.58,816352.0,Torrent Pharmaceuticals sees worst day in 8 months,"Shares of Torrent Pharmaceuticals Limited on Tuesday plunged over seven per cent in morning trade a day after it reported a loss of Rs 152 crore for the quarter ended March 31, 2019.The company posted",negative,negative,-2.889899090818262,negative,-0.5637411915438791,neutral
2019-06-21 13:00:35.749,755.0,759.95,748.28,751.92,499780.0,Despite a 1% decline in Nifty Pharma index Deutsche Bank is betting on these 3 stocks,"Deutsche's top picks are Torrent Pharma, Aurobindo Pharma and Cipla which all are buy calls.",neutral,neutral,-0.4079470198675551,neutral,0.7912234042553251,neutral
2019-06-28 18:00:13.188,769.25,776.0,762.08,770.25,317184.0,"Torrent Pharma gains as Credit Suisse stays positive on India biz, sees double digit return","The research house maintained an outperform call on the stock with a target price at Rs 1,750 per share, implying a 14 percent potential upside from current level.",positive,positive,0.1299967500812479,neutral,-0.3016688061617487,neutral
