date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2018-05-18 23:00:19.013,336.95,336.95,330.55,332.95,19980.0,Tata Group plans aggressive expansion of Westside stores,"Upbeat on the economic prospects of the country over the next 3-5 years, Tata group company Trent Ltd has undertaken aggressive expansion plans for its retail chain Westside, a top company official sa",positive,positive,-1.1871197507048523,negative,-0.4029850746268724,neutral
2019-02-13 23:00:12.812,345.0,345.0,340.0,341.7,63798.0,Venkat resigns from Tata Trusts,"Noel N. Tata, chairman, Trent Ltd., appointed trustee of Sir Ratan Tata Trust",neutral,neutral,-0.956521739130438,negative,-2.658486707566469,negative
2019-04-29 23:01:42.572,363.0,369.0,354.85,355.0,322973.0,Trent Q4 net profit up 37 per cent,"Tata group retail firm Trent Ltd on Monday reported an increase of 36.79 per cent in standalone net profit at ₹ 15.95 crore for the fourth quarter ended March 31, 2019. The company posted a profit of",positive,positive,-2.203856749311295,negative,2.2832329457907368,positive
2019-04-30 13:01:43.640,363.0,369.0,354.85,355.0,322973.0,Trent Ltd gains 2% on strong Q4 earnings,"At 1028 hrs, Trent Ltd was quoting Rs 362, up 2.09 percent on the BSE.",positive,positive,-2.203856749311295,negative,2.2832329457907368,positive
2019-06-18 10:01:26.325,391.0,400.0,390.7,395.0,161102.0,Trent: Focus on fund-raising plans," The board of directors of Trent will meet on Tuesday to consider fund-raising plans. This could be in the form of rights issue, qualified institutional placement, debt issue, preferential issue or an",neutral,neutral,1.0230179028132993,positive,4.745078243311462,positive
2019-06-18 18:02:32.265,396.2,418.0,396.2,415.0,443157.0,"Tata's Trent to raise up to  ₹1,550 crore for expansion plans","Trent says its board has approved the plans to raise up to  ₹1,550 crore in the current financial through a combination of issuance of shares to its promoter Tata Sons on a preferential basis and other options.Shares of Trent closed 1.41% higher at  ₹395.05 apiece on the BSE",positive,positive,4.745078243311462,positive,-0.180722891566265,neutral
2019-06-18 23:01:52.215,396.2,418.0,396.2,415.0,443157.0,Trent said the total amount to be raised from the issuance of shares to the promoter is about Rs 950 crore.,Trent said the total amount to be raised from the issuance of shares to the promoter is about Rs 950 crore.,neutral,neutral,4.745078243311462,positive,-0.180722891566265,neutral
2019-06-19 10:00:46.249,396.2,418.0,396.2,415.0,443157.0,Difference in conditions is the biggest challenge for any bowler in this World Cup: Trent Boult,"“To some extent, the ball is swinging more this time around (as compared to the 2017 Champions Trophy). But there has to be some difference from T20 cricket where batsmen are hitting out all the time.”",neutral,positive,4.745078243311462,positive,-0.180722891566265,neutral
2019-06-20 10:01:23.642,415.0,418.05,402.5,414.25,137995.0,"Australia vs Bangladesh World Cup 2019 match 26 live telecast, online streaming, live score, when and where to watch in India","Buoyed by their emphatic win over West Indies, Bangladesh will be brimming with confidence when they face a stiff test against Australia in their crucial World Cup fixture at Trent Bridge, Nottingham today.",neutral,positive,-0.180722891566265,neutral,-1.7995169082125575,negative
2019-06-20 18:02:46.445,414.0,416.25,405.6,406.55,34276.0,Cricket Score - Australia vs Bangladesh World Cup 2019 Match 26: AUS-208/1 (35 Overs),"Catch all the live updates for Australia vs Bangladesh ICC Cricket World Cup 2019 Match 26 being played at Trent Bridge,Nottingham",neutral,neutral,-1.7995169082125575,negative,2.2276029055690048,positive
