date,open,high,low,close,volume,title,description,title_sentiment,desc_sentiment,daily_change_pct,market_sentiment,next_day_change_pct,next_day_sentiment
2017-12-20 13:02:58.734,221.85,224.25,220.8,222.75,1850051.0,"I would be quite optimistic if I am an engineer in India even today: Rishad Premji, Wipro",There is still a lot of growth in IT industry both in terms of overall revenue growth and employability.,positive,positive,0.4056795131845868,neutral,1.1767337807606244,positive
2017-12-22 13:01:22.199,223.5,227.55,222.38,226.13,2338600.0,Azim Premji Trust sells 2.73% in Wipro,"Azim Premji Trust, along with other promoter entities, has sold its 2.73 percent stake",neutral,neutral,1.1767337807606244,positive,0.9117464813667356,positive
2017-12-22 13:03:19.478,223.5,227.55,222.38,226.13,2338600.0,Azim Premji Trust sold 2.73% stake in Wipro in share buyback offer,"Azim Premji Trust, along with nine other promoter entities, offloaded a little over 17.96 crore shares during the share buyback that closed on 13 December",neutral,neutral,1.1767337807606244,positive,0.9117464813667356,positive
2017-12-25 13:01:01.154,225.94,229.99,223.61,228.0,2468948.0,Wipro now builds a Hybrid Crowd for talent-spotting,Wipro and other companies including TCS are slowly working on crowdsourcing models that can help in delivering complex technology works at competitive rates.​​,neutral,positive,0.9117464813667356,positive,0.8862370025885059,neutral
2017-12-26 13:02:33.086,227.93,230.81,225.04,229.95,2415509.0,"Kotak maintains Reduce on Wipro, valuations full even after building in acceleration in growth",Kotak said pressure on market share especially in vendor consolidation decision is a concern.,positive,negative,0.8862370025885059,neutral,0.0,neutral
2017-12-27 13:03:56.443,229.43,232.43,226.88,229.43,6714283.0,Wipro invests $2 m in Imanis Data,"Wipro has invested $2.05 million in Delaware-headquartered Imanis Data, a provider of",neutral,neutral,0.0,neutral,2.161100196463649,positive
2017-12-31 13:01:49.687,233.63,240.0,232.13,235.91,4463108.0,"Wipro, Tech Mahindra among 15 companies shortlisted by Sebi for IT services",The service is related to identify and classify security holes in its entire information technology infrastructure and suggest measures to mitigate such risks.,neutral,neutral,0.9759020673714852,positive,0.3630376968213152,neutral
2017-12-31 18:00:44.288,233.63,240.0,232.13,235.91,4463108.0,"Wipro, Tech Mahinda among 15 firms shortlisted by Sebi to check IT threats","Markets regulator Sebi has  shortlisted 15 entities, including Tata Communications, Wipro  and Tech Mahindra for two separate services -- identify and  classify security holes in IT infrastructure, as well as  protect against security threats.
To",neutral,neutral,0.9759020673714852,positive,0.3630376968213152,neutral
2018-01-02 13:04:40.646,240.3,240.3,231.56,232.39,2913131.0,"Wipro, TechM among 15 companies shortlisted by SEBI for IT services ",SEBI wants to identify and classify security holes in its entire information technology infrastructure and take measures to mitigate such risks,neutral,neutral,-3.291718684977122,negative,0.1590850460056651,neutral
2018-01-03 13:04:09.688,232.58,234.75,230.59,232.95,1948584.0,Wipro awaits payback from digital push,IT major has spent $1 b in the last two years on acquisitions,positive,neutral,0.1590850460056651,neutral,-0.9584664536741214,negative
2018-01-10 18:00:17.381,242.66,244.54,239.66,240.38,2814891.0,"TCS, Infosys, Wipro, Tech Mahindra among 13 IT stocks that hit 52-week high","KPIT Technologies, NIIT Technologies, Persistent Systems, Tata Elxsi, Vakrangee, Mastek, Infinite Computer, Hinduja Global Solutions and BLS International too hit 52-week highs today.",neutral,neutral,-0.9395862523695712,negative,-0.3115264797507788,neutral
2018-01-16 13:00:22.862,249.75,250.09,243.75,244.46,4034531.0,"Top intraday trading ideas for afternoon trade for Tuesday, 16 January 2018",Wipro is a 'Buy' call with a target price of Rs 340 and a stop loss of Rs 320.,neutral,neutral,-2.1181181181181152,negative,-0.1508664627930701,neutral
2018-01-19 18:00:10.843,245.25,247.5,240.38,246.6,2136939.0,Wipro posts surprise fall in Q3 profit on higher costs,"Wipro’s December quarter net profit fell to Rs1,931 crore, lagging analyst estimates of Rs2,158 crore",negative,negative,0.550458715596328,neutral,1.6403785488959013,positive
2018-01-22 13:01:56.495,241.58,241.84,235.13,237.3,4302071.0,Wipro’s turnaround is almost complete: CEO Abidali Neemuchwala,"Just a matter of time before we start reporting industry-matching growth, says Wipro CEO Abidali Neemuchwala",neutral,neutral,-1.771669840218561,negative,-0.981548571910011,negative
2018-01-23 13:04:30.080,237.38,242.55,234.15,235.05,8760800.0,How a digital wave is sweeping Wipro,Wipro COO says digital adoption by customers has reached a tipping point,neutral,positive,-0.981548571910011,negative,-0.5405861981586287,neutral
2018-01-24 18:02:53.353,236.78,238.5,231.6,235.5,11060062.0,Wipro to pick up stake in US-based Harte Hanks for $9.9 million,"The investment will be done is done through Wipro LLC, a wholly owned subsidiary of Wipro.",neutral,neutral,-0.5405861981586287,neutral,-1.163086849477888,negative
2018-01-25 13:02:33.172,236.78,238.5,231.6,235.5,11060062.0,Wipro to pick up minority stake for $10m in Harte Hanks,IT major Wipro on Wednesday announced that it would pick up minority stake in Harte Ha,neutral,neutral,-0.5405861981586287,neutral,-1.163086849477888,negative
2018-02-05 18:02:05.876,218.78,222.04,217.58,221.03,3236445.0,Hold Wipro; target of Rs 337: KRChoksey,"KRChoksey is bullish on Wipro has recommended hold rating on the stock with a target price of Rs 337 in its research report dated January 22, 2018.",neutral,positive,1.0284303866898254,positive,-3.000223563603849,negative
2018-02-06 13:01:34.233,223.65,223.65,216.0,216.94,3327188.0,Wipro earthian awards: Winning teams announced,"The seventh edition of the annual Wipro earthian awards, one of India’s largest sustainability education programme for schools and colleges, received 1200 submissions from across the country. From the",neutral,neutral,-3.000223563603849,negative,-0.087324202592162,neutral
2018-02-07 13:01:09.553,217.58,220.39,215.29,217.39,7058903.0,Wipro makes first management change under Abidali Neemuchwala,"Wipro appoints new leaders to head oil and gas practice and manufacturing and technology vertical, two segments which together bring 39% of company’s total revenue",neutral,neutral,-0.087324202592162,neutral,-1.2964244521337958,negative
2018-02-08 18:00:41.803,216.75,216.53,213.0,213.94,4191301.0,"No layoffs, but top outsourcers see staff strength shrink for first time in 20 years","Cognizant, DXC Technology, Wipro and Tech Mahindra, which together employed 719,471 people on 1 January 2017, saw their workforce fall by 26,677 people to end the year with 692,794 people",negative,negative,-1.2964244521337958,negative,0.3982772194692656,neutral
