symbol,ffmc
ITC,4060832291158.4
BEL,606576411898.66
PFC,600130105259.52
BRITANNIA,581765221001.92
RECLTD,537248793048.0
HAL,517203834000.0
VBL,514489130496.0
CHOLAFIN,502155659308.8
TVSMOTOR,469775640065.48
BANKBARODA,417390984191.45
SUZLON,389814024690.78
INDHOTEL,388277796688.44
FEDERALBNK,381523023717.0
TIINDIA,381242535181.2
SIEMENS,348107549262.5
CANBK,301045844668.14
IDFCFIRSTB,298371426702.32
CGPOWER,291928040724.35
SUPREMEIND,287574860724.3
APLAPOLLO,281821410085.82
PNB,270837949680.13
JINDALSTEL,265765592087.6
POLYCAB,263946327137.45
CUMMINSIND,262161622800.0
ABB,255611828489.06
KPITTECH,245528677320.96
MRF,244393965342.94
BHEL,233644710088.82
UNIONBANK,219074907053.44
CYIENT,183896752361.94
NHPC,176019144888.02
IRFC,173719650258.0
M&MFIN,169969380034.56
IDFC,168654359398.76
ZYDUSLIFE,163597493965.88
APOLLOTYRE,149373202095.42
SONATSOFTW,149260595113.06
POONAWALLA,125142857193.2
GLENMARK,123452800772.34
L&TFH,120411220737.99
EQUITASBNK,119500623065.57
ABCAPITAL,115950930978.46
INDIANB,112812058370.62
ESCORTS,103691568122.4
BANKINDIA,97745779083.02
FINCABLES,84457694489.35
NCC,84427786381.54
PNBHOUSING,81006524976.0
KTKBANK,74866344054.93
RAYMOND,58917751935.0
