symbol,ffmc
INFY,5627297535940.64
ITC,4060832291158.4
TCS,3965972602167.24
HINDUNILVR,2258852397052.82
HCLTECH,1580773689549.76
NTPC,1449166753726.3
TATASTEEL,1108272536461.5
POWERGRID,1081446310261.86
TECHM,816728897617.6
JSWSTEEL,803913645874.91
COALINDIA,796021129813.61
ONGC,782707231359.7
BAJAJ-AUTO,710330492376.04
BEL,606576411898.66
PFC,600130105259.52
BRITANNIA,581765221001.92
RECLTD,537248793048.0
HAL,517203834000.0
HEROMOTOCO,505414666360.5
IOC,454717997170.98
BPCL,427603100897.28
GAIL,393046306459.25
BAJAJHLDNG,344891909879.4
COLPAL,318748940010.52
BSE,313396271085.0
VEDL,305703041095.36
CANBK,301045844668.14
CUMMINSIND,262161622800.0
HINDPETRO,245699666095.73
MPHASIS,220053058500.0
UNIONBANK,219074907053.44
ACC,179071962230.54
NHPC,176019144888.02
IRFC,173719650258.0
MCX,167017108556.55
LICHSGFIN,162763641700.0
MUTHOOTFIN,161582445464.05
SAIL,160976896825.55
PETRONET,160500009416.0
ANGELONE,158375256471.6
KARURVYSYA,132385544862.29
INDUSTOWER,127740011430.0
INDIANB,112812058370.62
BATAINDIA,106044860065.5
REDINGTON,104027521309.12
NATIONALUM,99399430628.33
BANKINDIA,97745779083.02
MANAPPURAM,92200442160.51
MGL,66452009316.17
CHAMBLFERT,55134221738.74
