symbol,ffmc
SUNPHARMA,1337749212523.5
DRREDDY,682379544203.28
CIPLA,632435915897.31
APOLLOHOSP,559297872338.31
MAXHEALTH,508739267410.08
DIVISLAB,472236747590.4
LUPIN,301628603425.0
AUROPHARMA,290152111667.93
ALKEM,242333624610.0
TORNTPHARM,191898564480.0
ZYDUSLIFE,163597493965.88
LAURUSLABS,151938343716.6
IPCALAB,150195434098.18
SYNGENE,123997506600.0
GLENMARK,123452800772.34
BIOCON,111588566400.0
LALPATHLAB,90671973285.36
ABBOTINDIA,77569380090.0
GRANULES,52987618166.78
METROPOLIS,41465499343.0
