symbol,ffmc
ITC,4060832291158.4
BHARTIARTL,2515254615615.6
HINDUNILVR,2258852397052.82
M&M,1541239581372.05
TITAN,1502655757089.0
ASIANPAINT,1493418682750.45
MARUTI,1368681252331.36
NESTLEIND,870869169827.04
BAJAJ-AUTO,710330492376.04
TRENT,659840183659.92
DMART,604923086845.47
BRITANNIA,581765221001.92
TATACONSUM,575053566291.75
APOLLOHOSP,559297872338.31
EICHERMOT,555764265000.0
VBL,514489130496.0
MAXHEALTH,508739267410.08
HEROMOTOCO,505414666360.5
TATAPOWER,468462340306.58
DLF,435902977839.6
NAUKRI,404454759120.0
GODREJCP,393429885190.51
INDHOTEL,388277796688.44
ADANIENSOL,350041603925.4
HAVELLS,332994294820.8
COLPAL,318748940010.52
DABUR,316157079279.2
MCDOWELL-N,314215568496.0
MARICO,276342758908.8
PAGEIND,227401836949.8
