symbol,ffmc
RELIANCE,8430042138154.0
M&M,1541239581372.05
MARUTI,1368681252331.36
SUNPHARMA,1337749212523.5
TATAMOTORS,1289387436156.53
TATASTEEL,1108272536461.5
HINDALCO,812144051412.2
JSWSTEEL,803913645874.91
BAJAJ-AUTO,710330492376.04
DRREDDY,682379544203.28
CIPLA,632435915897.31
BEL,606576411898.66
EICHERMOT,555764265000.0
HAL,517203834000.0
HEROMOTOCO,505414666360.5
DIVISLAB,472236747590.4
TVSMOTOR,469775640065.48
IOC,454717997170.98
BPCL,427603100897.28
PIDILITIND,402817528080.0
TIINDIA,381242535181.2
SRF,354245747789.33
SIEMENS,348107549262.5
HAVELLS,332994294820.8
UPL,307024796436.44
BHARATFORG,306520275877.2
VEDL,305703041095.36
LUPIN,301628603425.0
CGPOWER,291928040724.35
AUROPHARMA,290152111667.93
SUPREMEIND,287574860724.3
APLAPOLLO,281821410085.82
PIIND,273396048636.0
JINDALSTEL,265765592087.6
POLYCAB,263946327137.45
CUMMINSIND,262161622800.0
ABB,255611828489.06
ASHOKLEY,251629043680.48
MRF,244393965342.94
DIXON,234685330461.0
MOTHERSON,233379951845.04
ASTRAL,231652112973.2
PAGEIND,227401836949.8
SONACOMS,226991099187.65
BALKRISIND,203539803007.2
VOLTAS,196803625657.2
TORNTPHARM,191898564480.0
BOSCHLTD,186202197412.0
CROMPTON,185400427112.0
KEI,171424259970.68
SOLARINDS,167361356722.5
ZYDUSLIFE,163597493965.88
TATACHEM,159830267473.03
DEEPAKNTR,156851997150.0
COROMANDEL,145819002784.28
AIAENG,142612399440.0
SUNDRMFAST,134224749546.75
NAVINFLUOR,133087740951.2
EXIDEIND,132717300000.0
CARBORUNIV,131489662150.04
FLUOROCHEM,127777080600.0
SCHAEFFLER,123948810310.0
LINDEINDIA,122382860005.0
KAJARIACER,113575693678.2
SKFINDIA,106883714213.87
BATAINDIA,106044860065.5
ESCORTS,103691568122.4
TIMKEN,97299193365.7
HINDZINC,80188103982.0
HONAUT,78072858470.75
KPRMILL,71832212100.0
RELAXO,65698502454.9
MAZDOCK,62952995475.0
HINDCOPPER,61401190149.9
TEJASNET,59788603047.86
CHAMBLFERT,55134221738.74
TRIDENT,45313237817.64
