symbol,ffmc
RELIANCE,8430042138154.0
LT,4127165163234.72
BHARTIARTL,2515254615615.6
NTPC,1449166753726.3
ULTRACEMCO,1159250208114.4
POWERGRID,1081446310261.86
ADANIPORTS,861593019602.7
GRASIM,784107158274.44
ONGC,782707231359.7
APOLLOHOSP,559297872338.31
TATAPOWER,468462340306.58
IOC,454717997170.98
DLF,435902977839.6
BPCL,427603100897.28
GAIL,393046306459.25
INDHOTEL,388277796688.44
SHREECEM,385075192660.69
AMBUJACEM,383507519529.06
INDIGO,360546860358.5
SIEMENS,348107549262.5
CUMMINSIND,262161622800.0
ASHOKLEY,251629043680.48
HINDPETRO,245699666095.73
MRF,244393965342.94
IRCTC,237728000000.0
CONCOR,236290441097.88
GODREJPROP,233344627171.68
BALKRISIND,203539803007.2
ACC,179071962230.54
PETRONET,160500009416.0
