symbol,ffmc
RKFORGE,76983897379.51
KTKBANK,74866344054.93
TITAGARH,70094733421.1
RELIGARE,69488631776.7
HSCL,68190213711.3
RPOWER,67029180414.53
JPPOWER,66677300927.88
UJJIVAN,64224738551.84
TMB,59857483017.82
SOUTHBANK,56042558091.53
RELINFRA,54773060194.38
HBLPOWER,53284768677.16
KIRLOSENG,51781598801.46
ASTRAMICRO,51038638500.48
IONEXCHANG,48458641336.0
VOLTAMP,46925703290.9
GOKEX,46787775501.48
ANANDRATHI,45142098760.5
PTC,44803819466.56
NEWGEN,43869050578.08
GHCL,43419843290.5
NEULANDLAB,42287314144.0
IBREALEST,41661333057.87
EDELWEISS,41107199373.01
ELECON,40126073482.95
J&KBANK,39825437433.21
HCC,39401525016.13
RATEGAIN,38723990469.55
STAR,38647086227.14
JWL,38615420917.5
MAHSEAMLES,38548904815.36
ELECTCAST,38242631066.05
ARVIND,37462427087.75
JKTYRE,37269505996.8
SPLPETRO,35445040801.63
GREENLAM,34381152844.5
GATEWAY,34313040437.3
DCBBANK,33974074524.1
GMDCLTD,33625956000.0
ACE,33312452332.24
CHENNPETRO,32879637120.0
MARKSANS,32872498134.84
BECTORFOOD,32855440976.4
NAVA,32750417532.12
VESUVIUS,32682574663.2
JPASSOCIAT,32117156651.58
CMSINFO,32065958109.12
WABAG,31934753682.79
INOXWIND,31854294617.09
TECHNOE,31123312675.78
ANANTRAJ,30874713257.44
GARFIBRES,30802621351.95
LTFOODS,29697071770.88
GET&D,29496560832.0
PAISALO,29373222497.84
ARVINDFASN,29071826648.1
ASTRAZEN,29056250000.0
NOCIL,28829290350.74
ROLEXRINGS,28615402584.0
PGEL,28269400754.48
ORIENTCEM,27933855426.0
DISHTV,27707221100.59
LGBBROSLTD,26760402234.37
POWERMECH,26629454262.84
ITDCEM,26590398870.82
SCI,26477878924.44
GABRIEL,25973409942.92
PARADEEP,25810945871.04
PRICOLLTD,25798656681.66
SANSERA,25727981348.52
RAILTEL,25662395492.92
ISGEC,25467460495.07
AHLUCONT,25212777832.8
CAPLIPOINT,25194101892.96
CARERATING,24790442654.25
GRSE,24584806584.0
VRLLOG,24435198763.2
WOCKPHARMA,24371161621.13
PDSL,24360816792.77
SARDAEN,24356593382.4
SCHNEIDER,24273841633.2
MANINFRA,24257501462.7
KIRLOSBROS,24221628244.22
KIRLPNU,24037237888.0
RTNPOWER,23467362608.2
ESABINDIA,23452805272.0
AARTIPHARM,23272486976.38
ICIL,23192163214.0
SUDARSCHEM,22662232560.0
GRAVITA,22577779686.03
BAJAJHIND,22452155700.53
PTCIL,22333375469.61
JISLJALEQS,22076489580.08
MOIL,22071023411.12
AGI,21743657549.93
DBREALTY,21348016009.32
LLOYDSENGG,21217730881.2
TIMETECHNO,20826641961.22
GREENPANEL,20800426622.09
TI,20767612629.55
WELENT,20335203309.96
FUSION,19622879422.4
SURYAROSNI,19614435127.0
MIDHANI,19571035120.0
JKIL,19405705327.3
SUBEXLTD,19221624382.87
BAJAJCON,19166509758.0
WSTCSTPAPR,19084105428.61
MOLDTKPAC,18867716710.92
ASHOKA,18853371253.72
TDPOWERSYS,18568625008.9
CHOICEIN,18548638752.0
DODLA,18490342038.0
SIS,18477088492.35
TCI,18334998555.5
SULA,18002440865.7
IFCI,17987460160.18
SPANDANA,17973805901.74
THOMASCOOK,17825071396.99
HINDWAREAP,17524646148.0
NESCO,17506481661.6
CIGNITITEC,17463372333.29
TEGA,17290038812.56
DBL,17271643449.38
GODREJAGRO,17145208890.4
AMIORG,16891297396.0
EMIL,16852765273.12
SHAREINDIA,16823568910.96
CARTRADE,16486802502.3
ADVENZYMES,16179825411.75
TCIEXP,16054901118.0
ETHOSLTD,15951456658.8
SHILPAMED,15936828472.8
HEIDELBERG,15911639939.94
HINDOILEXP,15911564638.2
JAICORPLTD,15450149917.8
RAMKY,15444946951.2
TIIL,15332666494.25
DHANI,15291965143.65
LANDMARK,15261354051.02
HGS,15004838805.04
SUNFLAG,14903247252.36
JTLIND,14731781048.32
DATAMATICS,14681382744.6
STARCEMENT,14674223713.26
HCG,14661930542.49
EVEREADY,14575976247.8
INDOCO,14559756090.0
VSTTILLERS,14525120054.72
NRBBEARING,14482659505.0
HNDFDS,14420128279.07
BOMDYEING,14398167483.7
WONDERLA,14392252353.6
UNICHEMLAB,14328978240.0
BARBEQUE,14309431781.54
NEOGEN,14242779869.08
SOMANYCERA,14086571083.2
LAOPALA,13888320000.0
GREAVESCOT,13886590144.46
HGINFRA,13816275532.0
SEQUENT,13792549822.77
FCL,13764367379.7
APOLLOPIPE,13489574658.0
TATAMETALI,13324441900.0
KIRIINDUS,13307967166.35
KSCL,13279812654.46
DBCORP,13175834583.17
CARYSIL,13090464388.8
SBFC,12993298163.56
CAMLINFINE,12962341700.26
MASFIN,12830712029.3
RAJRATAN,12653148620.0
TIRUMALCHM,12541827983.16
HEMIPROP,12435262500.0
KKCL,12401452229.4
SBCL,12321279161.1
MSTCLTD,12270720000.0
BALMLAWRIE,12216514758.24
STYLAMIND,12193934267.31
KRSNAA,12174424440.75
HIL,12102388805.1
GREENPLY,12096920631.0
TIPSINDLTD,12056046136.25
MAHLOG,12017358854.42
GLOBUSSPR,11993522289.1
SHANTIGEAR,11991454982.43
NAVNETEDUL,11889764793.36
TINPLATE,11526523634.75
APCOTEXIND,11117114772.8
PARAS,10750366814.65
HIKAL,10544063636.25
CONFIPET,10501116281.78
DCAL,10291399138.9
IOLCP,10279920455.22
BEPL,10213151198.4
NFL,10210162950.0
UFLEX,10129827256.08
AVALON,10110527144.64
HERITGFOOD,10078202376.0
STYRENIX,10007275762.5
DCXINDIA,9847243497.17
DREAMFOLKS,9816687088.56
MAYURUNIQ,9810220320.0
PRIVISCL,9784426598.88
AUTOAXLES,9641440050.0
THYROCARE,9608920006.22
KOLTEPATIL,9593656526.03
IFBIND,9551799672.05
MOL,9549498623.05
RESPONIND,9512768628.0
DWARKESH,9376095095.71
TATVA,9356822000.0
TIDEWATER,9310688640.0
PSPPROJECT,9302400000.0
EMUDHRA,9232838594.46
GANESHHOUC,9230950863.0
TVSSCS,9064460892.48
FIEMIND,9057443815.04
HARSHA,9042955729.13
HATHWAY,9027532950.0
SAKSOFT,8990155980.0
VENKEYS,8745192791.42
MAITHANALL,8602463025.0
SSWL,8457973328.0
JTEKTINDIA,8393503461.71
JINDWORLD,8333828344.4
COSMOFIRST,8237243395.58
INDIAGLYCO,8235759000.0
UNIPARTS,8117306376.3
IMFA,7811907099.53
SIYSIL,7781877493.76
TARSONS,7761200209.47
JCHAC,7748042395.8
ACLGATI,7700282550.13
ASTEC,7642295854.38
PRUDENT,7577111889.9
TCNSBRANDS,7544223063.3
GUFICBIO,7530439590.58
DALMIASUG,7434315450.2
OPTIEMUS,7261371928.83
SUPRIYA,7100514547.2
DIVGIITTS,7068891872.39
JINDALPOLY,7011299381.63
DEN,6764648002.88
DOLLAR,6479079400.44
RUPA,5750102835.36
FINOPB,5504626077.3
IKIO,5181748282.75
ACCELYA,5112244392.5
