symbol,ffmc
PFC,600130105259.52
RECLTD,537248793048.0
COFORGE,391575468212.28
INDHOTEL,388277796688.44
FEDERALBNK,381523023717.0
PERSISTENT,366156846000.0
AUBANK,363744472787.14
BHARATFORG,306520275877.2
HDFCAMC,304122901880.0
LUPIN,301628603425.0
IDFCFIRSTB,298371426702.32
AUROPHARMA,290152111667.93
POLYCAB,263946327137.45
CUMMINSIND,262161622800.0
ZEEL,255559638962.88
ASHOKLEY,251629043680.48
HINDPETRO,245699666095.73
MRF,244393965342.94
ALKEM,242333624610.0
CONCOR,236290441097.88
GODREJPROP,233344627171.68
ASTRAL,231652112973.2
MFSL,228811093173.0
PAGEIND,227401836949.8
NMDC,222301106751.75
MPHASIS,220053058500.0
JUBLFOOD,216231272040.0
TATACOMM,212433300000.0
BALKRISIND,203539803007.2
VOLTAS,196803625657.2
BANDHANBNK,187255094852.27
DALBHARAT,186369829889.88
ACC,179071962230.54
OBEROIRLTY,172318372159.04
M&MFIN,169969380034.56
LICHSGFIN,162763641700.0
SAIL,160976896825.55
PETRONET,160500009416.0
LTTS,144500153758.06
IGL,140175160200.0
INDUSTOWER,127740011430.0
UBL,122689806049.28
ABCAPITAL,115950930978.46
BIOCON,111588566400.0
IDEA,109042503819.2
BATAINDIA,106044860065.5
ESCORTS,103691568122.4
OFSS,102010846672.61
ABBOTINDIA,77569380090.0
GUJGASLTD,77314815914.06
