symbol,ffmc
COFORGE,391575468212.28
TIINDIA,381242535181.2
PERSISTENT,366156846000.0
AUBANK,363744472787.14
TATAELXSI,315442623888.0
SUPREMEIND,287574860724.3
APLAPOLLO,281821410085.82
POLYCAB,263946327137.45
ASTRAL,231652112973.2
MPHASIS,220053058500.0
BALKRISIND,203539803007.2
VOLTAS,196803625657.2
CROMPTON,185400427112.0
SOLARINDS,167361356722.5
PETRONET,160500009416.0
DEEPAKNTR,156851997150.0
IPCALAB,150195434098.18
COROMANDEL,145819002784.28
LTTS,144500153758.06
AIAENG,142612399440.0
IGL,140175160200.0
NAVINFLUOR,133087740951.2
SCHAEFFLER,123948810310.0
KAJARIACER,113575693678.2
ATUL,111330901198.35
SKFINDIA,106883714213.87
CRISIL,102783105909.0
GRINDWELL,102072768000.0
OFSS,102010846672.61
EMAMILTD,97721437500.0
LALPATHLAB,90671973285.36
3MINDIA,87867546000.0
HINDZINC,80188103982.0
AJANTPHARM,80149217792.81
HONAUT,78072858470.75
ABBOTINDIA,77569380090.0
GUJGASLTD,77314815914.06
BAYERCROP,75804246038.64
NAM-INDIA,72901751104.0
GLAXO,72095819949.72
KPRMILL,71832212100.0
KANSAINER,67560323398.5
RELAXO,65698502454.9
PFIZER,63504485437.14
ISEC,59060490755.0
SUNTV,57330445306.05
VINATIORGA,44016412912.5
WHIRLPOOL,42803383646.25
FINEORG,34262523180.0
ALKYLAMINE,31869957306.78
