symbol,ffmc
HINDUNILVR,2258852397052.82
MARUTI,1368681252331.36
NESTLEIND,870869169827.04
BRITANNIA,581765221001.92
AMBUJACEM,383507519529.06
SIEMENS,348107549262.5
COLPAL,318748940010.52
MCDOWELL-N,314215568496.0
VEDL,305703041095.36
CUMMINSIND,262161622800.0
ABB,255611828489.06
ASHOKLEY,251629043680.48
MPHASIS,220053058500.0
BOSCHLTD,186202197412.0
PGHH,163989852931.52
GLAND,125621450710.56
SCHAEFFLER,123948810310.0
UBL,122689806049.28
LINDEINDIA,122382860005.0
SKFINDIA,106883714213.87
BATAINDIA,106044860065.5
CRISIL,102783105909.0
GRINDWELL,102072768000.0
OFSS,102010846672.61
TIMKEN,97299193365.7
3MINDIA,87867546000.0
HONAUT,78072858470.75
ABBOTINDIA,77569380090.0
KANSAINER,67560323398.5
PFIZER,63504485437.14
