symbol,ffmc
TRENT,659840183659.92
BEL,606576411898.66
DMART,604923086845.47
SHRIRAMFIN,576644039276.5
ZOMATO,555791262962.05
ADANIGREEN,552684771898.98
HAL,517203834000.0
VBL,514489130496.0
CHOLAFIN,502155659308.8
TVSMOTOR,469775640065.48
TATAPOWER,468462340306.58
IOC,454717997170.98
DLF,435902977839.6
BANKBARODA,417390984191.45
NAUKRI,404454759120.0
PIDILITIND,402817528080.0
GODREJCP,393429885190.51
GAIL,393046306459.25
SHREECEM,385075192660.69
AMBUJACEM,383507519529.06
ICICIGI,371091756282.0
INDIGO,360546860358.5
SRF,354245747789.33
ADANIENSOL,350041603925.4
SIEMENS,348107549262.5
BAJAJHLDNG,344891909879.4
HAVELLS,332994294820.8
COLPAL,318748940010.52
DABUR,316157079279.2
MCDOWELL-N,314215568496.0
VEDL,305703041095.36
CANBK,301045844668.14
ATGL,287284141305.64
MARICO,276342758908.8
PIIND,273396048636.0
PNB,270837949680.13
JINDALSTEL,265765592087.6
ABB,255611828489.06
IRCTC,237728000000.0
MOTHERSON,233379951845.04
SBICARD,229046744691.51
ICICIPRULI,202375944246.29
LICI,201008426937.78
TORNTPHARM,191898564480.0
BOSCHLTD,186202197412.0
PGHH,163989852931.52
ZYDUSLIFE,163597493965.88
BERGEPAINT,163385490597.12
MUTHOOTFIN,161582445464.05
AWL,57565364772.66
