symbol,ffmc
SUZLON,389814024690.78
CYIENT,183896752361.94
RBLBANK,173700912280.9
KEI,171424259970.68
IDFC,168654359398.76
CDSL,167879250000.0
ANGELONE,158375256471.6
SONATSOFTW,149260595113.06
EXIDEIND,132717300000.0
RADICO,124902689927.24
PVRINOX,123675528916.08
GLENMARK,123452800772.34
BSOFT,116494863764.97
CUB,114983183680.38
IEX,114676144184.68
REDINGTON,104027521309.12
JBCHEPHARM,101274845312.0
NATIONALUM,99399430628.33
CAMS,95004802538.4
MANAPPURAM,92200442160.51
FINCABLES,84457694489.35
INDIAMART,83670911460.0
MEDANTA,81848877319.44
PNBHOUSING,81006524976.0
TANLA,77755851220.38
PPLPHARMA,76586790193.83
CESC,76070510266.41
ARE&M,75650806500.0
KALYANKJIL,71971867198.7
MGL,66452009316.17
GNFC,66122610389.78
HFCL,65862140314.76
HINDCOPPER,61401190149.9
TEJASNET,59788603047.86
IRB,59278824000.0
RAYMOND,58917751935.0
CIEINDIA,58148665146.56
CHAMBLFERT,55134221738.74
ROUTE,42423244338.72
WELSPUNLIV,42176488205.6
RENUKA,36856928909.27
IDBI,35993666280.81
IOB,33646293815.68
UTIAMC,33493363466.24
BIKAJI,30032426424.0
JBMA,25194621010.48
UCOBANK,24330374888.16
ANURAS,23502174259.2
MRPL,22696154162.15
CAMPUS,21738484475.99
