symbol,ffmc
HDFCBANK,12443346805896.07
RELIANCE,8430042138154.0
ICICIBANK,7252268874899.4
LT,4127165163234.72
ITC,4060832291158.4
TCS,3965972602167.24
KOTAKBANK,2719460179940.66
HINDUNILVR,2258852397052.82
HCLTECH,1580773689549.76
ASIANPAINT,1493418682750.45
NTPC,1449166753726.3
SUNPHARMA,1337749212523.5
ULTRACEMCO,1159250208114.4
POWERGRID,1081446310261.86
NESTLEIND,870869169827.04
BAJAJ-AUTO,710330492376.04
DRREDDY,682379544203.28
SBILIFE,655330085374.86
CIPLA,632435915897.31
WIPRO,628755120468.11
BRITANNIA,581765221001.92
HEROMOTOCO,505414666360.5
IOC,454717997170.98
PIDILITIND,402817528080.0
COLPAL,318748940010.52
DABUR,316157079279.2
MARICO,276342758908.8
TORNTPHARM,191898564480.0
BOSCHLTD,186202197412.0
BERGEPAINT,163385490597.12
