symbol,ffmc
ITC,4060832291158.4
AXISBANK,3105215993169.0
BAJAJ-AUTO,710330492376.04
TRENT,659840183659.92
BEL,606576411898.66
PFC,600130105259.52
RECLTD,537248793048.0
HAL,517203834000.0
CHOLAFIN,502155659308.8
TVSMOTOR,469775640065.48
BANKBARODA,417390984191.45
GODREJCP,393429885190.51
INDHOTEL,388277796688.44
INDIGO,360546860358.5
SIEMENS,348107549262.5
IDFCFIRSTB,298371426702.32
AUROPHARMA,290152111667.93
PNB,270837949680.13
POLYCAB,263946327137.45
CUMMINSIND,262161622800.0
ABB,255611828489.06
ASTRAL,231652112973.2
TORNTPHARM,191898564480.0
DALBHARAT,186369829889.88
M&MFIN,169969380034.56
ZYDUSLIFE,163597493965.88
APOLLOTYRE,149373202095.42
RAMCOCEM,132191409067.2
SYNGENE,123997506600.0
ABCAPITAL,115950930978.46
