date,open,high,low,close,volume
2017-07-03,1452.0,1472.0,1441.25,1448.0,72205
2017-07-04,1442.0,1472.0,1442.0,1451.0,20036
2017-07-05,1450.6,1454.55,1430.0,1434.95,49585
2017-07-06,1439.9,1459.75,1436.05,1444.1,47899
2017-07-07,1450.1,1470.0,1446.0,1456.2,37068
2017-07-10,1465.65,1475.0,1450.0,1450.5,17179875523
2017-07-11,1468.75,1494.0,1452.15,1460.0,159263
2017-07-12,1468.5,1479.85,1459.7,1463.0,587921
2017-07-13,1490.0,1504.9,1469.9,1475.0,329580
2017-07-14,1488.85,1488.85,1461.3,1464.0,28778
2017-07-17,1475.0,1475.0,1430.0,1441.1,73963
2017-07-18,1450.0,1450.0,1362.3,1432.0,100268
2017-07-19,1434.95,1461.85,1430.0,1453.0,126637
2017-07-20,1463.0,1549.0,1440.0,1453.1,970766
2017-07-21,1456.05,1484.0,1445.6,1461.55,158163
2017-07-24,1460.0,1464.85,1432.0,1448.0,64756
2017-07-25,1449.8,1449.8,1425.5,1430.0,67512
2017-07-26,1432.8,1470.0,1432.25,1439.0,97851
2017-07-27,1441.0,1446.8,1424.0,1430.0,43456
2017-07-28,1430.0,1443.95,1410.0,1417.55,38269
2017-07-31,1430.0,1432.0,1415.05,1421.85,20405
2017-08-01,1430.0,1430.2,1415.0,1423.0,22682
2017-08-02,1431.1,1434.0,1410.6,1415.0,26190
2017-08-03,1415.15,1429.65,1387.0,1404.0,57688
2017-08-04,1394.0,1438.0,1383.0,1430.0,59119
2017-08-07,1440.0,1440.0,1400.05,1409.95,26667
2017-08-08,1409.95,1418.0,1390.1,1390.15,29162
2017-08-09,1391.0,1399.0,1368.75,1381.3,37370
2017-08-10,1380.0,1383.95,1333.0,1340.0,47541
2017-08-11,1332.3,1350.0,1302.0,1331.55,48011
2017-08-14,1350.0,1364.3,1340.0,1349.1,58770
2017-08-16,1351.1,1375.0,1331.35,1351.0,47375
2017-08-17,1375.0,1375.0,1351.35,1364.0,40194
2017-08-18,1367.95,1378.0,1331.5,1375.0,47408
2017-08-21,1365.0,1375.85,1346.5,1349.0,35055
2017-08-22,1356.0,1363.6,1330.0,1356.05,61582
2017-08-23,1351.0,1364.95,1346.0,1347.05,44335
2017-08-24,1350.0,1355.0,1333.0,1349.0,59097
2017-08-28,1350.0,1374.0,1350.0,1360.2,42262
2017-08-29,1356.0,1364.0,1346.3,1351.0,9914
2017-08-30,1355.0,1363.95,1340.0,1341.6,21823
2017-08-31,1356.0,1357.0,1335.0,1336.0,67805
2017-09-01,1360.0,1374.0,1325.2,1330.0,78494
2017-09-04,1333.0,1344.2,1298.8,1316.0,80635
2017-09-05,1317.2,1365.0,1312.0,1335.0,102261
2017-09-06,1321.15,1341.5,1310.0,1335.0,72224
2017-09-07,1331.0,1364.0,1331.0,1346.0,103199
2017-09-08,1354.95,1372.5,1330.0,1340.0,200924
2017-09-11,1341.25,1372.0,1341.25,1366.0,176946
2017-09-12,1370.75,1424.4,1370.2,1392.05,155815
2017-09-13,1392.0,1406.85,1375.55,1390.0,31602
2017-09-14,1385.0,1434.8,1380.0,1431.0,193376
2017-09-15,1425.0,1438.8,1401.75,1425.0,83295
2017-09-18,1425.6,1442.0,1412.05,1429.0,38758
