date,open,high,low,close,volume
2017-07-03,132.4,138.85,132.0,136.2,9576916
2017-07-04,136.75,137.45,132.95,133.5,3722672
2017-07-05,134.1,136.0,132.5,135.2,4419729
2017-07-06,135.0,136.0,133.85,134.65,3031588
2017-07-07,134.45,135.95,133.6,133.7,1882528
2017-07-10,134.95,135.9,133.7,134.45,25770402092
2017-07-11,134.85,135.45,132.8,133.0,2456056
2017-07-12,133.65,141.85,133.2,141.5,15414111
2017-07-13,142.3,144.35,138.15,140.25,10852527
2017-07-14,141.0,141.0,137.75,139.2,4674110
2017-07-17,139.5,140.8,138.5,139.0,2406675
2017-07-18,138.3,140.35,137.2,137.5,2728507
2017-07-19,138.0,140.65,137.6,139.1,2978571
2017-07-20,139.5,142.0,138.65,140.4,3898949
2017-07-21,140.45,141.8,137.9,140.8,3529872
2017-07-24,141.2,142.7,139.55,139.6,3411989
2017-07-25,140.5,140.95,138.3,138.95,2862154
2017-07-26,139.7,142.3,138.9,141.15,3403662
2017-07-27,140.85,141.85,137.5,138.1,4146865
2017-07-28,138.35,139.35,136.5,139.0,1806129
2017-07-31,138.7,139.75,137.05,138.05,1726407
2017-08-01,138.0,140.8,137.9,140.0,2628523
2017-08-02,140.7,143.85,140.55,141.8,4370491
2017-08-03,142.15,142.6,137.1,137.5,2482241
2017-08-04,137.5,139.25,136.55,137.7,2302524
2017-08-07,138.4,140.9,138.0,140.2,2238031
2017-08-08,140.1,141.15,135.55,137.7,2856048
2017-08-09,137.0,137.0,120.65,122.25,5428199
2017-08-10,121.95,123.25,113.25,116.6,5123909
2017-08-11,112.0,115.8,106.95,114.0,5161477
2017-08-14,115.4,117.5,111.8,116.15,2875799
2017-08-16,112.55,116.25,109.25,114.65,6919991
2017-08-17,115.0,117.45,112.3,113.0,3737677
2017-08-18,111.5,113.5,110.6,112.1,3061180
2017-08-21,113.2,113.85,106.75,107.5,2763991
2017-08-22,108.7,109.2,104.8,106.0,4029429
2017-08-23,107.2,110.5,107.0,109.9,4668452
2017-08-24,109.9,110.9,108.15,108.75,4384497
2017-08-28,115.8,121.0,115.1,119.3,16173893
2017-08-29,117.05,122.7,117.05,118.75,9795400
2017-08-30,120.65,131.7,120.55,130.85,16418675
2017-08-31,133.0,133.8,128.35,131.6,23596578
2017-09-01,132.35,138.75,131.35,136.2,17759064
2017-09-04,136.4,136.4,128.0,130.5,9980912
2017-09-05,131.5,135.1,131.0,132.95,6445271
2017-09-06,130.3,132.0,128.5,130.5,6947009
2017-09-07,131.3,133.25,129.7,130.3,4227112
2017-09-08,130.95,131.7,126.35,127.25,3787803
2017-09-11,129.15,132.3,128.2,131.35,3772088
2017-09-12,131.75,134.9,130.4,133.2,5715535
2017-09-13,133.0,134.5,130.3,130.65,3080234
2017-09-14,131.35,133.3,129.7,132.35,3511995
2017-09-15,130.5,131.75,129.2,130.75,3931063
2017-09-18,131.65,132.85,130.1,131.2,2671764
2017-09-19,130.75,132.2,130.1,130.85,2321292
2017-09-20,131.3,131.55,129.1,129.35,2449278
2017-09-21,129.4,130.9,125.1,127.6,3038120
2017-09-22,126.85,126.85,121.25,121.75,2748374
2017-09-25,121.25,121.25,113.75,117.0,3637596
2017-09-26,115.6,120.15,114.8,118.55,4266480
2017-09-27,119.85,120.8,113.2,114.8,3695871
2017-09-28,114.6,116.7,113.4,115.05,3237184
2017-09-29,115.8,117.7,115.45,115.9,2662751
2017-10-03,116.55,116.55,110.4,112.4,5752325
2017-10-04,112.45,115.95,111.95,115.5,6463214
2017-10-05,116.8,123.1,116.4,122.1,10784999
2017-10-06,122.95,125.0,122.0,122.85,5986743
2017-10-09,121.95,121.95,117.1,119.3,7487354
2017-10-10,119.8,122.0,119.65,120.2,3753403
2017-10-11,121.05,123.4,117.6,118.4,4260276
2017-10-12,120.1,120.7,118.5,119.9,2137142
2017-10-13,120.7,121.15,119.55,119.6,1919551
2017-10-16,120.7,120.95,116.5,117.4,2668772
2017-10-17,117.8,118.9,117.1,118.1,1644430
2017-10-18,118.1,123.55,116.85,122.6,5690145264
2017-10-23,124.6,129.8,124.6,126.95,3729256946
2017-10-24,127.25,128.35,125.5,126.05,2508989
2017-10-25,127.1,129.0,124.05,127.3,3199473
2017-10-26,127.9,131.75,126.15,131.3,4096809
