date,open,high,low,close,volume
2017-07-03,1121.0,1138.9,1115.0,1131.2,219584
2017-07-04,1128.0,1132.85,1112.1,1118.2,204924
2017-07-05,1119.8,1124.0,1110.95,1113.0,222879
2017-07-06,1114.0,1114.4,1103.45,1106.5,252809
2017-07-07,1105.0,1106.05,1083.1,1088.0,1134487
2017-07-10,1090.0,1103.7,1055.1,1096.1,21474908792
2017-07-11,1096.1,1101.0,1077.0,1077.0,474725
2017-07-12,1070.0,1084.5,1070.0,1077.0,559120
2017-07-13,1082.05,1087.35,1072.55,1076.0,448473
2017-07-14,1076.0,1076.85,1065.0,1068.0,201958
2017-07-17,1069.4,1075.5,1059.6,1073.0,139958
2017-07-18,1070.0,1079.75,1062.0,1069.05,271102
2017-07-19,1071.3,1076.2,1068.1,1070.0,220618
2017-07-20,1072.1,1074.0,1061.5,1065.3,229346
2017-07-21,1065.0,1073.9,1060.2,1069.5,363886
2017-07-24,1070.0,1070.95,1061.5,1070.0,309789
2017-07-25,1070.0,1073.95,1064.75,1065.0,239224
2017-07-26,1062.5,1071.65,1060.05,1065.5,214354
2017-07-27,1070.0,1084.4,1062.6,1084.4,860492
2017-07-28,1075.0,1082.0,1063.2,1073.0,104280
2017-07-31,1073.0,1087.0,1071.05,1081.0,187823
2017-08-01,1080.0,1085.95,1067.4,1068.0,119040
2017-08-02,1070.0,1070.7,1030.0,1040.35,420827
2017-08-03,1038.55,1098.9,1027.5,1088.0,1575819
2017-08-04,1070.0,1084.75,1068.35,1073.55,567467
2017-08-07,1078.0,1078.0,1066.0,1072.0,119620
2017-08-08,1075.2,1075.2,1059.3,1070.0,162684
2017-08-09,1070.0,1070.0,1046.55,1050.0,215221
2017-08-10,1050.0,1056.95,1036.0,1053.25,186720
2017-08-11,1044.85,1059.0,1039.65,1045.0,124579
2017-08-14,1047.85,1063.0,1040.0,1047.85,110279
2017-08-16,1055.9,1070.65,1047.95,1069.0,158545
2017-08-17,1066.7,1067.95,1055.1,1059.4,95137
2017-08-18,1057.45,1077.5,1051.0,1073.35,1041232
2017-08-21,1069.8,1098.0,1069.7,1082.0,277213
2017-08-22,1091.5,1096.0,1079.85,1085.1,315858
2017-08-23,1085.15,1093.5,1083.15,1085.05,140717
2017-08-24,1085.0,1098.0,1085.0,1096.0,290309
2017-08-28,1094.0,1108.4,1087.5,1100.0,440183
2017-08-29,1101.0,1101.55,1086.6,1095.5,130034
2017-08-30,1099.3,1114.75,1096.85,1107.5,180206
2017-08-31,1106.0,1119.0,1102.95,1118.0,246637
2017-09-01,1115.0,1133.0,1113.0,1122.8,380462
2017-09-04,1120.0,1126.55,1105.0,1113.1,252948
2017-09-05,1113.1,1120.25,1105.25,1105.25,109747
2017-09-06,1105.5,1119.45,1105.5,1116.0,188128
2017-09-07,1115.0,1149.0,1115.0,1144.5,458106
2017-09-08,1146.2,1165.4,1134.35,1147.95,524798
