date,open,high,low,close,volume
2017-07-03,90.51,91.92,89.78,91.8,3078558
2017-07-04,91.95,92.24,90.04,91.5,3508899
2017-07-05,92.0,92.0,90.38,90.78,2659119
2017-07-06,90.76,91.09,89.38,90.26,4157325
2017-07-07,90.19,90.22,88.88,89.75,4662879
2017-07-10,92.25,98.33,89.5,91.5,48318928674
2017-07-11,91.99,92.6,90.42,90.97,2399463
2017-07-12,91.03,93.19,90.81,92.15,8009409
2017-07-13,92.97,93.38,91.97,93.01,4309368
2017-07-14,93.01,98.09,92.88,97.5,13194477
2017-07-17,96.81,97.6,95.34,95.75,7369737
2017-07-18,95.97,96.17,93.84,94.5,7238103
2017-07-19,95.38,96.0,94.58,94.58,4913697
2017-07-20,94.15,95.25,94.1,94.65,5661738
2017-07-21,94.79,96.0,93.9,94.25,5469453
2017-07-24,94.45,94.96,93.4,94.06,7504095
2017-07-25,94.47,95.25,93.05,93.49,6599673
2017-07-26,93.75,96.19,93.12,93.88,7419852
2017-07-27,94.35,95.85,94.12,94.64,8276604
2017-07-28,94.92,96.56,94.55,95.19,5602059
2017-07-31,95.36,96.5,93.89,94.09,4306746
2017-08-01,94.3,95.05,93.16,93.33,4990803
2017-08-02,93.62,93.88,92.03,92.03,2081988
2017-08-03,92.5,93.85,92.38,92.5,2995959
2017-08-04,92.79,96.0,92.5,95.15,7187532
2017-08-07,95.15,96.19,94.8,95.0,7281150
2017-08-08,95.99,97.38,95.38,96.46,7266378
2017-08-09,97.17,97.3,95.05,95.15,3954837
2017-08-10,95.35,95.56,90.03,92.0,5939649
2017-08-11,88.99,93.36,88.99,92.38,8613231
2017-08-14,93.46,93.97,92.51,93.33,5673420
2017-08-16,93.88,93.9,92.45,92.96,6261090
2017-08-17,93.45,94.45,92.51,93.88,3259905
2017-08-18,93.38,96.17,93.25,94.95,5660337
2017-08-21,95.46,96.6,93.0,93.75,7439376
2017-08-22,94.55,95.0,93.31,95.0,7632228
2017-08-23,95.22,97.04,94.62,96.51,7346289
2017-08-24,96.75,97.61,95.55,95.88,7380564
2017-08-28,95.88,96.92,95.38,95.5,5340342
2017-08-29,95.45,96.33,94.49,94.75,2048559
2017-08-30,95.4,96.03,95.05,95.19,2955867
2017-08-31,94.7,95.8,93.06,94.75,9705495
2017-09-01,94.62,97.47,94.62,95.88,7405497
2017-09-04,95.85,96.64,94.65,94.96,2792577
2017-09-05,95.25,96.06,94.49,94.5,3379272
2017-09-06,94.5,96.95,93.83,95.54,7438623
2017-09-07,96.04,96.5,95.12,95.38,4217232
2017-09-08,95.56,96.59,94.42,94.92,4250157
2017-09-11,96.47,100.2,96.26,98.64,20575854
2017-09-12,99.45,102.88,98.2,102.5,17982408
2017-09-13,102.75,103.75,100.05,101.75,10418766
2017-09-14,102.85,103.5,99.25,100.24,8103252
2017-09-15,99.72,101.29,99.26,99.53,8629404
2017-09-18,101.5,101.83,100.0,100.25,3449310
2017-09-19,103.25,105.72,102.36,105.5,20041392
2017-09-20,105.96,106.59,103.92,104.29,14237286
2017-09-21,104.33,104.71,101.55,101.66,10850349
2017-09-22,101.55,101.66,98.94,100.0,6722058
2017-09-25,99.71,100.97,98.88,99.38,7269750
2017-09-26,99.75,101.14,99.12,99.5,7234311
2017-09-27,100.01,101.88,99.3,99.75,6382728
2017-09-28,99.62,100.39,96.79,100.0,12853272
2017-09-29,105.51,107.16,104.31,104.71,33993927
2017-10-03,106.25,109.56,105.55,109.08,21427947
2017-10-04,109.49,109.99,108.5,109.14,10078467
2017-10-05,109.05,109.72,107.44,107.81,7792725
2017-10-06,108.21,114.25,108.21,114.0,16368036
2017-10-09,113.26,113.72,111.1,111.36,7572096
2017-10-10,112.22,112.22,110.79,111.0,5180649
2017-10-11,112.21,114.31,110.0,110.9,9124065
2017-10-12,112.99,113.49,111.01,111.5,9665640
2017-10-13,111.56,111.99,109.03,109.15,8034669
2017-10-16,109.08,111.11,108.39,109.5,8895144
2017-10-17,109.72,111.03,109.08,109.35,6998814
2017-10-18,109.28,110.65,108.51,109.12,5793570
2017-10-23,108.06,110.45,108.06,108.79,19170397149
2017-10-24,109.12,111.62,108.94,111.46,9518541
2017-10-25,111.97,115.31,111.5,114.97,9699228
2017-10-26,115.51,117.47,115.26,116.75,23322267
