date,open,high,low,close,volume
2017-07-03,638.67,662.0,634.23,658.0,284855
2017-07-04,662.33,662.67,650.9,654.0,145840
2017-07-05,663.27,663.27,650.03,653.33,215507
2017-07-06,657.9,658.0,644.93,646.57,215697
2017-07-07,650.3,652.0,642.67,648.0,254474
2017-07-10,652.0,652.6,646.33,649.97,8589972792
2017-07-11,655.33,655.33,642.67,646.0,271622
2017-07-12,649.77,650.03,643.73,646.67,316503
2017-07-13,650.03,657.97,650.03,653.27,255041
2017-07-14,656.0,660.0,650.8,653.3,176853
2017-07-17,650.33,654.9,641.57,643.97,347087
2017-07-18,643.13,646.67,627.77,636.47,401864
2017-07-19,640.57,642.33,633.77,641.47,672828
2017-07-20,640.0,644.33,631.5,637.4,104596
2017-07-21,638.6,646.7,635.13,642.53,231073
2017-07-24,643.33,664.0,641.13,662.7,368642
2017-07-25,666.63,673.03,662.7,666.7,528781
2017-07-26,670.63,689.03,668.67,685.33,518711
2017-07-27,688.67,720.93,683.33,715.0,950830
2017-07-28,713.33,713.33,697.8,702.4,1189092
2017-07-31,709.93,721.3,682.8,691.13,1096516
2017-08-01,673.33,680.0,636.7,643.0,1976322
2017-08-02,648.67,648.67,610.0,610.67,2115126
2017-08-03,612.7,650.67,582.77,644.67,4225359
2017-08-04,646.0,646.77,624.93,641.67,673570
2017-08-07,644.0,649.13,633.37,643.33,274054
2017-08-08,646.37,646.37,628.7,632.6,429235
2017-08-09,633.27,633.27,613.43,613.67,207715
2017-08-10,614.53,614.63,598.03,604.67,442809
2017-08-11,590.53,612.6,574.23,598.73,889095
2017-08-14,604.33,625.37,603.13,612.0,509197
2017-08-16,614.0,628.67,606.23,614.67,485988
2017-08-17,622.5,622.5,608.8,611.33,163171
2017-08-18,608.67,616.17,598.67,613.2,201311
2017-08-21,618.37,618.37,600.67,604.67,204008
2017-08-22,606.7,608.33,588.7,591.4,356080
2017-08-23,595.27,609.43,588.67,603.0,1379740
2017-08-24,602.53,620.0,601.8,612.0,565217
2017-08-28,616.4,629.2,614.93,623.37,450199
2017-08-29,625.93,625.93,604.57,612.13,309346
2017-08-30,616.5,621.57,612.0,616.0,243569
2017-08-31,620.13,622.93,607.97,620.0,533681
2017-09-01,619.53,636.07,615.53,621.27,599240
2017-09-04,623.07,623.07,612.1,613.33,147074
2017-09-05,615.53,622.27,612.73,620.0,231217
2017-09-06,613.33,615.7,598.17,600.73,602034
2017-09-07,606.67,617.4,603.07,615.1,450160
2017-09-08,615.93,619.9,613.17,614.0,392533
2017-09-11,618.47,624.83,615.33,620.17,221334
2017-09-12,623.53,637.57,621.33,624.63,298091
2017-09-13,628.0,637.23,622.8,624.33,344588
2017-09-14,624.0,631.33,620.0,623.47,110605
2017-09-15,623.23,631.33,620.17,627.2,398925
2017-09-18,626.67,634.33,626.67,629.5,101242
2017-09-19,629.5,640.0,629.33,636.63,268955
2017-09-20,638.03,639.23,627.33,627.33,266607
2017-09-21,630.67,632.83,621.73,623.37,146764
2017-09-22,621.73,623.13,608.2,608.83,237979
2017-09-25,617.0,630.6,615.13,620.03,324645
2017-09-26,625.17,625.17,600.07,608.0,573592
2017-09-27,610.07,612.2,599.33,605.3,314956
2017-09-28,606.1,606.2,592.37,599.97,566030
2017-09-29,606.3,621.63,601.33,611.0,316442
2017-10-03,616.07,646.0,616.07,637.43,717924
2017-10-04,638.67,654.57,638.67,650.13,547597
2017-10-05,647.3,653.0,638.97,642.0,189954
2017-10-06,641.7,645.5,630.37,631.97,152289
2017-10-09,636.87,656.03,633.5,652.8,232777
2017-10-10,656.0,663.17,653.63,661.0,336238
2017-10-11,662.03,664.93,643.33,651.77,185757
2017-10-12,653.33,656.67,647.9,650.83,184510
2017-10-13,650.03,652.23,643.33,649.3,187207
2017-10-16,654.67,658.63,646.27,652.0,524793
2017-10-17,650.83,654.03,643.4,645.4,200779
2017-10-18,645.4,649.03,642.07,643.37,5452779751
2017-10-23,638.67,643.3,619.33,625.47,8054814852
2017-10-24,628.47,632.67,620.37,623.27,170412
2017-10-25,621.77,628.57,611.67,614.33,288290
2017-10-26,613.17,619.03,606.67,616.0,285681
2017-10-27,619.33,624.8,610.8,620.0,218297
2017-10-30,620.67,622.0,615.0,621.33,233678
2017-10-31,624.67,625.33,617.7,622.27,693684
2017-11-01,628.73,659.87,627.07,643.47,1621582
2017-11-02,650.63,661.17,646.67,652.27,625476
2017-11-03,656.0,657.9,639.43,648.13,275901
2017-11-06,653.33,654.93,644.0,648.0,126997
2017-11-07,648.03,656.0,641.33,653.8,147874
2017-11-08,658.0,658.13,640.0,640.0,155353
2017-11-09,648.0,656.47,640.03,651.33,264864
2017-11-10,650.0,650.17,634.67,640.4,227381
2017-11-13,646.63,645.33,618.0,622.37,471432
2017-11-14,627.1,632.0,616.5,620.0,356152
2017-11-15,620.0,622.57,606.67,611.3,458581
2017-11-16,610.0,622.63,601.07,621.33,375667
2017-11-17,623.4,631.27,625.33,628.7,256033
2017-11-20,629.4,643.0,626.73,643.0,194480
2017-11-21,640.1,645.67,628.83,632.9,291287
2017-11-22,639.1,640.33,633.33,636.63,151441
2017-11-23,643.23,645.33,630.1,632.67,299572
2017-11-24,641.33,649.87,635.17,645.43,459558
2017-11-27,647.23,646.7,626.0,634.0,313058
2017-11-28,634.0,685.87,633.33,653.6,852353
2017-11-29,658.87,671.93,647.33,649.37,479185
2017-11-30,650.63,656.27,637.27,644.93,777996
2017-12-01,640.7,661.73,640.7,651.37,339073
2017-12-04,650.5,657.8,639.43,650.0,246437
2017-12-05,655.97,658.0,642.67,649.87,198053
2017-12-06,648.37,673.67,647.87,666.9,659180
2017-12-07,671.33,679.2,657.73,662.67,442855
2017-12-08,664.93,676.67,657.77,670.63,281399
2017-12-11,675.87,691.33,672.7,682.67,387721
2017-12-12,682.1,688.63,668.6,670.1,390940
2017-12-13,672.27,678.97,652.0,659.5,462809
2017-12-14,658.67,666.67,650.17,660.0,175880
2017-12-15,665.3,669.1,655.33,657.33,495520
2017-12-18,657.33,662.97,640.5,658.4,224335
2017-12-19,660.0,668.57,657.1,660.0,441964
2017-12-20,663.3,661.53,652.4,654.67,297493
2017-12-21,658.5,661.33,656.13,659.33,207147
