date,open,high,low,close,volume
2018-03-28,576.0,592.47,560.5,562.5,3383464
2018-04-02,565.0,577.5,559.0,575.0,350896
2018-04-03,573.5,573.5,563.17,564.5,114036
2018-04-04,565.0,570.0,557.5,557.53,162960
2018-04-05,561.0,565.62,554.75,556.5,148918
2018-04-06,551.75,559.42,550.03,551.0,144836
2018-04-09,550.25,556.0,550.55,551.85,118486
2018-04-10,554.9,555.0,546.03,551.0,106966
2018-04-11,551.0,553.0,547.5,547.5,79476
2018-04-12,548.0,549.03,540.05,541.6,109110
2018-04-13,557.5,575.0,552.55,561.5,286272
2018-04-16,562.5,579.95,562.0,573.5,269672
2018-04-17,578.5,582.0,571.0,571.0,122310
2018-04-18,577.0,577.5,562.5,563.5,83420
2018-04-19,569.0,576.7,564.55,570.6,101134
2018-04-20,570.6,572.95,559.0,560.55,69378
2018-04-23,566.0,574.5,561.17,566.5,79368
2018-04-24,568.97,572.25,565.0,565.65,59984
2018-04-25,565.5,572.95,561.42,562.25,69168
2018-04-26,563.5,569.0,562.5,564.3,32576
2018-04-27,566.33,567.47,561.0,563.5,32996
2018-04-30,567.2,567.2,559.5,559.55,36644
2018-05-02,559.5,565.97,555.62,558.45,37194
2018-05-03,557.03,557.5,544.6,547.25,37908
2018-05-04,552.5,552.5,545.0,545.5,24400
2018-05-07,545.25,561.03,541.03,552.6,41960
2018-05-08,552.6,559.45,549.5,550.5,25148
2018-05-09,550.0,551.97,545.0,545.6,19466
2018-05-10,545.0,545.92,542.0,543.25,24954
2018-05-11,543.75,545.5,535.58,545.5,32060
2018-05-14,541.0,543.97,532.0,532.75,35238
2018-05-15,537.5,541.83,525.75,527.0,30692
2018-05-16,527.25,528.95,521.5,521.55,206006
2018-05-17,523.0,525.33,516.47,521.0,18812
2018-05-18,522.0,522.0,515.03,516.5,22910
2018-05-21,515.97,515.97,504.5,509.55,51204
2018-05-22,512.5,514.5,505.62,510.05,21612
2018-05-23,510.0,512.0,503.0,509.0,23718
2018-05-24,507.5,507.58,502.52,503.5,20442
2018-05-25,504.0,512.5,502.77,512.5,27426
2018-05-28,510.0,527.5,510.0,521.1,45026
2018-05-29,517.5,525.5,517.5,525.0,16990
2018-05-30,521.5,549.0,505.5,546.97,168628
2018-05-31,542.5,549.47,523.25,528.0,684490
2018-06-01,525.0,525.03,513.78,514.1,31006
2018-06-04,520.0,520.03,507.5,509.5,20536
2018-06-05,509.5,509.52,494.98,496.5,42240
2018-06-06,495.0,502.17,494.5,497.5,18574
2018-06-07,498.0,505.0,498.0,498.5,21118
2018-06-08,497.77,499.48,493.75,494.0,26782
2018-06-11,495.27,497.35,492.0,492.5,29456
2018-06-12,493.75,496.0,484.35,485.0,45826
2018-06-13,484.0,489.98,481.75,482.0,38520
2018-06-14,480.0,504.0,474.52,485.0,412138
2018-06-15,485.02,487.5,480.0,484.25,26944
2018-06-18,483.0,484.25,472.83,474.0,31954
2018-06-19,473.52,475.48,464.42,464.5,35534
2018-06-20,465.5,467.98,461.5,462.5,30256
2018-06-21,462.55,463.5,455.5,455.58,35122
2018-06-22,455.55,460.48,448.0,458.5,55460
2018-06-25,455.0,456.98,449.0,451.0,19766
2018-06-26,448.0,448.5,442.52,443.5,35262
2018-06-27,440.0,442.7,430.0,432.5,53838
2018-06-28,430.02,430.02,420.0,420.05,45204
2018-06-29,421.98,425.0,421.5,422.5,26272
2018-07-02,422.1,439.48,416.58,428.5,38570
2018-07-03,428.5,429.25,421.02,423.0,18540
2018-07-04,420.55,423.38,417.5,418.0,21138
2018-07-05,417.5,419.92,413.0,414.0,16592
2018-07-06,412.5,417.9,412.0,413.25,27820
2018-07-09,415.0,416.3,410.02,410.5,19022
2018-07-10,410.0,427.95,410.0,424.0,42722
2018-07-11,423.62,424.98,417.77,419.12,18456
2018-07-12,419.67,424.48,414.0,415.0,15040
2018-07-13,413.52,420.42,409.02,412.52,26030
2018-07-16,409.6,411.9,406.0,407.5,18312
2018-07-17,405.5,411.33,404.0,406.05,38962
