date,open,high,low,close,volume
2017-07-03,460.0,467.0,455.55,464.25,1281823
2017-07-04,463.4,468.45,461.25,463.55,547344
2017-07-05,462.25,473.0,459.6,472.8,837851
2017-07-06,473.05,479.9,472.05,476.0,680868
2017-07-07,472.5,475.0,468.0,468.9,575018
2017-07-10,468.9,479.9,468.9,474.0,12884977300
2017-07-11,475.1,483.85,471.6,480.25,830394
2017-07-12,480.15,485.25,470.4,478.2,689917
2017-07-13,481.2,484.1,477.55,480.0,632289
2017-07-14,480.85,483.15,474.25,476.05,395462
2017-07-17,477.0,477.85,462.95,464.65,840311
2017-07-18,463.25,466.7,455.05,458.65,1255176
2017-07-19,459.4,483.55,453.9,467.75,6824421
2017-07-20,468.95,468.95,459.55,463.95,863360
2017-07-21,464.9,467.4,457.0,460.8,1493047
2017-07-24,465.0,466.3,459.1,460.05,878609
2017-07-25,463.25,463.3,453.4,456.9,1132957
2017-07-26,457.75,462.25,451.4,461.0,1880465
2017-07-27,461.0,463.4,456.1,461.5,708595
2017-07-28,460.8,480.0,459.5,480.0,1539567
2017-07-31,480.0,481.85,471.5,472.9,1299983
2017-08-01,473.2,475.35,466.0,467.25,1165362
2017-08-02,468.05,474.25,465.3,472.0,952899
2017-08-03,476.15,489.7,471.3,485.55,2136617
2017-08-04,486.95,494.5,486.8,493.0,1635490
2017-08-07,493.0,499.95,492.55,495.15,876252
2017-08-08,496.0,498.55,481.85,485.4,570736
2017-08-09,485.1,501.7,481.65,493.5,1566516
2017-08-10,495.9,497.7,454.4,470.4,2004973
2017-08-11,459.9,469.8,453.9,459.65,1194081
2017-08-14,463.95,478.5,463.35,475.6,710360
2017-08-16,481.0,481.1,459.0,467.1,1530442
2017-08-17,466.9,475.0,464.55,470.95,1424714
2017-08-18,466.0,480.0,465.0,480.0,1313352
2017-08-21,481.9,483.85,471.35,473.1,669323
2017-08-22,475.35,480.15,468.35,473.0,850800
2017-08-23,475.0,479.1,470.7,474.2,533610
2017-08-24,474.25,489.9,471.55,487.0,891460
2017-08-28,488.9,495.85,486.65,488.2,939060
2017-08-29,488.0,490.5,477.25,480.0,595014
2017-08-30,484.0,487.1,482.0,485.15,502130
2017-08-31,485.55,491.2,483.45,489.5,811664
2017-09-01,488.7,494.15,484.7,489.0,775109
2017-09-04,489.0,495.85,483.35,493.0,826056
2017-09-05,495.5,497.35,488.85,493.1,673850
2017-09-06,490.3,498.85,487.55,492.15,678441
2017-09-07,495.3,499.5,492.5,492.5,498885
2017-09-08,492.35,494.9,484.2,487.1,422214
2017-09-11,490.85,503.0,489.3,496.0,1700450
2017-09-12,499.0,509.5,492.0,506.35,2314228
2017-09-13,509.0,516.75,498.75,500.7,1483216
2017-09-14,504.0,509.35,500.8,505.25,703563
2017-09-15,504.05,508.9,499.05,507.5,1122276
2017-09-18,512.55,516.85,510.1,511.55,897738
2017-09-19,509.9,514.85,507.5,510.6,467745
2017-09-20,514.45,519.9,511.5,514.6,1335058
2017-09-21,517.4,521.4,505.7,510.1,1703116
2017-09-22,508.4,508.4,490.15,495.45,1844232
2017-09-25,495.45,497.6,482.65,488.8,946405
2017-09-26,490.0,497.6,488.0,492.35,782545
2017-09-27,494.7,496.0,470.8,477.0,705786
2017-09-28,476.5,483.0,469.6,470.55,1239358
2017-09-29,472.15,488.75,472.15,485.05,1066081
2017-10-03,488.0,497.5,487.75,495.15,1170417
2017-10-04,494.25,508.15,491.35,506.1,1337379
2017-10-05,505.1,512.8,504.35,506.5,680614
2017-10-06,507.85,512.3,505.0,510.8,476612
2017-10-09,511.05,511.8,505.0,506.05,526317
2017-10-10,506.0,534.45,506.0,533.65,2931509
2017-10-11,536.15,536.95,520.0,525.8,1963994
2017-10-12,529.1,532.75,522.0,531.5,1172647
2017-10-13,534.85,545.7,533.45,540.25,3423718
2017-10-16,544.85,547.35,539.0,541.0,1163000
2017-10-17,542.6,550.25,540.05,546.05,834550
2017-10-18,546.15,553.8,542.65,545.15,2771111
2017-10-23,547.35,564.5,539.05,541.45,16744005141
2017-10-24,536.9,536.9,499.5,502.95,6295187
2017-10-25,508.0,510.0,487.15,495.25,2831587
2017-10-26,495.0,497.4,480.5,485.05,3271760
2017-10-27,486.2,488.5,479.8,485.3,2232190
2017-10-30,487.95,495.5,485.3,489.65,1685394
2017-10-31,492.0,492.35,483.3,484.0,1311609
2017-11-01,486.05,494.5,486.75,491.5,1210137
2017-11-02,493.0,502.5,492.6,496.6,1447379
2017-11-03,500.9,501.25,491.35,493.85,887635
2017-11-06,491.6,502.5,487.15,500.15,1107177
2017-11-07,501.0,509.6,493.75,501.05,2290587
2017-11-08,503.15,513.45,499.1,503.4,2011947
2017-11-09,506.9,517.25,506.4,516.5,2502919
2017-11-10,518.1,522.3,498.2,501.3,1968978
2017-11-13,509.7,519.3,506.05,512.0,1709732
2017-11-14,517.45,515.6,508.15,512.15,913505
2017-11-15,512.1,513.95,502.65,505.35,642335
2017-11-16,506.0,506.7,496.75,500.0,767799
2017-11-17,503.0,511.0,501.5,507.5,694552
2017-11-20,507.2,515.8,506.85,512.0,637517
2017-11-21,511.65,514.0,503.05,506.0,587946
2017-11-22,506.0,506.1,497.15,500.0,877070
2017-11-23,500.0,512.0,494.4,510.3,1393092
2017-11-24,510.3,520.1,508.45,519.95,1661132
2017-11-27,519.85,527.4,510.3,520.5,1899315
2017-11-28,520.0,527.75,516.6,518.6,1157116
2017-11-29,520.0,525.2,518.5,521.0,781889
2017-11-30,519.75,522.55,506.95,508.4,1561169
2017-12-01,510.95,515.9,505.6,508.0,770072
2017-12-04,510.3,515.5,503.75,511.0,867895
2017-12-05,512.0,513.2,502.6,507.0,713877
2017-12-06,507.15,516.5,504.65,510.0,973930
2017-12-07,514.0,527.0,511.3,525.8,1868528
2017-12-08,529.7,539.9,526.4,538.8,3206161
2017-12-11,540.0,542.8,535.25,539.0,1066162
2017-12-12,538.5,553.25,535.65,544.85,2711244
2017-12-13,545.95,546.55,533.0,533.8,1090512
2017-12-14,537.0,543.5,529.0,543.5,897712
2017-12-15,547.0,559.0,544.45,555.15,1666573
2017-12-18,552.0,561.85,536.1,551.5,1046389
2017-12-19,551.6,555.15,549.25,553.05,838061
2017-12-20,554.5,560.95,549.45,560.0,1056121
2017-12-21,557.0,558.65,546.9,548.5,2488311
2017-12-22,550.0,553.5,545.7,549.95,851496
2017-12-26,549.95,556.3,548.5,549.1,559007
2017-12-27,550.0,554.05,546.25,548.5,513046
2017-12-28,549.95,552.4,545.5,551.0,551872
2017-12-29,554.0,569.9,550.65,561.5,2123428
2018-01-01,566.7,566.65,552.0,554.0,464929
2018-01-02,555.0,557.65,545.3,548.5,683764
2018-01-03,551.0,560.35,548.7,555.8,967808
2018-01-04,558.0,563.9,552.65,563.75,1178078
2018-01-05,565.0,575.9,563.8,564.05,1637483
2018-01-08,566.5,571.5,561.0,563.6,892610
2018-01-09,561.5,561.15,549.5,553.4,755945
2018-01-10,551.75,556.15,545.0,550.45,1262374
2018-01-11,549.0,554.75,546.25,549.95,549864
2018-01-12,549.5,552.55,545.5,550.75,869584
2018-01-15,548.0,559.9,548.0,559.9,905973
2018-01-16,562.0,563.9,552.55,557.0,814383
2018-01-17,555.5,560.75,543.35,560.0,575106
2018-01-18,562.75,562.75,546.3,549.75,376991
2018-01-19,548.0,551.1,539.6,547.05,975764
2018-01-22,548.6,563.05,538.85,554.7,2570638
2018-01-23,565.0,587.75,563.2,584.7,4382837
2018-01-24,584.9,584.8,573.1,575.45,1342121
2018-01-25,575.0,590.5,574.0,580.0,2120391
2018-01-29,582.0,592.5,574.0,574.5,1631840
2018-01-30,575.35,575.6,552.0,553.1,1050058
2018-01-31,540.0,535.0,518.55,522.25,7257679
2018-02-01,525.8,532.5,511.75,525.1,1723873
2018-02-02,519.0,523.5,505.0,509.15,1089644
2018-02-05,509.9,515.8,494.15,499.95,1531732
2018-02-06,474.95,509.95,452.95,505.8,2045925
2018-02-07,511.0,519.0,488.0,503.75,2050498
2018-02-08,510.55,523.0,507.05,519.0,994441
2018-02-09,503.1,520.9,504.0,514.5,889537
2018-02-12,519.2,521.5,512.5,514.5,720738
2018-02-14,516.5,521.2,512.0,512.0,714060
2018-02-15,515.1,525.65,512.25,516.2,1295634
2018-02-16,519.8,520.15,500.0,504.9,1292470
2018-02-19,508.95,507.55,498.1,506.2,1144997
2018-02-20,508.85,511.9,502.8,508.2,538987
