date,open,high,low,close,volume
2017-07-03,137.78,137.78,135.61,135.81,1175851
2017-07-04,136.7,136.98,134.84,135.32,1300034
2017-07-05,135.09,136.76,134.24,135.6,2164198
2017-07-06,136.8,140.07,136.33,139.89,2630384
2017-07-07,140.53,140.67,138.0,138.44,1977948
2017-07-10,137.78,140.22,137.78,138.96,21475305278
2017-07-11,140.0,140.96,138.22,139.64,1948445
2017-07-12,139.96,140.0,138.07,139.69,758820
2017-07-13,140.42,143.29,139.87,142.73,2285092
2017-07-14,143.33,143.33,140.22,140.58,1157749
2017-07-17,141.33,142.73,140.89,141.33,1102741
2017-07-18,141.0,142.82,140.44,140.8,2424527
2017-07-19,141.0,145.33,139.87,144.47,3293895
2017-07-20,145.36,145.98,142.38,142.71,2361200
2017-07-21,143.78,146.16,141.38,143.84,1956652
2017-07-24,144.44,145.44,143.51,144.44,1756937
2017-07-25,144.84,145.56,142.82,144.0,2267265
2017-07-26,144.04,144.67,142.64,142.89,1496104
2017-07-27,143.56,145.11,140.76,141.98,4289145
2017-07-28,141.38,144.78,141.38,144.67,1220060
2017-07-31,144.0,145.31,143.51,144.44,2112321
2017-08-01,144.89,147.11,144.78,146.67,2622804
2017-08-02,147.11,149.33,147.11,147.56,2048351
2017-08-03,147.51,149.67,146.67,146.89,2177306
2017-08-04,147.78,153.78,146.27,149.78,1115330
2017-08-07,151.11,152.33,149.4,151.11,1475037
2017-08-08,151.73,152.71,148.22,149.31,1693907
2017-08-09,149.62,149.69,144.96,146.0,1360420
2017-08-10,145.64,146.98,134.8,142.22,12063966
2017-08-11,136.53,144.6,135.71,143.11,4521959
2017-08-14,144.56,146.62,143.11,144.0,1490129
2017-08-16,146.22,150.53,146.22,147.47,3150359
2017-08-17,147.47,149.02,142.93,143.73,2464233
2017-08-18,143.51,145.6,140.62,144.71,3204736
2017-08-21,144.82,145.27,141.76,142.22,2472515
2017-08-22,142.82,143.67,135.24,137.84,4278408
2017-08-23,138.67,140.36,138.09,139.56,2631409
2017-08-24,140.44,140.78,137.53,138.0,2624949
2017-08-28,138.22,139.31,137.33,138.67,2104392
2017-08-29,138.56,138.56,134.27,135.02,3336850
2017-08-30,136.31,138.4,135.82,137.78,3479032
2017-08-31,137.82,138.44,135.78,136.98,5808511
2017-09-01,137.73,142.44,136.73,141.4,4185470
2017-09-04,140.89,141.78,137.53,139.44,2714145
2017-09-05,140.04,141.18,138.73,140.29,1759548
2017-09-06,139.93,145.73,138.51,145.11,4638794
2017-09-07,147.07,148.44,145.93,147.6,3804451
2017-09-08,148.09,148.22,145.31,146.0,2095388
2017-09-11,147.0,149.64,146.33,147.78,1719293
2017-09-12,148.8,150.98,147.18,149.69,2212266
2017-09-13,149.98,150.96,147.31,148.02,1555712
2017-09-14,148.44,149.0,146.44,147.02,1581428
2017-09-15,147.16,148.36,145.4,147.78,2029854
2017-09-18,148.27,149.91,147.78,148.44,1452146
2017-09-19,149.02,152.33,148.02,151.56,2137032
2017-09-20,152.38,155.29,151.91,152.67,3693953
2017-09-21,152.89,152.89,150.02,151.11,2337571
2017-09-22,150.22,152.76,148.42,150.09,3284309
2017-09-25,149.76,152.0,147.56,148.58,3312154
2017-09-26,149.0,153.47,148.11,150.53,3097611
2017-09-27,151.64,151.93,146.93,148.18,2129006
2017-09-28,148.29,152.44,146.82,150.84,3344747
2017-09-29,153.31,153.31,148.89,149.53,1884418
2017-10-03,151.0,153.98,150.31,151.33,2854547
2017-10-04,151.53,153.09,148.62,149.11,1931584
2017-10-05,148.78,151.33,148.36,149.33,1498647
2017-10-06,149.69,152.53,149.69,151.89,1539862
2017-10-09,152.0,153.29,150.67,151.33,1211970
2017-10-10,151.67,155.11,151.64,155.0,1691192
2017-10-11,155.24,160.6,155.11,156.29,4052456
2017-10-12,157.11,159.91,156.89,159.33,2522627
2017-10-13,159.56,160.2,156.6,157.89,1425847
2017-10-16,158.84,160.44,156.36,158.09,2229737
2017-10-17,157.33,159.73,155.31,157.67,2021307
2017-10-18,157.67,158.89,156.8,157.96,4296027308
2017-10-23,157.42,159.78,157.42,159.31,2917825
2017-10-24,159.89,161.84,158.44,159.33,1957375
2017-10-25,160.42,160.42,157.2,159.42,1222355
2017-10-26,160.02,160.42,157.38,157.78,1885523
2017-10-27,158.44,159.51,157.78,159.11,1458966
2017-10-30,159.56,163.24,159.24,162.09,1925377
2017-10-31,161.78,162.89,159.78,161.96,2994847
2017-11-01,163.56,165.0,162.87,164.24,1902845
2017-11-02,164.42,164.44,160.71,161.42,1014514
2017-11-03,161.33,163.47,160.84,162.27,711947
2017-11-06,161.33,164.07,161.38,162.82,1165695
2017-11-07,163.73,166.07,162.22,163.07,1713674
2017-11-08,163.78,165.76,158.44,160.89,1602089
2017-11-09,162.02,162.02,157.47,160.53,1983656
2017-11-10,160.89,163.93,155.93,158.0,3667429
2017-11-13,156.16,159.96,155.42,157.78,1599222
2017-11-14,156.0,159.0,156.71,158.67,946329
2017-11-15,158.67,158.89,154.89,155.73,853060
2017-11-16,156.67,160.8,153.89,160.8,1315356
2017-11-17,161.33,162.22,158.44,159.42,1386440
2017-11-20,160.0,160.67,158.07,158.91,960065
2017-11-21,156.89,160.04,155.84,156.49,1794107
2017-11-22,157.78,157.56,152.44,153.0,4827337
2017-11-23,153.13,153.2,151.38,152.64,5018972
2017-11-24,153.93,154.44,152.56,153.6,6029397
2017-11-27,155.56,161.93,154.22,160.0,5520281
2017-11-28,161.29,162.67,158.8,160.11,2092360
2017-11-29,161.62,162.87,160.93,161.33,2081760
2017-11-30,161.51,163.71,158.93,163.38,3729317
2017-12-01,163.78,163.78,158.22,159.11,1707227
2017-12-04,159.96,161.98,156.51,161.33,1652279
2017-12-05,161.29,161.69,158.87,160.67,1252483
2017-12-06,160.44,161.47,158.27,158.47,1322822
2017-12-07,158.27,164.44,158.0,164.36,2326791
2017-12-08,164.93,167.51,163.07,165.49,10690556
2017-12-11,166.44,169.47,165.87,168.4,2745930
2017-12-12,170.96,171.53,166.53,167.09,2954011
2017-12-13,167.16,168.44,163.16,163.33,2752023
2017-12-14,164.0,165.98,162.36,165.0,1730657
2017-12-15,167.56,168.22,165.87,166.93,2204028
2017-12-18,166.67,170.93,163.4,169.2,2494960
2017-12-19,169.18,175.56,169.2,174.8,6575378
2017-12-20,175.47,175.73,170.93,171.58,7695246
2017-12-21,171.58,171.56,164.89,167.04,6938320
2017-12-22,168.0,168.62,165.78,167.16,2669506
2017-12-26,168.44,168.44,166.27,166.6,1245516
2017-12-27,166.89,168.67,162.73,163.07,2730401
2017-12-28,163.76,166.64,161.76,165.76,5808076
2017-12-29,168.89,169.09,167.11,168.58,3844793
2018-01-01,169.67,170.51,167.78,168.44,1827256
2018-01-02,168.93,169.53,166.04,167.78,1398433
2018-01-03,168.89,168.8,166.0,166.18,1300029
