date,open,high,low,close,volume
2017-07-03,132.17,132.42,129.42,130.83,8942388
2017-07-04,132.54,132.67,131.5,131.75,5248220
2017-07-05,131.83,133.42,131.5,132.46,5055991
2017-07-06,131.79,132.21,130.92,131.67,5368700
2017-07-07,131.58,132.92,131.33,132.83,4764125
2017-07-10,141.67,141.67,132.83,133.38,30924923852
2017-07-11,133.38,137.25,133.25,136.21,5951765
2017-07-12,136.21,137.0,135.67,136.75,4093075
2017-07-13,137.46,138.5,136.25,136.46,2998512
2017-07-14,136.67,140.25,136.12,139.83,4117450
2017-07-17,140.38,140.83,139.54,140.67,4820619
2017-07-18,140.0,143.0,138.5,140.25,4278534
2017-07-19,140.08,142.17,139.12,139.71,4438515
2017-07-20,139.29,140.67,137.38,137.54,3075837
2017-07-21,137.58,138.83,134.92,137.5,4669293
2017-07-24,137.08,138.71,136.54,136.62,4091250
2017-07-25,136.75,138.08,136.38,136.67,5234901
2017-07-26,136.83,139.29,136.75,139.17,4691085
2017-07-27,139.17,139.17,136.88,138.21,13306734
2017-07-28,137.58,138.17,134.83,136.75,5820969
2017-07-31,138.04,138.71,134.96,136.71,11301672
2017-08-01,137.17,138.33,135.92,138.29,7094995
2017-08-02,138.33,144.08,138.29,143.21,22263460
2017-08-03,143.21,145.17,141.71,143.5,7223250
2017-08-04,143.58,148.5,141.33,147.5,9246215
2017-08-07,147.75,149.29,144.83,145.08,4346606
2017-08-08,143.62,144.58,141.21,142.62,4487177
2017-08-09,142.5,146.12,142.08,144.67,3245479
2017-08-10,144.38,144.71,141.17,144.17,2950537
2017-08-11,141.5,143.96,139.54,141.33,6018034
2017-08-14,142.08,144.67,140.58,142.96,4953105
2017-08-16,143.04,144.58,141.38,141.88,6906542
2017-08-17,142.5,147.83,141.12,147.5,6192954
2017-08-18,147.58,148.83,143.88,144.75,9063819
2017-08-21,144.46,145.92,143.04,143.33,4952846
2017-08-22,143.5,144.88,139.33,139.38,5511439
2017-08-23,139.83,142.58,139.67,142.33,5009081
2017-08-24,142.54,143.0,140.29,141.42,5957999
2017-08-28,141.46,145.0,141.46,144.21,6238813
2017-08-29,138.92,140.58,138.88,140.21,25494333
2017-08-30,138.88,142.79,138.88,139.83,24711330
2017-08-31,136.58,141.0,136.5,140.38,98470783
2017-09-01,139.46,140.75,138.96,140.08,6380067
2017-09-04,139.38,140.96,139.04,140.12,5776802
2017-09-05,140.38,141.46,139.62,141.25,3418219
2017-09-06,140.83,141.88,140.83,141.58,2780101
2017-09-07,140.62,142.17,140.0,141.67,5316964
2017-09-08,141.25,141.75,138.83,139.08,3952128
2017-09-11,139.79,142.75,138.96,141.71,13784779
2017-09-12,142.04,143.04,141.04,141.67,4990319
2017-09-13,141.46,142.83,140.5,140.83,5058785
2017-09-14,141.04,141.67,140.08,140.08,7274507
2017-09-15,140.0,140.17,139.08,139.42,6614648
