date,open,high,low,close,volume
2017-07-03,556.5,557.15,548.75,551.0,1573718
2017-07-04,556.65,556.65,545.7,551.1,1975064
2017-07-05,553.15,560.5,548.8,551.0,3117288
2017-07-06,551.0,552.5,543.5,545.9,4149566
2017-07-07,547.3,552.25,545.0,549.0,4473787
2017-07-10,553.0,570.0,548.75,563.7,25770825105
2017-07-11,564.8,571.9,562.25,563.95,2820442
2017-07-12,566.7,567.0,560.0,562.9,1381039
2017-07-13,561.95,571.4,561.95,567.75,4320132
2017-07-14,569.0,578.85,569.0,572.0,3106317
2017-07-17,575.0,577.7,567.5,571.7,1863478
2017-07-18,569.4,583.0,569.05,579.8,1867346
2017-07-19,583.25,590.25,583.25,589.4,1759792
2017-07-20,591.1,591.1,580.0,583.0,1050337
2017-07-21,582.7,586.4,575.0,576.6,2579754
2017-07-24,577.05,577.3,569.4,571.05,1494297
2017-07-25,572.0,573.35,563.5,566.2,2271237
2017-07-26,568.65,580.25,566.55,578.0,1894551
2017-07-27,580.5,582.2,567.5,568.55,5107201
2017-07-28,568.8,569.85,549.2,550.0,4086017
2017-07-31,550.85,553.05,528.95,529.85,5394794
2017-08-01,532.0,541.85,530.3,535.55,3682535
2017-08-02,536.65,537.0,521.85,525.35,3478097
2017-08-03,527.65,530.0,514.0,514.0,4523039
2017-08-04,513.3,513.3,493.2,507.5,7335510
2017-08-07,508.75,513.15,504.5,506.25,2273691
2017-08-08,508.8,508.8,498.0,498.9,3032568
2017-08-09,488.5,491.6,471.85,472.5,10964297
2017-08-10,470.55,485.35,451.1,461.5,10123395
2017-08-11,456.0,462.95,444.6,448.5,7831531
2017-08-14,435.0,476.7,433.0,471.15,20767329
2017-08-16,474.0,486.65,467.7,485.2,7570744
2017-08-17,485.7,490.4,480.6,489.0,4479577
2017-08-18,483.1,484.75,467.4,470.45,4507592
2017-08-21,473.55,474.4,459.45,460.1,4200162
2017-08-22,464.95,472.5,461.8,472.45,3793780
2017-08-23,473.65,475.8,467.6,468.5,3677014
2017-08-24,471.1,488.0,469.5,481.9,5673474
2017-08-28,487.55,499.9,483.25,493.0,6379587
2017-08-29,490.5,491.0,479.7,481.4,2601792
2017-08-30,484.8,488.95,481.5,487.0,2520774
2017-08-31,487.0,487.0,476.65,482.5,4394148
2017-09-01,481.0,492.0,481.0,485.45,3985645
2017-09-04,483.2,509.4,478.3,500.25,4481054
2017-09-05,502.0,504.3,490.1,490.1,5257923
2017-09-06,485.95,485.95,473.0,474.0,7325038
2017-09-07,477.65,483.5,474.45,479.0,2909499
2017-09-08,479.0,484.25,467.5,470.5,3552925
2017-09-11,474.8,476.4,466.25,468.0,3430183
2017-09-12,474.85,485.5,470.5,483.45,5876052
2017-09-13,484.0,510.25,479.9,509.4,11432560
2017-09-14,520.7,527.0,513.7,523.25,10914828
2017-09-15,518.05,527.75,514.2,522.6,7471319
2017-09-18,526.0,527.0,511.0,521.3,3681394
2017-09-19,523.95,529.4,512.65,514.5,4346341
2017-09-20,518.3,519.4,503.6,506.0,5015280
2017-09-21,508.0,525.0,505.5,517.95,10209483
2017-09-22,518.0,528.4,508.75,511.75,7983126
2017-09-25,512.65,514.35,501.75,506.0,4339313
2017-09-26,506.3,514.9,505.3,506.3,3608609
2017-09-27,503.55,503.55,489.6,492.0,7574349
2017-09-28,495.35,507.0,493.5,497.75,5541203
2017-09-29,501.0,505.9,498.45,503.7,3470526
2017-10-03,506.5,509.4,500.15,503.15,2872048
2017-10-04,503.5,522.0,502.0,517.75,6199549
2017-10-05,519.7,525.0,512.05,514.15,3563640
2017-10-06,517.05,533.0,515.8,533.0,6309847
2017-10-09,525.1,536.8,521.6,530.0,5035630
2017-10-10,531.9,535.0,526.1,526.9,2239342
2017-10-11,530.7,533.05,521.25,528.0,4025568
2017-10-12,541.8,544.95,532.1,538.6,8877846
2017-10-13,541.75,543.0,533.0,533.35,3808464
2017-10-16,539.05,549.9,533.8,547.0,5315438
2017-10-17,546.65,554.0,544.55,547.5,4470107
2017-10-18,547.5,549.35,538.85,540.2,4298467121
2017-10-23,532.5,543.5,532.5,540.4,4012867788
2017-10-24,538.45,538.9,533.5,534.25,1935892
2017-10-25,534.9,539.0,522.25,523.5,2048134
2017-10-26,525.05,538.9,519.1,531.75,3558960
2017-10-27,533.65,557.8,533.3,550.8,8836836
2017-10-30,552.0,557.0,544.2,552.3,5346694
2017-10-31,552.5,558.5,546.1,552.4,2901404
2017-11-01,553.05,555.9,546.4,548.35,3296185
2017-11-02,548.0,572.3,547.65,563.9,8399598
2017-11-03,565.0,567.7,550.3,551.95,3588683
2017-11-06,553.0,555.9,539.75,541.2,3979400
2017-11-07,545.0,549.8,513.5,529.0,8923087
2017-11-08,533.0,545.35,532.65,539.0,4521696
2017-11-09,555.0,553.45,527.05,534.45,4545599
2017-11-10,530.0,534.2,523.85,526.9,3181527
2017-11-13,526.8,541.45,519.25,533.85,5494716
2017-11-14,533.4,537.6,517.3,523.5,5828349
2017-11-15,516.0,519.8,501.1,504.55,8616030
2017-11-16,505.0,510.8,498.2,509.0,5342994
2017-11-17,510.2,522.05,510.05,517.0,3506855
2017-11-20,520.0,521.75,514.35,517.0,1967855
2017-11-21,518.0,541.5,514.55,538.8,7847001
2017-11-22,539.75,544.6,530.7,537.0,4288480
2017-11-23,535.0,547.5,531.85,546.0,3968404
2017-11-24,545.75,550.6,541.7,549.5,4083890
2017-11-27,541.1,553.85,538.3,550.4,3817960
2017-11-28,551.0,556.35,541.15,542.3,2488496
2017-11-29,543.0,549.6,541.55,548.35,2169750
2017-11-30,547.05,554.9,537.9,540.9,5931080
2017-12-01,544.0,545.45,522.45,526.65,3158080
2017-12-04,529.8,529.7,516.55,523.0,3302659
2017-12-05,518.55,527.85,517.65,522.0,3473030
2017-12-06,525.8,525.95,510.15,510.55,3850294
2017-12-07,510.0,515.55,506.0,511.25,4460322
2017-12-08,513.5,524.0,511.0,524.0,3387910
2017-12-11,525.0,530.9,521.85,529.95,2577320
2017-12-12,532.0,533.7,519.3,520.85,2665700
2017-12-13,521.0,526.3,515.5,516.35,2069621
2017-12-14,518.2,519.6,511.2,514.1,2299334
2017-12-15,518.5,524.0,515.95,518.2,3049240
2017-12-18,517.0,533.6,499.5,529.3,4055203
2017-12-19,533.0,535.35,525.15,528.0,3212793
2017-12-20,528.8,532.5,525.7,527.55,2554582
2017-12-21,532.0,538.65,526.2,527.0,5485059
