date,open,high,low,close,volume
2017-07-03,152.4,155.55,150.75,151.65,8670047
2017-07-04,153.7,154.15,149.8,150.15,3066015
2017-07-05,151.6,157.1,150.85,156.3,5842144
2017-07-06,156.4,157.8,152.8,153.15,4838419
2017-07-07,153.35,158.9,153.25,157.7,6408916
2017-07-10,157.65,167.85,157.1,167.2,21479590337
2017-07-11,167.45,172.8,167.2,169.25,12538299
2017-07-12,171.0,174.8,169.05,173.35,10584662
2017-07-13,175.0,176.6,171.2,174.75,5183880
2017-07-14,175.35,175.7,172.05,174.25,2817565
2017-07-17,174.65,179.3,172.6,176.95,4856021
2017-07-18,176.0,178.7,173.05,173.95,3251339
2017-07-19,174.2,177.4,173.9,175.1,4146613
2017-07-20,175.35,176.25,170.3,171.0,2785286
2017-07-21,171.05,173.75,169.7,172.5,4668024
2017-07-24,172.45,174.3,169.5,170.4,2629941
2017-07-25,170.55,172.25,169.2,171.7,2100335
2017-07-26,171.7,175.35,170.75,172.35,3800459
2017-07-27,172.75,173.7,167.7,168.4,2367995
2017-07-28,167.8,170.65,166.85,168.8,2285338
2017-07-31,169.5,172.4,168.35,170.1,1890835
2017-08-01,170.8,171.75,166.75,167.8,2127667
2017-08-02,168.0,168.55,164.2,164.85,2005266
2017-08-03,165.0,169.4,164.6,167.0,2892512
2017-08-04,165.35,167.55,163.9,166.35,2277046
2017-08-07,167.4,171.7,167.35,170.5,2543290
2017-08-08,171.6,171.75,165.6,166.25,2367466
2017-08-09,165.25,166.9,160.75,161.0,1263992
2017-08-10,161.5,163.5,153.5,157.3,2458789
2017-08-11,155.0,164.8,152.05,163.4,6018132
2017-08-14,166.0,180.2,165.35,177.3,9353771
2017-08-16,181.95,196.65,181.95,194.0,29088601
2017-08-17,194.0,197.35,189.85,190.9,10340898
2017-08-18,188.1,196.4,188.05,195.75,10017436
2017-08-21,197.0,203.0,194.4,196.5,15655503
2017-08-22,197.6,199.5,188.85,190.6,7457451
2017-08-23,191.7,197.4,189.15,196.75,7507185
2017-08-24,198.1,198.25,193.75,194.2,4570827
2017-08-28,195.0,196.25,192.1,193.9,3673061
2017-08-29,192.35,197.45,189.4,190.55,5670155
2017-08-30,193.0,198.15,192.35,197.5,7148570
2017-08-31,198.4,200.65,196.1,198.2,7735113
2017-09-01,198.3,200.55,196.3,197.8,3384474
2017-09-04,198.2,198.4,190.5,193.3,4363256
2017-09-05,194.15,197.4,193.3,197.1,3434840
2017-09-06,195.15,207.15,194.6,206.5,14459994
2017-09-07,208.3,209.3,204.8,205.4,5828647
2017-09-08,206.1,210.8,205.45,206.55,6414263
2017-09-11,209.3,211.05,207.3,209.4,3369920
2017-09-12,212.6,213.6,210.15,211.7,4853177
2017-09-13,214.7,214.95,206.2,208.8,4600667
2017-09-14,208.65,213.7,207.4,212.55,2972845
2017-09-15,211.0,213.7,208.85,210.55,2602352
2017-09-18,212.65,215.0,210.7,213.45,2483040
2017-09-19,213.2,220.2,213.0,216.4,9566602
2017-09-20,216.4,216.65,213.15,214.0,2892978
2017-09-21,214.75,214.8,207.35,213.5,2907885
2017-09-22,210.0,210.85,200.0,201.2,3857385
2017-09-25,201.5,201.9,192.3,197.0,4010156
2017-09-26,196.2,206.45,195.45,204.95,5536951
2017-09-27,206.6,207.0,196.7,198.5,3319477
2017-09-28,199.9,204.4,198.75,204.0,4594388
2017-09-29,204.0,209.9,203.4,206.9,3707030
2017-10-03,207.5,210.15,205.0,206.7,1976412
2017-10-04,207.3,207.45,203.15,206.0,1961991
2017-10-05,204.75,210.55,204.7,210.5,2224826
2017-10-06,210.05,212.2,208.65,209.6,2519249
2017-10-09,209.65,211.35,207.65,208.25,1648827
2017-10-10,209.3,211.15,207.7,208.5,2118088
2017-10-11,209.0,216.0,205.8,209.75,6886000
2017-10-12,211.0,212.9,208.0,212.0,3898000
2017-10-13,211.75,214.2,209.5,210.0,3166690
2017-10-16,210.95,211.8,207.1,209.4,2649544
2017-10-17,210.25,213.3,209.05,210.55,3265014
2017-10-18,210.55,211.45,205.6,206.8,16023779418
2017-10-23,203.85,207.45,202.6,203.1,2952899
2017-10-24,203.8,210.2,203.55,209.7,3564728
2017-10-25,211.05,211.05,203.0,205.0,2634653
2017-10-26,204.95,210.85,203.4,209.7,4957328
2017-10-27,210.6,221.8,209.75,221.7,8885601
2017-10-30,224.75,230.25,222.5,226.5,13881302
2017-10-31,226.0,228.25,223.15,227.5,5156681
2017-11-01,226.95,231.4,226.35,228.0,3597606
2017-11-02,227.9,231.2,223.4,226.95,7858597
2017-11-03,227.0,227.55,224.35,225.5,1914789
2017-11-06,224.9,236.85,224.0,234.45,6986950
2017-11-07,235.0,235.3,221.3,225.0,5298821
2017-11-08,226.0,227.95,222.55,225.4,3291872
2017-11-09,225.8,241.6,225.75,239.85,11262929
2017-11-10,240.7,244.0,234.65,236.5,7698800
2017-11-13,236.3,239.8,232.9,233.95,2917449
2017-11-14,234.7,248.0,228.5,246.4,15833657
2017-11-15,237.9,253.35,241.1,252.15,17786028
2017-11-16,254.0,254.55,247.2,251.25,6273609
2017-11-17,252.25,260.75,250.8,258.95,6848465
2017-11-20,261.15,276.2,259.25,275.15,13424179
2017-11-21,275.9,280.75,271.25,273.1,12039602
2017-11-22,273.5,275.8,267.75,275.0,5010194
2017-11-23,273.15,276.9,270.5,276.25,3364884
2017-11-24,275.05,280.0,275.1,277.2,3832392
2017-11-27,277.5,278.4,274.3,277.75,2203442
2017-11-28,277.0,289.75,276.65,287.2,11248389
2017-11-29,287.3,290.65,278.5,279.05,6449916
2017-11-30,278.9,292.2,277.65,288.1,9928988
2017-12-01,288.45,293.5,282.6,284.0,7130392
2017-12-04,285.0,286.5,276.5,280.3,5779293
2017-12-05,279.4,283.7,278.2,280.4,4872411
2017-12-06,278.9,282.95,273.6,275.3,4353703
2017-12-07,276.0,284.85,275.7,284.8,3813815
2017-12-08,287.55,289.9,285.05,288.05,4261329
2017-12-11,290.0,299.55,285.9,298.05,8030582
2017-12-12,298.6,298.35,286.65,287.45,6859399
2017-12-13,290.0,292.5,282.2,284.8,6759081
2017-12-14,288.0,288.25,279.2,284.5,5556008
2017-12-15,289.0,289.95,286.2,287.0,3023574
2017-12-18,280.0,293.9,275.4,291.6,5900817
2017-12-19,292.0,301.45,292.0,300.8,8372639
2017-12-20,301.0,303.8,297.85,302.0,4679366
2017-12-21,302.25,303.0,298.3,300.2,2272520
2017-12-22,301.0,306.3,299.7,303.0,4692643
2017-12-26,303.7,307.7,300.55,305.5,3950502
2017-12-27,305.5,308.8,302.5,305.65,3309436
2017-12-28,306.5,309.25,303.55,306.8,4612741
2017-12-29,308.05,317.0,307.05,316.05,6864637
2018-01-01,317.75,317.8,311.9,313.45,1597901
2018-01-02,314.3,314.5,307.65,310.7,2010805
2018-01-03,311.9,315.15,310.15,310.95,2068967
2018-01-04,312.0,313.5,307.3,312.3,2701124
2018-01-05,312.3,315.85,310.35,312.85,1894286
2018-01-08,314.65,319.0,312.2,317.45,2159962
2018-01-09,317.6,319.55,314.1,314.8,2405080
2018-01-10,315.0,319.0,312.55,314.65,2514325
2018-01-11,314.0,316.7,311.85,313.1,3473257
2018-01-12,315.05,328.3,315.0,326.0,14475158
2018-01-15,327.7,328.75,322.15,323.7,4506293
2018-01-16,323.0,326.85,313.1,317.6,4679199
2018-01-17,313.85,317.0,307.55,314.0,3734931
2018-01-18,315.05,315.7,301.5,304.5,3397848
2018-01-19,306.0,310.0,301.1,309.9,3648179
2018-01-22,307.05,314.95,306.6,309.0,3270904
2018-01-23,310.7,310.1,304.05,307.7,4410063
2018-01-24,306.0,310.6,302.8,303.7,2152791
2018-01-25,304.0,311.05,301.65,305.3,3626223
2018-01-29,305.25,306.8,300.7,301.3,1802837
2018-01-30,300.95,307.3,299.8,304.0,2586789
2018-01-31,302.9,303.7,286.1,291.1,5388421
2018-02-01,290.25,294.0,278.85,289.55,4589577
2018-02-02,284.0,285.0,260.25,274.0,6688780
2018-02-05,265.1,276.85,255.25,275.5,6820589
2018-02-06,259.0,270.1,253.4,265.65,7031079
2018-02-07,270.0,284.05,270.0,279.0,8033088
2018-02-08,282.0,286.5,276.25,280.4,5852817
2018-02-09,271.1,279.8,272.25,278.65,3111202
2018-02-12,282.4,289.6,280.3,284.25,4575512
2018-02-14,287.95,289.0,280.95,281.5,2450835
2018-02-15,284.35,285.25,276.0,279.85,1801360
2018-02-16,280.25,282.75,274.2,275.5,1920714
2018-02-19,277.0,277.05,263.0,269.0,2542100
2018-02-20,268.7,274.15,261.65,263.0,5067914
2018-02-21,265.0,268.75,262.25,266.5,3617048
2018-02-22,265.95,268.0,261.1,262.9,5427547
2018-02-23,264.2,271.9,263.65,271.05,3888966
2018-02-26,273.55,274.8,271.6,274.8,3665063
2018-02-27,275.0,279.7,274.1,275.4,4772065
2018-02-28,273.0,276.95,272.1,275.4,2803730
