date,open,high,low,close,volume
2017-07-03,1178.7,1191.53,1171.65,1187.5,368015
2017-07-04,1186.5,1190.22,1175.03,1180.4,303340
2017-07-05,1180.4,1182.5,1172.5,1179.0,203672
2017-07-06,1179.5,1180.95,1170.1,1175.03,256379
2017-07-07,1174.97,1178.22,1162.75,1166.0,307213
2017-07-10,1170.5,1222.43,1166.0,1217.5,15032581220
2017-07-11,1215.0,1257.0,1213.07,1241.25,883115
2017-07-12,1241.5,1241.5,1215.05,1220.5,661039
2017-07-13,1222.5,1236.0,1213.47,1219.5,781218
2017-07-14,1189.0,1212.45,1188.55,1199.55,1118447
2017-07-17,1198.88,1211.05,1191.35,1200.0,546316
2017-07-18,1201.0,1221.35,1200.0,1207.55,476503
2017-07-19,1207.75,1229.68,1207.75,1224.62,978300
2017-07-20,1224.88,1228.4,1215.25,1218.5,295360
2017-07-21,1219.93,1249.97,1218.75,1248.0,536781
2017-07-24,1243.93,1269.97,1243.93,1267.5,567193
2017-07-25,1262.5,1290.0,1259.38,1288.65,669276
2017-07-26,1284.0,1287.5,1273.5,1276.7,364653
2017-07-27,1274.97,1292.4,1233.25,1238.5,1063516
2017-07-28,1240.3,1246.5,1221.53,1240.0,345197
2017-07-31,1236.5,1259.47,1232.3,1247.47,504616
2017-08-01,1250.0,1260.38,1245.5,1247.57,435001
2017-08-02,1250.1,1253.03,1231.03,1237.5,312475
2017-08-03,1240.0,1251.0,1233.97,1245.95,470338
2017-08-04,1246.22,1264.15,1244.55,1262.5,346622
2017-08-07,1259.95,1259.95,1240.78,1253.7,471163
2017-08-08,1255.97,1264.0,1248.15,1250.07,268104
2017-08-09,1249.5,1261.15,1246.82,1254.18,247998
2017-08-10,1254.5,1260.0,1243.3,1260.0,380851
2017-08-11,1247.05,1267.03,1241.78,1246.32,348158
2017-08-14,1251.6,1254.25,1231.5,1234.0,196439
2017-08-16,1241.8,1271.82,1233.12,1245.07,342826
2017-08-17,1250.0,1252.5,1231.07,1242.78,437975
2017-08-18,1236.9,1274.7,1235.97,1257.5,709215
2017-08-21,1253.97,1274.5,1247.15,1256.6,574541
2017-08-22,1262.0,1269.75,1246.0,1250.0,282043
2017-08-23,1252.5,1258.38,1236.78,1245.8,390449
2017-08-24,1246.28,1258.45,1243.45,1249.03,405846
2017-08-28,1250.5,1252.7,1230.88,1245.5,508213
2017-08-29,1240.97,1247.97,1232.55,1237.53,328161
2017-08-30,1240.5,1244.0,1230.5,1242.5,242254
2017-08-31,1241.38,1252.2,1233.32,1249.0,445878
2017-09-01,1237.0,1238.22,1220.32,1230.3,422630
2017-09-04,1226.55,1230.25,1219.53,1228.5,265546
2017-09-05,1229.97,1244.93,1218.65,1242.32,291399
2017-09-06,1235.0,1235.95,1225.0,1226.5,306976
2017-09-07,1229.03,1234.07,1225.82,1230.0,217688
2017-09-08,1228.93,1237.0,1226.4,1232.57,253663
2017-09-11,1236.0,1241.47,1225.0,1227.5,183031
2017-09-12,1236.85,1248.5,1228.5,1248.5,348586
2017-09-13,1249.93,1265.72,1238.5,1246.35,318620
2017-09-14,1242.45,1248.75,1236.0,1242.5,270232
2017-09-15,1248.97,1258.5,1242.6,1252.0,735775
2017-09-18,1252.45,1259.47,1245.03,1252.5,181163
2017-09-19,1252.45,1252.45,1245.82,1249.0,195552
2017-09-20,1254.78,1254.8,1237.35,1248.0,333281
2017-09-21,1245.55,1270.5,1240.0,1262.5,609663
2017-09-22,1260.03,1262.72,1246.0,1254.97,608652
2017-09-25,1250.0,1267.0,1246.4,1254.0,399644
2017-09-26,1255.0,1263.18,1233.38,1237.5,362028
2017-09-27,1245.0,1255.0,1236.88,1247.55,502042
2017-09-28,1246.62,1257.0,1226.55,1236.38,1082868
2017-09-29,1239.5,1242.0,1210.78,1218.8,495894
2017-10-03,1223.93,1227.07,1213.53,1226.0,476889
2017-10-04,1224.5,1226.1,1212.5,1221.0,325146
2017-10-05,1220.5,1221.72,1212.3,1215.0,420808
2017-10-06,1215.5,1226.95,1214.05,1225.5,346802
2017-10-09,1222.5,1233.95,1221.1,1224.55,443055
2017-10-10,1227.53,1234.97,1225.65,1226.7,305204
2017-10-11,1230.32,1257.22,1228.38,1250.0,381805
2017-10-12,1255.0,1276.68,1253.5,1272.22,1250648
2017-10-13,1275.0,1303.25,1263.3,1280.0,1009293
2017-10-16,1279.12,1295.0,1277.57,1295.0,304386
2017-10-17,1292.53,1307.32,1290.22,1297.28,360358
2017-10-18,1297.3,1306.82,1290.0,1293.3,378638
2017-10-23,1291.7,1314.1,1280.65,1293.95,5454147694
